datetime,close,high,low,open,volume
2017-09-21,48900.0,49050.0,47250.0,47400.0,903202.0
2017-09-20,47650.0,47850.0,46850.0,47450.0,646661.0
2017-09-19,47450.0,47950.0,46600.0,47100.0,712656.0
2017-09-18,47100.0,47750.0,45850.0,46050.0,740068.0
2017-09-15,46050.0,46250.0,44800.0,45450.0,712272.0
2017-09-14,45750.0,45900.0,44900.0,45750.0,878852.0
2017-09-13,45750.0,46050.0,44400.0,45350.0,831414.0
2017-09-12,45250.0,46100.0,45050.0,45700.0,714582.0
2017-09-11,45450.0,45850.0,44550.0,44600.0,709532.0
2017-09-08,44550.0,45250.0,44050.0,45200.0,945391.0
2017-09-07,45150.0,45150.0,44100.0,44100.0,934825.0
2017-09-06,43850.0,44300.0,43250.0,44300.0,2595336.0
2017-09-05,45000.0,47700.0,44450.0,47650.0,2791230.0
2017-09-04,47650.0,47900.0,46300.0,47000.0,619709.0
2017-09-01,48300.0,48850.0,48150.0,48700.0,768962.0
2017-08-31,49000.0,49500.0,48400.0,49400.0,1084470.0
2017-08-30,49600.0,50500.0,49450.0,49750.0,753448.0
2017-08-29,50200.0,50200.0,49200.0,49700.0,626883.0
2017-08-28,50100.0,50500.0,49650.0,50500.0,487351.0
2017-08-25,50500.0,50600.0,48800.0,48950.0,666463.0
2017-08-24,48650.0,49550.0,48500.0,49200.0,547493.0
2017-08-23,49250.0,49700.0,48550.0,49500.0,737120.0
2017-08-22,49200.0,50100.0,48850.0,49650.0,670227.0
2017-08-21,49650.0,50000.0,49500.0,49900.0,354826.0
2017-08-18,50000.0,50400.0,49600.0,49600.0,567058.0
2017-08-17,50200.0,50500.0,49800.0,49800.0,624449.0
2017-08-16,50200.0,50200.0,49600.0,49600.0,712779.0
2017-08-14,49500.0,49900.0,48050.0,48050.0,501134.0
2017-08-11,48300.0,49500.0,48100.0,48800.0,1441924.0
2017-08-10,49700.0,50100.0,48400.0,48850.0,1571657.0
2017-08-09,49700.0,50700.0,49550.0,50200.0,982997.0
2017-08-08,50800.0,51400.0,50500.0,51400.0,426694.0
2017-08-07,51400.0,51600.0,50000.0,50500.0,553732.0
2017-08-04,50700.0,51000.0,50400.0,50400.0,636128.0
2017-08-03,50900.0,51000.0,49850.0,50200.0,1036148.0
2017-08-02,50800.0,51500.0,50500.0,51400.0,798920.0
2017-08-01,51700.0,52100.0,50300.0,50400.0,1119918.0
2017-07-31,51000.0,51100.0,49500.0,49500.0,900254.0
2017-07-28,50600.0,51600.0,50400.0,51200.0,1099794.0
2017-07-27,51900.0,51900.0,50900.0,51700.0,1040425.0
2017-07-26,52000.0,52000.0,51000.0,51200.0,867827.0
2017-07-25,51000.0,51200.0,50000.0,50700.0,912533.0
2017-07-24,50600.0,50600.0,49800.0,50500.0,1226985.0
2017-07-21,50200.0,50300.0,48700.0,49200.0,1798032.0
2017-07-20,48300.0,48400.0,47500.0,47750.0,1096036.0
2017-07-19,47550.0,48250.0,47150.0,48250.0,959404.0
2017-07-18,48050.0,48150.0,47800.0,48000.0,1083521.0
2017-07-17,48100.0,48250.0,47600.0,48200.0,670011.0
2017-07-14,47900.0,47900.0,46250.0,46750.0,573503.0
2017-07-13,46600.0,47100.0,45900.0,46450.0,893062.0
2017-07-12,46350.0,47050.0,45550.0,47000.0,649777.0
2017-07-11,47100.0,47150.0,46450.0,47000.0,824125.0
2017-07-10,46450.0,46850.0,45450.0,45500.0,564624.0
2017-07-07,45500.0,45800.0,44950.0,45000.0,509743.0
2017-07-06,45500.0,45850.0,44700.0,44700.0,961205.0
2017-07-05,44900.0,45650.0,44850.0,45400.0,728626.0
2017-07-04,45950.0,46250.0,45450.0,46200.0,641234.0
2017-07-03,45600.0,45850.0,44850.0,45250.0,582472.0
2017-06-30,45250.0,46050.0,45050.0,45400.0,770490.0
2017-06-29,45300.0,46600.0,44700.0,44750.0,1274674.0
2017-06-28,44450.0,44750.0,41950.0,42000.0,2519854.0
2017-06-27,42000.0,43050.0,41950.0,42050.0,741924.0
2017-06-26,42450.0,43000.0,42200.0,42600.0,723208.0
2017-06-23,42800.0,43150.0,42300.0,42300.0,826191.0
2017-06-22,42150.0,42250.0,41300.0,41600.0,1115803.0
2017-06-21,41750.0,42400.0,41150.0,42350.0,1348060.0
2017-06-20,42550.0,43150.0,42200.0,42300.0,673232.0
2017-06-19,42550.0,42950.0,42000.0,42200.0,567307.0
2017-06-16,42100.0,43300.0,42100.0,42500.0,933687.0
2017-06-15,42500.0,43250.0,42100.0,42700.0,737338.0
2017-06-14,43050.0,43650.0,42650.0,43150.0,958686.0
