datetime,close,high,low,open,volume
2017-11-03,78200.0,78900.0,77600.0,77700.0,52481.0
2017-11-02,77700.0,79400.0,77600.0,79300.0,88241.0
2017-11-01,79300.0,79400.0,78100.0,78100.0,56497.0
2017-10-31,79000.0,79700.0,78200.0,78600.0,83481.0
2017-10-30,78700.0,80200.0,78200.0,79700.0,50757.0
2017-10-27,79700.0,80700.0,79300.0,79400.0,67296.0
2017-10-26,80200.0,80700.0,79200.0,80200.0,67739.0
2017-10-25,79600.0,81300.0,79000.0,81200.0,148596.0
2017-10-24,80500.0,81700.0,79900.0,80900.0,92063.0
2017-10-23,81200.0,83100.0,80600.0,82700.0,99320.0
2017-10-20,83100.0,84200.0,81800.0,82800.0,68184.0
2017-10-19,83400.0,84600.0,82300.0,84500.0,83758.0
2017-10-18,85100.0,85700.0,83500.0,85100.0,80672.0
2017-10-17,85000.0,86000.0,80400.0,80400.0,179727.0
2017-10-16,80400.0,81700.0,79000.0,79000.0,77018.0
2017-10-13,79000.0,79900.0,77400.0,78500.0,78519.0
2017-10-12,78900.0,78900.0,77300.0,77300.0,97345.0
2017-10-11,77500.0,78700.0,77100.0,77600.0,59125.0
2017-10-10,77800.0,79800.0,77600.0,78700.0,96697.0
2017-09-29,78800.0,80400.0,78100.0,79400.0,61122.0
2017-09-28,79400.0,79900.0,75700.0,76700.0,83841.0
2017-09-27,77300.0,79000.0,77000.0,78600.0,64082.0
2017-09-26,79100.0,79800.0,76800.0,77300.0,54956.0
2017-09-25,77300.0,79300.0,77100.0,77700.0,43772.0
2017-09-22,78500.0,80200.0,77800.0,79700.0,80925.0
2017-09-21,80400.0,81400.0,80000.0,80800.0,70378.0
2017-09-20,81200.0,82000.0,79700.0,80600.0,84696.0
2017-09-19,80500.0,82500.0,80500.0,81300.0,52153.0
2017-09-18,81900.0,82900.0,80500.0,81400.0,47624.0
2017-09-15,81400.0,81800.0,80200.0,81800.0,104257.0
2017-09-14,81900.0,83800.0,81500.0,83200.0,104018.0
2017-09-13,83900.0,84700.0,83000.0,84500.0,89301.0
2017-09-12,85100.0,85500.0,82400.0,83500.0,68356.0
2017-09-11,82800.0,84000.0,82000.0,83400.0,58182.0
2017-09-08,83900.0,84200.0,79300.0,80400.0,109431.0
2017-09-07,80500.0,81300.0,79600.0,81000.0,83646.0
2017-09-06,80400.0,83400.0,80100.0,83400.0,71318.0
2017-09-05,82500.0,83100.0,81900.0,83000.0,35409.0
2017-09-04,82400.0,83000.0,79800.0,79800.0,76548.0
2017-09-01,81000.0,84700.0,80700.0,84700.0,153192.0
2017-08-31,84500.0,86100.0,84100.0,85100.0,111033.0
2017-08-30,85800.0,86100.0,83400.0,84600.0,84463.0
2017-08-29,84300.0,85400.0,82500.0,84600.0,82590.0
2017-08-28,84100.0,85500.0,83400.0,85500.0,62301.0
2017-08-25,85300.0,86200.0,82600.0,82800.0,90139.0
2017-08-24,82500.0,84100.0,82300.0,82800.0,68933.0
2017-08-23,83100.0,84800.0,82600.0,83400.0,80975.0
