datetime,close,high,low,open,volume
2017-11-03,8220.0,8230.0,8110.0,8190.0,78228.0
2017-11-02,8130.0,8210.0,8110.0,8120.0,69447.0
2017-11-01,8150.0,8180.0,8010.0,8020.0,68669.0
2017-10-31,8100.0,8190.0,8090.0,8180.0,113491.0
2017-10-30,8180.0,8210.0,8100.0,8140.0,65512.0
2017-10-27,8140.0,8200.0,8110.0,8180.0,43109.0
2017-10-26,8110.0,8230.0,8110.0,8120.0,62181.0
2017-10-25,8120.0,8200.0,8080.0,8130.0,47946.0
2017-10-24,8130.0,8170.0,8090.0,8110.0,60173.0
2017-10-23,8130.0,8300.0,8120.0,8200.0,53241.0
2017-10-20,8240.0,8300.0,8140.0,8160.0,75689.0
2017-10-19,8130.0,8180.0,8090.0,8120.0,72476.0
2017-10-18,8120.0,8250.0,8120.0,8200.0,63019.0
2017-10-17,8150.0,8180.0,8120.0,8140.0,46324.0
2017-10-16,8190.0,8230.0,8120.0,8150.0,55479.0
2017-10-13,8150.0,8260.0,8100.0,8170.0,61104.0
2017-10-12,8180.0,8220.0,8070.0,8080.0,67765.0
2017-10-11,8140.0,8140.0,8010.0,8030.0,76723.0
2017-10-10,8060.0,8190.0,8050.0,8070.0,60491.0
2017-09-29,8100.0,8100.0,7980.0,8090.0,58177.0
2017-09-28,8020.0,8070.0,7900.0,8050.0,63319.0
2017-09-27,8010.0,8130.0,7990.0,8040.0,44127.0
2017-09-26,8050.0,8130.0,7870.0,7920.0,106699.0
2017-09-25,7980.0,8200.0,7980.0,8110.0,137094.0
2017-09-22,8200.0,8370.0,8200.0,8360.0,90067.0
2017-09-21,8400.0,8470.0,8300.0,8400.0,74987.0
2017-09-20,8420.0,8540.0,8400.0,8450.0,84974.0
2017-09-19,8420.0,8450.0,8230.0,8330.0,157315.0
2017-09-18,8370.0,8480.0,8350.0,8470.0,77465.0
2017-09-15,8460.0,8530.0,8380.0,8510.0,131239.0
2017-09-14,8450.0,8570.0,8430.0,8570.0,119488.0
2017-09-13,8520.0,8600.0,8450.0,8580.0,87588.0
2017-09-12,8560.0,8640.0,8500.0,8630.0,73464.0
2017-09-11,8630.0,8670.0,8560.0,8600.0,89796.0
2017-09-08,8600.0,8890.0,8380.0,8850.0,247767.0
2017-09-07,8530.0,8680.0,8410.0,8620.0,77623.0
2017-09-06,8680.0,8690.0,8560.0,8600.0,95768.0
2017-09-05,8550.0,8730.0,8530.0,8720.0,78954.0
2017-09-04,8670.0,8690.0,8480.0,8490.0,112484.0
2017-09-01,8710.0,8730.0,8620.0,8640.0,71410.0
2017-08-31,8640.0,8710.0,8590.0,8610.0,98126.0
2017-08-30,8620.0,8670.0,8560.0,8660.0,79120.0
2017-08-29,8620.0,8650.0,8510.0,8630.0,78657.0
2017-08-28,8630.0,8630.0,8450.0,8450.0,146944.0
2017-08-25,8450.0,8450.0,8280.0,8290.0,82774.0
