datetime,close,high,low,open,volume
2017-11-03,17250.0,17350.0,17150.0,17150.0,395249.0
2017-11-02,17100.0,17150.0,16900.0,17000.0,465715.0
2017-11-01,16950.0,17500.0,16800.0,17350.0,1281038.0
2017-10-31,17500.0,18100.0,17350.0,17950.0,1000793.0
2017-10-30,17900.0,18500.0,17850.0,18450.0,494225.0
2017-10-27,18400.0,18550.0,18150.0,18150.0,589070.0
2017-10-26,18200.0,18350.0,17950.0,18050.0,626761.0
2017-10-25,18000.0,18200.0,17550.0,18050.0,1047507.0
2017-10-24,18000.0,18800.0,17900.0,18550.0,1194958.0
2017-10-23,18400.0,19750.0,18350.0,19650.0,2046507.0
2017-10-20,19400.0,22000.0,18200.0,19550.0,8105476.0
2017-10-19,19650.0,20050.0,18750.0,18750.0,2013938.0
2017-10-18,18550.0,19050.0,18300.0,19050.0,641833.0
2017-10-17,18850.0,19200.0,18250.0,18450.0,1009860.0
2017-10-16,18400.0,18900.0,18050.0,18550.0,656587.0
2017-10-13,18650.0,18900.0,18150.0,18400.0,751337.0
2017-10-12,18300.0,18400.0,17850.0,18350.0,610961.0
2017-10-11,18200.0,18700.0,17500.0,17550.0,1195313.0
2017-10-10,17600.0,17650.0,17300.0,17450.0,618515.0
2017-09-29,17100.0,17200.0,16650.0,16650.0,454218.0
2017-09-28,16650.0,17100.0,16550.0,16950.0,366707.0
2017-09-27,17000.0,17300.0,16550.0,16600.0,690906.0
2017-09-26,16600.0,16700.0,16100.0,16100.0,301654.0
2017-09-25,16250.0,16650.0,16050.0,16450.0,465449.0
2017-09-22,16650.0,16850.0,16500.0,16700.0,491186.0
2017-09-21,16850.0,17100.0,16700.0,17050.0,446897.0
2017-09-20,17100.0,17500.0,17000.0,17400.0,470045.0
2017-09-19,17400.0,17700.0,17050.0,17100.0,537866.0
2017-09-18,17100.0,17350.0,17050.0,17200.0,245803.0
2017-09-15,17250.0,17300.0,17000.0,17050.0,334724.0
2017-09-14,17200.0,17400.0,16900.0,16900.0,488683.0
2017-09-13,16900.0,17150.0,16900.0,17050.0,339628.0
2017-09-12,17100.0,17300.0,16700.0,16750.0,569762.0
2017-09-11,16700.0,17050.0,16600.0,16950.0,457351.0
2017-09-08,16950.0,17400.0,16750.0,17250.0,453042.0
2017-09-07,17350.0,17450.0,17100.0,17100.0,259726.0
2017-09-06,17150.0,17600.0,17050.0,17450.0,468024.0
2017-09-05,17450.0,17950.0,17350.0,17900.0,405494.0
2017-09-04,17800.0,17950.0,17300.0,17350.0,447396.0
2017-09-01,17600.0,18050.0,17550.0,18050.0,667864.0
2017-08-31,18000.0,18100.0,17850.0,18000.0,359356.0
2017-08-30,18000.0,18050.0,17900.0,17950.0,204754.0
2017-08-29,17900.0,18100.0,17750.0,18050.0,387178.0
2017-08-28,18100.0,18400.0,17950.0,18000.0,279848.0
2017-08-25,17950.0,18050.0,17700.0,17800.0,374917.0
2017-08-24,17700.0,18150.0,17650.0,18050.0,519926.0
2017-08-23,18050.0,18150.0,17750.0,17750.0,588121.0
2017-08-22,17700.0,18150.0,17600.0,17900.0,606572.0
2017-08-21,18000.0,18100.0,17850.0,18000.0,437716.0
2017-08-18,18050.0,18500.0,17950.0,18400.0,867288.0
2017-08-17,18600.0,19000.0,18000.0,18300.0,667798.0
2017-08-16,18250.0,18500.0,18200.0,18250.0,307556.0
2017-08-14,18300.0,18800.0,18250.0,18750.0,320264.0
2017-08-11,18650.0,18950.0,18500.0,18750.0,402485.0
2017-08-10,18950.0,19200.0,18750.0,19150.0,371696.0
2017-08-09,18950.0,19350.0,18700.0,18750.0,392924.0
2017-08-08,19000.0,19300.0,18750.0,19100.0,488772.0
2017-08-07,19000.0,19450.0,18750.0,18800.0,980451.0
2017-08-04,18600.0,18850.0,17900.0,18700.0,1022793.0
2017-08-03,18750.0,20450.0,18550.0,20450.0,2151421.0
2017-08-02,20550.0,21250.0,20450.0,21100.0,418974.0
2017-08-01,20950.0,21050.0,20450.0,20500.0,311599.0
2017-07-31,20600.0,21050.0,20050.0,20700.0,326542.0
2017-07-28,20800.0,21250.0,20700.0,21000.0,293912.0
2017-07-27,21000.0,21350.0,20900.0,21000.0,428204.0
2017-07-26,20800.0,21100.0,20750.0,20850.0,309959.0
2017-07-25,20750.0,20800.0,20450.0,20450.0,212372.0
2017-07-24,20600.0,21100.0,20350.0,21100.0,279547.0
2017-07-21,21000.0,21200.0,20800.0,20900.0,207106.0
2017-07-20,20850.0,21100.0,20700.0,20800.0,291801.0
2017-07-19,20750.0,20800.0,20450.0,20750.0,337286.0
2017-07-18,20700.0,20750.0,20350.0,20450.0,373074.0
2017-07-17,20350.0,20450.0,20050.0,20250.0,439078.0
2017-07-14,20150.0,21150.0,19900.0,21150.0,1379999.0
2017-07-13,21150.0,21450.0,21000.0,21350.0,416101.0
2017-07-12,21300.0,21800.0,21250.0,21700.0,442404.0
2017-07-11,21100.0,21450.0,21050.0,21300.0,356625.0
2017-07-10,21400.0,21650.0,21250.0,21350.0,291567.0
2017-07-07,21250.0,21350.0,21150.0,21300.0,247951.0
2017-07-06,21400.0,21600.0,21350.0,21600.0,257672.0
2017-07-05,21450.0,21800.0,21250.0,21400.0,459278.0
2017-07-04,21200.0,21450.0,21100.0,21300.0,240425.0
2017-07-03,21250.0,21400.0,20800.0,20800.0,316704.0
2017-06-30,20950.0,21450.0,20900.0,21250.0,548778.0
2017-06-29,21150.0,21400.0,20600.0,20700.0,666411.0
2017-06-28,20650.0,21000.0,20550.0,21000.0,1369069.0
2017-06-27,21600.0,22000.0,21500.0,21700.0,329244.0
2017-06-26,21800.0,22000.0,21600.0,21900.0,311050.0
2017-06-23,21900.0,21900.0,21300.0,21300.0,388148.0
2017-06-22,21350.0,21550.0,21000.0,21450.0,620646.0
2017-06-21,21600.0,21850.0,21250.0,21550.0,611797.0
2017-06-20,21600.0,21950.0,21100.0,21300.0,1700338.0
2017-06-19,21450.0,24150.0,21300.0,24100.0,3351941.0
2017-06-16,24100.0,24550.0,24050.0,24300.0,675692.0
2017-06-15,24200.0,24400.0,23900.0,24300.0,659549.0
2017-06-14,24200.0,24400.0,23400.0,23550.0,1320274.0
2017-06-13,23500.0,23700.0,23400.0,23500.0,397438.0
2017-06-12,23400.0,23550.0,23200.0,23300.0,331353.0
2017-06-09,23300.0,23400.0,23050.0,23300.0,341991.0
2017-06-08,23300.0,23350.0,22900.0,23300.0,460359.0
2017-06-07,23150.0,23400.0,22800.0,23350.0,458150.0
2017-06-05,23350.0,23600.0,23200.0,23350.0,354160.0
2017-06-02,23300.0,23600.0,23200.0,23350.0,610186.0
2017-06-01,23300.0,23350.0,22800.0,22900.0,666448.0
2017-05-31,22800.0,22850.0,22550.0,22850.0,726192.0
2017-05-30,22750.0,22850.0,22400.0,22400.0,647933.0
2017-05-29,22400.0,23100.0,22350.0,23100.0,1883429.0
2017-05-26,23500.0,24200.0,23400.0,24050.0,1455447.0
2017-05-25,24050.0,24150.0,23650.0,23700.0,664712.0
2017-05-24,23700.0,24150.0,23650.0,24100.0,613052.0
2017-05-23,24150.0,24250.0,23800.0,24000.0,429766.0
2017-05-22,24000.0,24300.0,23950.0,24000.0,481428.0
2017-05-19,23700.0,23950.0,23500.0,23600.0,432795.0
2017-05-18,23450.0,23600.0,23150.0,23300.0,375928.0
2017-05-17,23650.0,23750.0,23100.0,23450.0,485067.0
2017-05-16,23400.0,24050.0,23250.0,23950.0,870060.0
2017-05-15,23950.0,24500.0,23850.0,24450.0,464912.0
2017-05-12,24400.0,24450.0,23900.0,24050.0,581778.0
2017-05-11,24100.0,24100.0,23300.0,23950.0,888541.0
2017-05-10,23750.0,24050.0,23500.0,23600.0,640766.0
2017-05-08,23600.0,23600.0,23350.0,23500.0,352845.0
2017-05-04,23450.0,23700.0,23300.0,23500.0,329431.0
2017-05-02,23350.0,23950.0,23350.0,23650.0,457493.0
2017-04-28,23250.0,23900.0,23200.0,23700.0,637806.0
2017-04-27,23900.0,24400.0,23600.0,24050.0,353495.0
2017-04-26,24050.0,24450.0,23850.0,23900.0,745688.0
2017-04-25,23750.0,23850.0,23500.0,23800.0,407187.0
2017-04-24,23750.0,23900.0,23400.0,23500.0,410812.0
2017-04-21,23500.0,23850.0,23350.0,23800.0,443475.0
2017-04-20,23800.0,23950.0,23150.0,23300.0,496200.0
2017-04-19,23350.0,23900.0,23250.0,23850.0,883488.0
2017-04-18,23950.0,24000.0,23600.0,23950.0,406906.0
2017-04-17,23700.0,24000.0,23500.0,23850.0,569045.0
2017-04-14,23850.0,24150.0,23700.0,24100.0,394481.0
2017-04-13,24300.0,24300.0,23900.0,24000.0,491925.0
2017-04-12,23950.0,24350.0,23850.0,24050.0,378343.0
2017-04-11,24000.0,24450.0,23850.0,24050.0,402437.0
2017-04-10,24200.0,24900.0,24050.0,24900.0,592172.0
2017-04-07,24900.0,25050.0,24600.0,24750.0,367794.0
2017-04-06,24750.0,25000.0,24450.0,24750.0,424039.0
2017-04-05,24950.0,25000.0,23950.0,24050.0,1552075.0
2017-04-04,23850.0,24150.0,23800.0,24000.0,423231.0
2017-04-03,23900.0,24250.0,23800.0,24050.0,355494.0
2017-03-31,23950.0,24400.0,23800.0,23800.0,601207.0
2017-03-30,23900.0,24450.0,23800.0,24450.0,526598.0
2017-03-29,24150.0,24550.0,23950.0,24500.0,670985.0
2017-03-28,24450.0,24600.0,24350.0,24500.0,550843.0
2017-03-27,24750.0,25100.0,24400.0,25050.0,733585.0
2017-03-24,24950.0,25800.0,24750.0,25750.0,887985.0
2017-03-23,25550.0,25700.0,24650.0,24700.0,1216026.0
2017-03-22,24500.0,24950.0,24450.0,24600.0,429194.0
2017-03-21,24800.0,25000.0,24500.0,24950.0,471031.0
2017-03-20,24800.0,25100.0,24750.0,25000.0,369023.0
2017-03-17,24950.0,25100.0,24400.0,24500.0,724711.0
2017-03-16,24500.0,24850.0,24300.0,24600.0,556571.0
2017-03-15,24300.0,24900.0,24250.0,24600.0,436280.0
2017-03-14,24500.0,24950.0,24100.0,24950.0,787486.0
2017-03-13,24750.0,24950.0,24350.0,24500.0,395398.0
2017-03-10,24500.0,24650.0,24050.0,24300.0,398579.0
2017-03-09,24350.0,24650.0,24300.0,24300.0,591199.0
2017-03-08,24450.0,25100.0,24450.0,25100.0,660676.0
2017-03-07,25100.0,25200.0,24000.0,24050.0,1225705.0
2017-03-06,23950.0,24150.0,23450.0,23800.0,680215.0
2017-03-03,24050.0,24650.0,23750.0,24350.0,980536.0
2017-03-02,24500.0,25150.0,24200.0,24650.0,1226662.0
2017-02-28,24550.0,25450.0,24250.0,25300.0,3256278.0
2017-02-27,26600.0,26950.0,26350.0,26450.0,509370.0
2017-02-24,26300.0,27300.0,26100.0,27050.0,946201.0
2017-02-23,26900.0,27600.0,26700.0,27600.0,786958.0
2017-02-22,27400.0,27850.0,27250.0,27500.0,685129.0
2017-02-21,27300.0,27900.0,27250.0,27650.0,878017.0
2017-02-20,27550.0,28050.0,27250.0,28000.0,918158.0
2017-02-17,28000.0,28400.0,27650.0,28300.0,1454767.0
2017-02-16,28850.0,30300.0,28750.0,30100.0,645424.0
2017-02-15,30000.0,30100.0,29750.0,30100.0,325973.0
2017-02-14,29900.0,30600.0,29850.0,30550.0,624749.0
2017-02-13,30400.0,30600.0,29600.0,29850.0,932864.0
