datetime,close,high,low,open,volume
2017-11-03,6840.0,6960.0,6810.0,6910.0,2315961.0
2017-11-02,6840.0,7210.0,6710.0,7210.0,7026872.0
2017-11-01,7340.0,7440.0,7270.0,7270.0,939892.0
2017-10-31,7350.0,7370.0,7250.0,7300.0,737020.0
2017-10-30,7320.0,7510.0,7290.0,7500.0,947960.0
2017-10-27,7510.0,7650.0,7460.0,7460.0,784421.0
2017-10-26,7490.0,7610.0,7430.0,7560.0,986916.0
2017-10-25,7580.0,7730.0,7340.0,7430.0,3433360.0
2017-10-24,7310.0,7330.0,6930.0,7010.0,1785514.0
2017-10-23,7010.0,7140.0,6930.0,7100.0,1039277.0
2017-10-20,7110.0,7170.0,7070.0,7160.0,416807.0
2017-10-19,7140.0,7300.0,7100.0,7180.0,715452.0
2017-10-18,7190.0,7230.0,7040.0,7110.0,824793.0
2017-10-17,7160.0,7320.0,7070.0,7310.0,793382.0
2017-10-16,7250.0,7320.0,7110.0,7220.0,897706.0
2017-10-13,7150.0,7190.0,7020.0,7110.0,1195721.0
2017-10-12,7130.0,7180.0,7020.0,7050.0,1099723.0
2017-10-11,7080.0,7270.0,7030.0,7250.0,1317743.0
2017-10-10,7300.0,7440.0,7200.0,7270.0,1391670.0
2017-09-29,7210.0,7270.0,7090.0,7190.0,748002.0
2017-09-28,7100.0,7140.0,7030.0,7070.0,464005.0
2017-09-27,7070.0,7210.0,7000.0,7120.0,707487.0
2017-09-26,7190.0,7240.0,7030.0,7040.0,1312640.0
2017-09-25,7000.0,7060.0,6910.0,6910.0,655112.0
2017-09-22,7010.0,7090.0,6940.0,7030.0,664839.0
2017-09-21,7030.0,7220.0,6920.0,7100.0,1214637.0
2017-09-20,7130.0,7300.0,7090.0,7260.0,1122882.0
2017-09-19,7210.0,7290.0,7110.0,7130.0,1041639.0
2017-09-18,7020.0,7060.0,6880.0,6890.0,796608.0
2017-09-15,6890.0,6910.0,6760.0,6850.0,661571.0
2017-09-14,6920.0,6920.0,6760.0,6800.0,932716.0
2017-09-13,6820.0,6960.0,6780.0,6930.0,913617.0
2017-09-12,6940.0,6980.0,6870.0,6930.0,570778.0
2017-09-11,6940.0,7060.0,6850.0,7020.0,1668236.0
2017-09-08,7010.0,7080.0,6960.0,7060.0,885203.0
2017-09-07,7050.0,7130.0,7000.0,7130.0,958650.0
2017-09-06,7070.0,7380.0,7020.0,7280.0,1348686.0
2017-09-05,7340.0,7590.0,7140.0,7200.0,1862611.0
2017-09-04,7100.0,7350.0,7100.0,7150.0,2128558.0
2017-09-01,7430.0,7800.0,7030.0,7120.0,6159334.0
2017-08-31,7030.0,7030.0,6760.0,7020.0,2943706.0
2017-08-30,7050.0,7090.0,6970.0,7080.0,806457.0
2017-08-29,7100.0,7180.0,7020.0,7180.0,763515.0
2017-08-28,7100.0,7160.0,7030.0,7110.0,650531.0
2017-08-25,7110.0,7160.0,7070.0,7140.0,530210.0
2017-08-24,7170.0,7220.0,7090.0,7110.0,615430.0
2017-08-23,7100.0,7200.0,7070.0,7150.0,757391.0
2017-08-22,7160.0,7270.0,7140.0,7160.0,647838.0
2017-08-21,7180.0,7270.0,7000.0,7000.0,1073984.0
2017-08-18,6990.0,7200.0,6920.0,7150.0,1630736.0
2017-08-17,7200.0,7290.0,7100.0,7190.0,925708.0
2017-08-16,7230.0,7360.0,7180.0,7340.0,986628.0
2017-08-14,7340.0,7400.0,7280.0,7370.0,719958.0
2017-08-11,7290.0,7430.0,7220.0,7400.0,1632259.0
2017-08-10,7520.0,7600.0,7340.0,7450.0,1306946.0
2017-08-09,7400.0,7710.0,7400.0,7610.0,1525363.0
2017-08-08,7680.0,7900.0,7660.0,7880.0,907086.0
2017-08-07,7810.0,8030.0,7780.0,7890.0,1265886.0
2017-08-04,7870.0,7900.0,7650.0,7650.0,1021522.0
2017-08-03,7660.0,8150.0,7650.0,8100.0,2854513.0
2017-08-02,8160.0,8320.0,8060.0,8110.0,1435881.0
2017-08-01,8140.0,8230.0,8010.0,8210.0,1248358.0
2017-07-31,8190.0,8200.0,8020.0,8050.0,1737581.0
2017-07-28,8020.0,8160.0,7910.0,7990.0,2294802.0
2017-07-27,7950.0,7980.0,7710.0,7800.0,1497712.0
2017-07-26,7800.0,8020.0,7700.0,7850.0,1891697.0
2017-07-25,7770.0,7830.0,7650.0,7830.0,1007941.0
2017-07-24,7830.0,7870.0,7780.0,7820.0,541826.0
2017-07-21,7780.0,7840.0,7700.0,7830.0,755119.0
2017-07-20,7840.0,7840.0,7710.0,7760.0,762471.0
2017-07-19,7710.0,7780.0,7500.0,7510.0,1312017.0
2017-07-18,7520.0,7650.0,7460.0,7620.0,1064260.0
2017-07-17,7620.0,7740.0,7580.0,7740.0,788496.0
2017-07-14,7690.0,7690.0,7530.0,7540.0,770039.0
2017-07-13,7560.0,7750.0,7530.0,7620.0,1379901.0
2017-07-12,7640.0,7900.0,7580.0,7830.0,1358305.0
2017-07-11,7860.0,8090.0,7830.0,8080.0,1288048.0
2017-07-10,8040.0,8080.0,7820.0,7900.0,1603955.0
2017-07-07,7850.0,7970.0,7800.0,7840.0,1295577.0
2017-07-06,7800.0,8040.0,7700.0,7710.0,1737411.0
2017-07-05,7740.0,7870.0,7720.0,7870.0,970090.0
2017-07-04,7800.0,7940.0,7720.0,7810.0,1478367.0
2017-07-03,7790.0,7950.0,7630.0,7630.0,3030179.0
2017-06-30,7580.0,7790.0,7200.0,7240.0,3973218.0
2017-06-29,7290.0,7340.0,6910.0,6940.0,1867266.0
2017-06-28,6950.0,6990.0,6780.0,6780.0,824792.0
2017-06-27,6770.0,6910.0,6740.0,6900.0,1036909.0
2017-06-26,6910.0,7100.0,6910.0,7100.0,885078.0
2017-06-23,7080.0,7100.0,6880.0,6950.0,927999.0
2017-06-22,6930.0,7000.0,6790.0,6990.0,1077291.0
2017-06-21,6990.0,7000.0,6920.0,6920.0,971610.0
2017-06-20,6980.0,7040.0,6890.0,6890.0,941761.0
2017-06-19,6990.0,7080.0,6940.0,7040.0,1026494.0
2017-06-16,7070.0,7110.0,7040.0,7090.0,1121892.0
2017-06-15,7110.0,7200.0,7050.0,7170.0,1088457.0
2017-06-14,7190.0,7210.0,7060.0,7180.0,1383755.0
2017-06-13,7190.0,7190.0,7060.0,7070.0,1330809.0
2017-06-12,7080.0,7220.0,7040.0,7100.0,1400170.0
2017-06-09,7140.0,7420.0,7100.0,7420.0,2742475.0
2017-06-08,7360.0,7440.0,7270.0,7350.0,2393849.0
2017-06-07,7430.0,7550.0,7420.0,7500.0,1166031.0
2017-06-05,7480.0,7550.0,7290.0,7540.0,2412659.0
2017-06-02,7540.0,7590.0,7500.0,7560.0,981631.0
2017-06-01,7560.0,7610.0,7500.0,7560.0,1266807.0
2017-05-31,7550.0,7660.0,7500.0,7560.0,1678188.0
2017-05-30,7580.0,7680.0,7510.0,7600.0,1751938.0
2017-05-29,7580.0,7740.0,7500.0,7700.0,2822267.0
2017-05-26,7740.0,7840.0,7720.0,7830.0,2336480.0
2017-05-25,7790.0,7800.0,7570.0,7650.0,4515872.0
2017-05-24,7610.0,7660.0,7420.0,7510.0,36770279.0
2017-05-23,8120.0,8180.0,8030.0,8050.0,865925.0
2017-05-22,8070.0,8070.0,7920.0,7980.0,1109274.0
2017-05-19,7930.0,7980.0,7820.0,7980.0,807879.0
2017-05-18,7910.0,7970.0,7690.0,7700.0,1046599.0
2017-05-17,7820.0,7970.0,7740.0,7920.0,1394199.0
2017-05-16,7910.0,7910.0,7660.0,7720.0,936018.0
2017-05-15,7700.0,7850.0,7660.0,7740.0,891423.0
2017-05-12,7750.0,7770.0,7640.0,7730.0,658565.0
2017-05-11,7740.0,7750.0,7550.0,7620.0,1164338.0
2017-05-10,7580.0,7640.0,7470.0,7500.0,1426044.0
2017-05-08,7490.0,7500.0,7360.0,7470.0,882883.0
2017-05-04,7470.0,7470.0,7260.0,7260.0,1455605.0
2017-05-02,7310.0,7350.0,7230.0,7230.0,891987.0
2017-04-28,7290.0,7350.0,7190.0,7310.0,950252.0
2017-04-27,7280.0,7340.0,7220.0,7260.0,636467.0
2017-04-26,7290.0,7390.0,7240.0,7280.0,1058396.0
2017-04-25,7280.0,7520.0,7200.0,7300.0,2199589.0
2017-04-24,7220.0,7220.0,7150.0,7150.0,1024038.0
2017-04-21,7110.0,7210.0,7070.0,7100.0,1095646.0
2017-04-20,7070.0,7120.0,6860.0,6900.0,978857.0
2017-04-19,6930.0,6980.0,6880.0,6880.0,726707.0
2017-04-18,6910.0,6950.0,6840.0,6860.0,849937.0
2017-04-17,6880.0,6930.0,6810.0,6860.0,705817.0
2017-04-14,6820.0,6860.0,6780.0,6820.0,1024041.0
2017-04-13,6780.0,6870.0,6670.0,6790.0,10426634.0
2017-04-12,7110.0,7160.0,7070.0,7130.0,453222.0
2017-04-11,7130.0,7180.0,7030.0,7040.0,557485.0
2017-04-10,7080.0,7240.0,6980.0,7140.0,836997.0
2017-04-07,7200.0,7230.0,7130.0,7190.0,332690.0
2017-04-06,7190.0,7220.0,7120.0,7160.0,373754.0
2017-04-05,7170.0,7280.0,7130.0,7180.0,947900.0
2017-04-04,7170.0,7220.0,7080.0,7180.0,823907.0
2017-04-03,7170.0,7260.0,7130.0,7250.0,645719.0
2017-03-31,7250.0,7340.0,7130.0,7210.0,781679.0
2017-03-30,7210.0,7250.0,7050.0,7250.0,842066.0
2017-03-29,7230.0,7330.0,7170.0,7320.0,722384.0
2017-03-28,7320.0,7370.0,7020.0,7040.0,1388249.0
2017-03-27,7010.0,7150.0,6940.0,7060.0,1079308.0
2017-03-24,7060.0,7310.0,7010.0,7290.0,1669870.0
2017-03-23,7280.0,7320.0,7000.0,7030.0,2109328.0
2017-03-22,6940.0,7020.0,6800.0,6860.0,1976295.0
2017-03-21,6870.0,6920.0,6710.0,6790.0,1416879.0
2017-03-20,6720.0,6780.0,6610.0,6680.0,902633.0
2017-03-17,6690.0,6780.0,6540.0,6670.0,1591133.0
2017-03-16,6580.0,6660.0,6440.0,6440.0,1339897.0
2017-03-15,6380.0,6480.0,6300.0,6310.0,884857.0
2017-03-14,6370.0,6440.0,6270.0,6340.0,1003245.0
2017-03-13,6360.0,6360.0,6170.0,6260.0,694239.0
2017-03-10,6250.0,6300.0,6140.0,6220.0,472344.0
2017-03-09,6240.0,6360.0,6230.0,6360.0,606150.0
2017-03-08,6360.0,6560.0,6300.0,6400.0,1197591.0
2017-03-07,6370.0,6380.0,6060.0,6060.0,1464485.0
2017-03-06,6090.0,6120.0,5990.0,6000.0,548567.0
2017-03-03,6030.0,6100.0,5990.0,6060.0,672617.0
2017-03-02,6120.0,6160.0,6060.0,6150.0,709686.0
2017-02-28,6130.0,6140.0,5960.0,6030.0,1324044.0
2017-02-27,6210.0,6230.0,6160.0,6160.0,371758.0
2017-02-24,6180.0,6220.0,6140.0,6220.0,475533.0
2017-02-23,6220.0,6240.0,6160.0,6230.0,560958.0
2017-02-22,6230.0,6230.0,6140.0,6180.0,497366.0
2017-02-21,6150.0,6190.0,6080.0,6130.0,836782.0
2017-02-20,6120.0,6230.0,6040.0,6220.0,772600.0
2017-02-17,6220.0,6270.0,6170.0,6200.0,699234.0
2017-02-16,6250.0,6380.0,6190.0,6300.0,914056.0
2017-02-15,6270.0,6510.0,6170.0,6500.0,3185984.0
2017-02-14,6130.0,6130.0,5880.0,6020.0,1425775.0
2017-02-13,6010.0,6080.0,5820.0,5860.0,2434697.0
2017-02-10,5830.0,5980.0,5760.0,5920.0,2694168.0
2017-02-09,5840.0,5880.0,5380.0,5380.0,4746627.0
2017-02-08,5350.0,5380.0,5270.0,5370.0,754736.0
2017-02-07,5400.0,5450.0,5350.0,5400.0,572240.0
2017-02-06,5420.0,5510.0,5380.0,5510.0,732868.0
2017-02-03,5350.0,5500.0,5270.0,5280.0,1436053.0
2017-02-02,5270.0,5320.0,5210.0,5230.0,904580.0
2017-02-01,5280.0,5280.0,5200.0,5230.0,746819.0
2017-01-31,5180.0,5240.0,5170.0,5210.0,402388.0
2017-01-26,5200.0,5230.0,5120.0,5130.0,537159.0
2017-01-25,5110.0,5280.0,5100.0,5210.0,803223.0
2017-01-24,5240.0,5300.0,5190.0,5260.0,424463.0
2017-01-23,5290.0,5400.0,5280.0,5330.0,417446.0
2017-01-20,5330.0,5370.0,5300.0,5360.0,334277.0
2017-01-19,5340.0,5450.0,5320.0,5350.0,328619.0
2017-01-18,5380.0,5410.0,5330.0,5400.0,360888.0
2017-01-17,5410.0,5420.0,5330.0,5330.0,359809.0
2017-01-16,5380.0,5480.0,5280.0,5460.0,746149.0
