datetime,close,high,low,open,volume
2017-11-03,6550.0,6780.0,6450.0,6450.0,999032.0
2017-11-02,6410.0,6560.0,6400.0,6530.0,638528.0
2017-11-01,6550.0,6620.0,6490.0,6500.0,606152.0
2017-10-31,6550.0,6700.0,6420.0,6680.0,1322928.0
2017-10-30,6700.0,6790.0,6630.0,6730.0,1018040.0
2017-10-27,6670.0,6910.0,6550.0,6600.0,2544678.0
2017-10-26,6540.0,6690.0,6380.0,6430.0,2205812.0
2017-10-25,6420.0,6620.0,5960.0,6020.0,2511082.0
2017-10-24,6060.0,6170.0,5970.0,6080.0,669653.0
2017-10-23,6100.0,6330.0,6090.0,6310.0,1358759.0
2017-10-20,6290.0,6460.0,5790.0,5830.0,3863757.0
2017-10-19,5820.0,5940.0,5780.0,5850.0,724022.0
2017-10-18,5900.0,5930.0,5720.0,5840.0,861113.0
2017-10-17,5880.0,6110.0,5840.0,6050.0,1300965.0
2017-10-16,6090.0,6290.0,6050.0,6120.0,761172.0
2017-10-13,6110.0,6350.0,6100.0,6350.0,1321706.0
2017-10-12,6270.0,6340.0,6010.0,6020.0,1839277.0
2017-10-11,6040.0,6070.0,5900.0,5970.0,1130304.0
2017-10-10,5980.0,6210.0,5680.0,6210.0,2824096.0
2017-09-29,5980.0,6160.0,5960.0,6060.0,1942684.0
2017-09-28,5940.0,6160.0,5540.0,5680.0,5925060.0
2017-09-27,5620.0,5740.0,5270.0,5480.0,4555630.0
2017-09-26,5280.0,5390.0,5040.0,5040.0,3150833.0
2017-09-25,4970.0,5210.0,4970.0,5140.0,1167394.0
2017-09-22,5190.0,5460.0,5150.0,5460.0,1881888.0
2017-09-21,5530.0,5710.0,5070.0,5100.0,6261346.0
2017-09-20,5070.0,5200.0,5060.0,5200.0,1136209.0
2017-09-19,5140.0,5200.0,4990.0,4990.0,1666797.0
2017-09-18,5010.0,5150.0,5000.0,5150.0,1360178.0
2017-09-15,5080.0,5120.0,4975.0,5000.0,1796774.0
2017-09-14,5080.0,5300.0,4800.0,4990.0,3789122.0
2017-09-13,4990.0,5210.0,4955.0,5200.0,3648047.0
2017-09-12,5260.0,5370.0,5140.0,5180.0,2089702.0
2017-09-11,5100.0,5420.0,5080.0,5350.0,3079893.0
2017-09-08,5420.0,5680.0,5400.0,5600.0,1697945.0
2017-09-07,5500.0,5780.0,5360.0,5360.0,5707779.0
2017-09-06,5350.0,6260.0,5300.0,6180.0,11136955.0
2017-09-05,6580.0,6760.0,6560.0,6620.0,733930.0
2017-09-04,6600.0,6760.0,6590.0,6620.0,801482.0
2017-09-01,6790.0,6960.0,6630.0,6680.0,1324514.0
