datetime,close,high,low,open,volume
2017-11-03,3645.0,3725.0,3620.0,3620.0,322006.0
2017-11-02,3625.0,3730.0,3620.0,3665.0,371654.0
2017-11-01,3715.0,3765.0,3570.0,3755.0,723352.0
2017-10-31,3820.0,3875.0,3765.0,3770.0,310185.0
2017-10-30,3815.0,3815.0,3695.0,3775.0,296707.0
2017-10-27,3775.0,3785.0,3600.0,3675.0,371642.0
2017-10-26,3675.0,3730.0,3635.0,3635.0,246355.0
2017-10-25,3660.0,3700.0,3630.0,3650.0,271202.0
2017-10-24,3660.0,3695.0,3610.0,3675.0,482876.0
2017-10-23,3675.0,3880.0,3640.0,3860.0,786172.0
2017-10-20,3890.0,4000.0,3885.0,3950.0,270872.0
2017-10-19,3965.0,4000.0,3840.0,3915.0,243512.0
2017-10-18,3910.0,4065.0,3900.0,4065.0,301274.0
2017-10-17,4035.0,4035.0,3965.0,3985.0,347357.0
2017-10-16,4000.0,4030.0,3905.0,3940.0,297219.0
2017-10-13,3940.0,4050.0,3900.0,4050.0,228796.0
2017-10-12,4000.0,4020.0,3810.0,3815.0,449756.0
2017-10-11,3830.0,3865.0,3755.0,3775.0,222983.0
2017-10-10,3810.0,3875.0,3760.0,3770.0,295170.0
2017-09-29,3800.0,3850.0,3705.0,3745.0,236857.0
2017-09-28,3700.0,3765.0,3605.0,3665.0,266821.0
2017-09-27,3715.0,3890.0,3705.0,3855.0,356881.0
2017-09-26,3855.0,3920.0,3665.0,3665.0,497191.0
2017-09-25,3605.0,3860.0,3600.0,3860.0,623534.0
2017-09-22,3800.0,3860.0,3770.0,3800.0,402787.0
2017-09-21,3860.0,3995.0,3855.0,3975.0,322240.0
2017-09-20,3910.0,4055.0,3910.0,4055.0,376208.0
2017-09-19,4010.0,4090.0,3900.0,3905.0,765482.0
2017-09-18,3905.0,3950.0,3870.0,3920.0,266587.0
2017-09-15,3960.0,4015.0,3815.0,4015.0,713614.0
2017-09-14,3990.0,4065.0,3875.0,3920.0,1257317.0
2017-09-13,3770.0,4005.0,3740.0,4000.0,1163312.0
2017-09-12,3960.0,4055.0,3880.0,4045.0,1022752.0
2017-09-11,4035.0,4195.0,3990.0,4075.0,683756.0
2017-09-08,4075.0,4310.0,3965.0,4310.0,1324069.0
2017-09-07,4300.0,4375.0,4240.0,4310.0,405476.0
2017-09-06,4280.0,4380.0,4230.0,4340.0,507320.0
2017-09-05,4335.0,4485.0,4295.0,4455.0,652961.0
2017-09-04,4415.0,4565.0,4405.0,4470.0,631566.0
2017-09-01,4590.0,4725.0,4570.0,4720.0,580787.0
2017-08-31,4700.0,4805.0,4680.0,4805.0,364148.0
