datetime,close,high,low,open,volume
2017-11-03,508000.0,518000.0,500000.0,509000.0,156100.0
2017-11-02,485000.0,498000.0,484500.0,495000.0,94885.0
2017-11-01,499000.0,508000.0,476000.0,479500.0,251688.0
2017-10-31,463500.0,471500.0,456000.0,461000.0,109134.0
2017-10-30,462000.0,486000.0,460000.0,484500.0,132032.0
2017-10-27,484500.0,489500.0,469000.0,478000.0,90550.0
2017-10-26,477500.0,487000.0,473500.0,487000.0,134575.0
2017-10-25,487000.0,506000.0,486000.0,504000.0,145831.0
2017-10-24,508000.0,509000.0,496000.0,501000.0,80561.0
2017-10-23,505000.0,522000.0,499500.0,513000.0,90025.0
2017-10-20,513000.0,521000.0,504000.0,511000.0,93168.0
2017-10-19,515000.0,524000.0,494500.0,498500.0,327206.0
2017-10-18,480000.0,493500.0,474000.0,480000.0,102355.0
2017-10-17,482000.0,483500.0,465500.0,477000.0,103789.0
2017-10-16,480000.0,495000.0,473000.0,492000.0,91623.0
2017-10-13,486000.0,494500.0,476500.0,488000.0,117015.0
2017-10-12,485500.0,488500.0,467000.0,467500.0,159936.0
2017-10-11,463000.0,482000.0,455000.0,479500.0,118399.0
2017-10-10,476500.0,478500.0,458500.0,459000.0,161969.0
2017-09-29,454500.0,457000.0,434000.0,434000.0,201366.0
2017-09-28,431000.0,443500.0,431000.0,438500.0,64332.0
2017-09-27,440500.0,444000.0,434000.0,441000.0,54456.0
2017-09-26,441000.0,445500.0,432000.0,440000.0,59963.0
2017-09-25,441000.0,446000.0,432500.0,436500.0,75514.0
2017-09-22,436500.0,447000.0,427000.0,440500.0,107307.0
2017-09-21,443000.0,453000.0,436000.0,450500.0,99636.0
2017-09-20,447000.0,453500.0,427500.0,434000.0,250851.0
2017-09-19,431000.0,431000.0,406000.0,406500.0,238657.0
2017-09-18,405500.0,415500.0,405500.0,415000.0,59549.0
2017-09-15,412000.0,417000.0,408000.0,408000.0,71450.0
2017-09-14,410000.0,410000.0,401000.0,401000.0,73119.0
2017-09-13,403000.0,412000.0,403000.0,412000.0,79915.0
2017-09-12,412000.0,421500.0,407500.0,419500.0,81807.0
2017-09-11,418500.0,420500.0,415000.0,415000.0,55547.0
2017-09-08,414000.0,425000.0,410500.0,418000.0,98819.0
2017-09-07,416000.0,419000.0,407500.0,412000.0,88464.0
2017-09-06,410000.0,412000.0,398500.0,399500.0,95608.0
2017-09-05,400500.0,411000.0,395000.0,410000.0,107801.0
2017-09-04,406500.0,412500.0,401000.0,401000.0,105192.0
2017-09-01,412500.0,418500.0,404000.0,404500.0,208194.0
2017-08-31,403000.0,407000.0,399000.0,405000.0,67577.0
2017-08-30,403500.0,408000.0,396000.0,399500.0,117406.0
2017-08-29,399000.0,403000.0,391500.0,397500.0,146211.0
2017-08-28,397500.0,397500.0,372500.0,374000.0,260032.0
2017-08-25,370500.0,372000.0,366500.0,371000.0,31722.0
2017-08-24,368500.0,373500.0,366500.0,368000.0,44262.0
2017-08-23,368000.0,371500.0,366000.0,371000.0,38411.0
2017-08-22,371000.0,374000.0,365500.0,373500.0,55265.0
2017-08-21,368500.0,374500.0,364000.0,367500.0,86065.0
2017-08-18,366500.0,367500.0,344000.0,344000.0,124945.0
2017-08-17,346500.0,347000.0,338500.0,339500.0,44087.0
2017-08-16,339000.0,344000.0,337000.0,342500.0,57280.0
2017-08-14,341000.0,346500.0,340000.0,344500.0,41091.0
2017-08-11,344000.0,347500.0,340000.0,343500.0,46310.0
2017-08-10,348000.0,352500.0,343500.0,344000.0,61732.0
2017-08-09,345000.0,349500.0,345000.0,349500.0,47076.0
2017-08-08,351000.0,358000.0,348500.0,354000.0,41550.0
2017-08-07,353500.0,355000.0,344500.0,345000.0,63235.0
2017-08-04,344500.0,349500.0,339500.0,339500.0,70695.0
2017-08-03,341500.0,356500.0,341500.0,356000.0,149934.0
2017-08-02,356000.0,366500.0,355000.0,364500.0,95062.0
2017-08-01,362500.0,371500.0,361000.0,367500.0,93630.0
2017-07-31,368000.0,377000.0,367500.0,372000.0,76885.0
2017-07-28,375000.0,382500.0,373500.0,382000.0,71661.0
2017-07-27,381000.0,382000.0,376000.0,381000.0,47664.0
2017-07-26,379000.0,381000.0,375000.0,375500.0,49496.0
2017-07-25,375500.0,379000.0,372500.0,376000.0,59931.0
2017-07-24,377000.0,380000.0,375000.0,377500.0,26977.0
2017-07-21,377500.0,385500.0,377000.0,384500.0,74275.0
2017-07-20,383000.0,384000.0,372500.0,375000.0,78602.0
2017-07-19,374500.0,380000.0,370500.0,375000.0,82717.0
2017-07-18,375000.0,379000.0,370500.0,379000.0,59037.0
2017-07-17,376500.0,383000.0,370000.0,374500.0,83454.0
2017-07-14,374500.0,374500.0,368000.0,373000.0,45183.0
2017-07-13,372000.0,382000.0,369000.0,381500.0,78122.0
2017-07-12,377500.0,386500.0,375500.0,377000.0,80715.0
2017-07-11,374000.0,374500.0,367000.0,369000.0,51520.0
2017-07-10,369500.0,378000.0,368500.0,377000.0,47711.0
2017-07-07,377000.0,383000.0,373500.0,381500.0,57561.0
2017-07-06,381500.0,385000.0,374000.0,374000.0,96761.0
2017-07-05,374000.0,374500.0,367500.0,368500.0,50804.0
2017-07-04,368500.0,376000.0,367500.0,370500.0,61932.0
2017-07-03,370500.0,377000.0,363000.0,376500.0,106427.0
2017-06-30,373000.0,387500.0,371000.0,380500.0,139794.0
2017-06-29,385500.0,388500.0,373000.0,386000.0,120516.0
2017-06-28,382500.0,402000.0,381500.0,401000.0,197053.0
2017-06-27,404500.0,410000.0,401500.0,403500.0,65048.0
2017-06-26,405000.0,413000.0,404500.0,412000.0,59464.0
2017-06-23,409000.0,416500.0,406500.0,413000.0,70791.0
2017-06-22,408500.0,412000.0,401000.0,406500.0,101748.0
2017-06-21,401000.0,404500.0,396000.0,396000.0,79199.0
2017-06-20,400000.0,413500.0,398500.0,411000.0,103050.0
2017-06-19,409500.0,414500.0,390500.0,401000.0,149263.0
2017-06-16,400500.0,423000.0,400000.0,422000.0,222827.0
2017-06-15,424500.0,427500.0,412000.0,427500.0,177302.0
2017-06-14,426500.0,432000.0,420000.0,424500.0,211626.0
2017-06-13,422000.0,427000.0,409500.0,412500.0,278350.0
2017-06-12,408500.0,420500.0,406500.0,417500.0,174634.0
2017-06-09,414500.0,418000.0,400000.0,402500.0,324268.0
2017-06-08,393000.0,398500.0,388500.0,388500.0,149489.0
2017-06-07,387500.0,390500.0,383500.0,389000.0,111545.0
2017-06-05,392000.0,403000.0,388000.0,391500.0,191768.0
2017-06-02,388500.0,391000.0,383500.0,389500.0,119960.0
2017-06-01,388500.0,393500.0,378000.0,387000.0,187292.0
2017-05-31,382000.0,390000.0,368500.0,370500.0,339295.0
2017-05-30,367000.0,372000.0,356000.0,360000.0,145660.0
2017-05-29,358500.0,367500.0,357500.0,367000.0,80814.0
