날짜,거래유형,종목코드,종목명,거래가격,거래량
1997-10-04,buy,000120,CJ대한통운,17100,584
1997-12-13,sell,000120,CJ대한통운,6300,584
1998-02-16,buy,000120,CJ대한통운,5700,647
1998-02-18,sell,000120,CJ대한통운,6290,647
1998-04-03,buy,000120,CJ대한통운,5640,722
1998-04-07,sell,000120,CJ대한통운,6230,722
1998-04-20,buy,000120,CJ대한통운,5500,818
1998-07-01,sell,000120,CJ대한통운,2745,818
1998-07-11,buy,000120,CJ대한통운,2505,896
1998-07-18,sell,000120,CJ대한통운,2770,896
1998-08-18,buy,000120,CJ대한통운,2420,1026
1998-08-24,sell,000120,CJ대한통운,2670,1026
1998-08-26,buy,000120,CJ대한통운,2400,1142
1998-09-03,sell,000120,CJ대한통운,2650,1142
2000-04-26,buy,000120,CJ대한통운,5950,508
2000-05-09,sell,000120,CJ대한통운,6570,508
2000-05-18,buy,000120,CJ대한통운,4530,737
2000-05-19,sell,000120,CJ대한통운,5000,737
2000-05-22,buy,000120,CJ대한통운,3945,934
2000-05-25,sell,000120,CJ대한통운,4360,934
2000-10-30,buy,000120,CJ대한통운,3550,1147
2001-01-03,sell,000120,CJ대한통운,2380,1147
2001-04-20,buy,000120,CJ대한통운,1400,1952
2001-04-24,sell,000120,CJ대한통운,1550,1952
2001-04-26,buy,000120,CJ대한통운,1380,2192
2001-05-14,sell,000120,CJ대한통운,1530,2192
2003-03-05,buy,000120,CJ대한통운,7400,453
2003-04-11,sell,000120,CJ대한통운,8170,453
2008-10-24,buy,000120,CJ대한통운,85900,43
2008-11-25,sell,000120,CJ대한통운,94800,43
2008-12-02,buy,000120,CJ대한통운,82300,49
2008-12-05,sell,000120,CJ대한통운,84900,49
2009-05-18,buy,000120,CJ대한통운,75600,55
2009-05-22,sell,000120,CJ대한통운,83500,55
2009-07-13,buy,000120,CJ대한통운,74900,62
2009-10-01,sell,000120,CJ대한통운,70100,62
2009-10-26,buy,000120,CJ대한통운,68600,63
2010-01-22,sell,000120,CJ대한통운,59000,63
2011-10-04,buy,000120,CJ대한통운,62100,60
2011-10-10,sell,000120,CJ대한통운,68600,60
2013-10-16,buy,000120,CJ대한통운,89200,46
2013-12-26,sell,000120,CJ대한통운,98500,46
2016-12-01,buy,000120,CJ대한통운,178000,25
2016-12-14,sell,000120,CJ대한통운,182500,25
2016-12-26,buy,000120,CJ대한통운,177000,26
2012-07-12,buy,139480,이마트,235000,42
2012-07-31,sell,139480,이마트,260000,42
2012-10-15,buy,139480,이마트,226000,48
2012-12-21,sell,139480,이마트,236000,48
2013-03-04,buy,139480,이마트,216000,53
2013-05-30,sell,139480,이마트,200000,53
2013-06-07,buy,139480,이마트,189000,56
2013-07-08,sell,139480,이마트,209000,56
2014-10-02,buy,139480,이마트,219000,53
2014-12-02,sell,139480,이마트,224500,53
