datetime,close,high,low,open,volume
2017-11-03,25150.0,25550.0,24800.0,25200.0,194096.0
2017-11-02,25150.0,26100.0,24950.0,26100.0,272881.0
2017-11-01,26150.0,26650.0,25750.0,26150.0,238526.0
2017-10-31,26600.0,27050.0,26550.0,26900.0,148168.0
2017-10-30,26900.0,27000.0,26600.0,27000.0,124955.0
2017-10-27,27150.0,27200.0,26450.0,26450.0,270061.0
2017-10-26,26650.0,26750.0,26100.0,26450.0,143680.0
2017-10-25,26450.0,26650.0,25950.0,26300.0,155091.0
2017-10-24,26400.0,26550.0,26100.0,26150.0,149381.0
2017-10-23,26100.0,26250.0,25950.0,25950.0,173779.0
2017-10-20,25750.0,26700.0,25350.0,25400.0,504432.0
2017-10-19,25300.0,25500.0,25000.0,25050.0,155254.0
2017-10-18,25150.0,25400.0,24950.0,25350.0,236161.0
2017-10-17,25300.0,25700.0,24900.0,25650.0,229391.0
2017-10-16,25400.0,25850.0,23850.0,25350.0,879409.0
2017-10-13,26750.0,26950.0,26400.0,26400.0,155923.0
2017-10-12,26500.0,26850.0,26350.0,26650.0,280469.0
2017-10-11,26900.0,27100.0,26500.0,26900.0,199622.0
2017-10-10,26700.0,26750.0,26000.0,26300.0,178900.0
2017-09-29,26300.0,26300.0,26050.0,26100.0,182629.0
2017-09-28,26100.0,26200.0,25600.0,25850.0,252728.0
2017-09-27,25800.0,25850.0,25250.0,25250.0,250253.0
2017-09-26,25250.0,25600.0,25100.0,25400.0,162559.0
2017-09-25,25450.0,25600.0,25350.0,25500.0,226899.0
2017-09-22,25500.0,25550.0,25050.0,25300.0,212178.0
2017-09-21,25500.0,25600.0,24900.0,25050.0,286981.0
2017-09-20,25200.0,25250.0,24850.0,24850.0,322529.0
2017-09-19,24650.0,24950.0,24450.0,24750.0,173843.0
2017-09-18,24850.0,25300.0,24800.0,25300.0,137761.0
2017-09-15,25300.0,25450.0,25100.0,25300.0,128541.0
2017-09-14,25350.0,25350.0,24750.0,24800.0,135853.0
2017-09-13,25050.0,25250.0,24550.0,24700.0,169512.0
2017-09-12,24650.0,25150.0,24450.0,25100.0,209796.0
2017-09-11,25000.0,25550.0,24900.0,25350.0,130021.0
2017-09-08,25200.0,25750.0,24950.0,25600.0,127596.0
2017-09-07,25800.0,25900.0,24800.0,24900.0,399854.0
2017-09-06,24550.0,24950.0,24500.0,24700.0,111554.0
2017-09-05,24550.0,25000.0,24200.0,24950.0,171641.0
2017-09-04,24900.0,25200.0,24200.0,24250.0,183360.0
2017-09-01,24850.0,26450.0,24800.0,26450.0,391167.0
2017-08-31,26100.0,26100.0,25700.0,26050.0,136488.0
