datetime,close,high,low,open,volume
2017-11-03,274500.0,275000.0,272000.0,273000.0,76295.0
2017-11-02,271000.0,271500.0,267500.0,268000.0,95487.0
2017-11-01,267500.0,273000.0,266000.0,270000.0,231406.0
2017-10-31,273000.0,275000.0,269500.0,271500.0,131215.0
2017-10-30,273000.0,281000.0,272000.0,279500.0,110537.0
2017-10-27,281500.0,283500.0,278500.0,279500.0,63376.0
2017-10-26,281000.0,284000.0,279000.0,281500.0,56799.0
2017-10-25,282500.0,284500.0,278000.0,278000.0,91612.0
2017-10-24,279000.0,280500.0,277000.0,278500.0,57404.0
2017-10-23,280000.0,284500.0,278500.0,281500.0,64525.0
2017-10-20,283000.0,283000.0,278000.0,278000.0,68425.0
2017-10-19,278000.0,282500.0,275500.0,276500.0,66343.0
2017-10-18,276500.0,277500.0,275000.0,276000.0,78498.0
2017-10-17,278500.0,284500.0,277500.0,282500.0,115960.0
2017-10-16,283500.0,288500.0,283000.0,287500.0,57358.0
2017-10-13,288000.0,290000.0,284500.0,284500.0,63988.0
2017-10-12,286000.0,286000.0,281000.0,281000.0,75988.0
2017-10-11,283000.0,283500.0,278000.0,279500.0,67796.0
2017-10-10,282500.0,284000.0,278000.0,280000.0,132327.0
2017-09-29,280000.0,282000.0,278000.0,282000.0,45159.0
2017-09-28,280000.0,280000.0,274500.0,276500.0,52648.0
2017-09-27,279000.0,280000.0,276000.0,277000.0,66392.0
2017-09-26,279000.0,279500.0,272500.0,275500.0,77127.0
2017-09-25,273000.0,277500.0,272500.0,277000.0,65256.0
2017-09-22,276000.0,276500.0,269500.0,269500.0,85632.0
2017-09-21,270000.0,272000.0,269000.0,270500.0,51230.0
2017-09-20,273000.0,274000.0,270000.0,270500.0,63253.0
2017-09-19,269000.0,274500.0,268000.0,274500.0,54559.0
2017-09-18,274000.0,274500.0,270500.0,273000.0,76973.0
2017-09-15,271500.0,271500.0,264500.0,266500.0,67037.0
2017-09-14,265500.0,267500.0,262500.0,265500.0,107224.0
2017-09-13,266500.0,270000.0,265000.0,269000.0,63912.0
2017-09-12,269500.0,274500.0,269000.0,273500.0,39742.0
2017-09-11,271000.0,274500.0,270500.0,273000.0,46832.0
2017-09-08,273000.0,275500.0,267500.0,269500.0,78297.0
2017-09-07,269500.0,271500.0,267500.0,267500.0,64545.0
2017-09-06,266500.0,269500.0,263500.0,269500.0,83674.0
2017-09-05,269000.0,272000.0,266500.0,271000.0,55376.0
2017-09-04,270500.0,273000.0,268000.0,270500.0,47438.0
2017-09-01,270000.0,278000.0,269500.0,276500.0,126906.0
2017-08-31,276500.0,281000.0,274500.0,280500.0,87911.0
2017-08-30,281500.0,287000.0,280500.0,287000.0,75201.0
2017-08-29,286500.0,287000.0,282500.0,285500.0,50316.0
2017-08-28,285000.0,291500.0,283000.0,289000.0,74581.0
2017-08-25,292500.0,292500.0,287500.0,289500.0,62263.0
2017-08-24,288500.0,288500.0,282500.0,283000.0,54510.0
2017-08-23,283000.0,285000.0,281500.0,284000.0,57213.0
2017-08-22,285000.0,287000.0,283500.0,286000.0,27223.0
2017-08-21,284000.0,286500.0,283000.0,285500.0,57517.0
2017-08-18,286500.0,290000.0,284500.0,285000.0,95080.0
2017-08-17,286500.0,291500.0,285500.0,290000.0,78702.0
2017-08-16,291000.0,291500.0,284000.0,286000.0,102138.0
2017-08-14,283000.0,289000.0,282500.0,288000.0,64732.0
2017-08-11,289500.0,289500.0,283000.0,283000.0,120001.0
2017-08-10,286500.0,300000.0,281000.0,297000.0,160524.0
2017-08-09,298000.0,299500.0,295500.0,296000.0,41954.0
2017-08-08,298000.0,300500.0,296000.0,299000.0,65102.0
2017-08-07,299500.0,301000.0,297000.0,301000.0,34303.0
2017-08-04,299000.0,307000.0,297000.0,303500.0,55482.0
2017-08-03,303500.0,304500.0,300500.0,301000.0,68882.0
