datetime,close,high,low,open,volume
2017-11-03,31100.0,31350.0,30850.0,31000.0,391715.0
2017-11-02,31000.0,31500.0,30800.0,31200.0,515825.0
2017-11-01,30950.0,31700.0,30850.0,31300.0,574974.0
2017-10-31,31650.0,32200.0,31450.0,31750.0,619690.0
2017-10-30,31400.0,32600.0,31250.0,32100.0,498952.0
2017-10-27,31850.0,33250.0,31750.0,32400.0,926863.0
2017-10-26,32300.0,32500.0,30150.0,30450.0,1358053.0
2017-10-25,30500.0,30500.0,29950.0,30200.0,330892.0
2017-10-24,30200.0,30350.0,29950.0,30050.0,369091.0
2017-10-23,30250.0,31200.0,30100.0,31150.0,480035.0
2017-10-20,31150.0,31350.0,30700.0,30950.0,390011.0
2017-10-19,31050.0,31150.0,29450.0,29450.0,806595.0
2017-10-18,29400.0,29900.0,29150.0,29900.0,496474.0
2017-10-17,29750.0,30000.0,29600.0,29800.0,549660.0
2017-10-16,30300.0,30450.0,30050.0,30400.0,452201.0
2017-10-13,30100.0,30400.0,29800.0,29900.0,440720.0
2017-10-12,29900.0,30250.0,29700.0,29700.0,526294.0
2017-10-11,29750.0,30200.0,29650.0,30100.0,532582.0
2017-10-10,30200.0,31100.0,30150.0,31000.0,529393.0
2017-09-29,30800.0,30800.0,29800.0,29850.0,481661.0
2017-09-28,29800.0,30450.0,29600.0,30450.0,662653.0
2017-09-27,30450.0,30850.0,30300.0,30750.0,263177.0
2017-09-26,30550.0,30900.0,30200.0,30900.0,507659.0
2017-09-25,30900.0,31750.0,30550.0,31500.0,331815.0
2017-09-22,31500.0,31850.0,31300.0,31500.0,351923.0
2017-09-21,31800.0,32800.0,31800.0,32550.0,358325.0
2017-09-20,32900.0,33700.0,32800.0,33550.0,366662.0
2017-09-19,33400.0,33400.0,32200.0,32350.0,542586.0
2017-09-18,32450.0,32850.0,32250.0,32350.0,314149.0
2017-09-15,32450.0,32650.0,32200.0,32500.0,391987.0
2017-09-14,32900.0,33050.0,32350.0,32550.0,441578.0
2017-09-13,32800.0,32850.0,32100.0,32800.0,415686.0
2017-09-12,32850.0,32950.0,32350.0,32950.0,355770.0
2017-09-11,32750.0,33100.0,31900.0,32100.0,568569.0
2017-09-08,31750.0,31950.0,31250.0,31800.0,375230.0
2017-09-07,31750.0,32200.0,31700.0,31950.0,460676.0
2017-09-06,31850.0,32250.0,31700.0,32200.0,382256.0
2017-09-05,32150.0,32250.0,31750.0,32050.0,370852.0
2017-09-04,31950.0,32600.0,31750.0,31750.0,640338.0
2017-09-01,33050.0,33600.0,32950.0,33150.0,413851.0
2017-08-31,33200.0,33550.0,32950.0,33200.0,528637.0
2017-08-30,33150.0,33250.0,32750.0,32800.0,348973.0
2017-08-29,32650.0,33150.0,32300.0,32850.0,504863.0
2017-08-28,33050.0,33550.0,32800.0,33350.0,296394.0
2017-08-25,33150.0,33600.0,33050.0,33600.0,434318.0
2017-08-24,33450.0,33850.0,32850.0,32900.0,722723.0
2017-08-23,32650.0,33050.0,32250.0,33000.0,585893.0
2017-08-22,32800.0,33500.0,32550.0,33100.0,531207.0
2017-08-21,33000.0,33950.0,32200.0,33900.0,1350222.0
2017-08-18,34150.0,35050.0,33950.0,34900.0,1057214.0
2017-08-17,35400.0,35800.0,35350.0,35650.0,274606.0
2017-08-16,35650.0,36100.0,35500.0,35800.0,350260.0
2017-08-14,35650.0,35750.0,35000.0,35350.0,293985.0
2017-08-11,35400.0,36000.0,34500.0,35950.0,960817.0
2017-08-10,36600.0,37000.0,35850.0,36450.0,481343.0
2017-08-09,36650.0,37200.0,36600.0,36700.0,420642.0
2017-08-08,36800.0,37100.0,35700.0,35700.0,548699.0
2017-08-07,35750.0,36150.0,35400.0,35900.0,268143.0
2017-08-04,36100.0,36450.0,35950.0,36000.0,299658.0
2017-08-03,35950.0,37600.0,35650.0,37250.0,516888.0
2017-08-02,37250.0,37450.0,36350.0,36400.0,687328.0
2017-08-01,36150.0,36550.0,35300.0,35350.0,381148.0
