datetime,close,high,low,open,volume
2017-11-03,17550.0,17700.0,17400.0,17600.0,120895.0
2017-11-02,17550.0,17900.0,17450.0,17850.0,138048.0
2017-11-01,17850.0,17900.0,17400.0,17700.0,252088.0
2017-10-31,17650.0,17700.0,17400.0,17650.0,177901.0
2017-10-30,17700.0,18000.0,17500.0,18000.0,157423.0
2017-10-27,17850.0,17950.0,17500.0,17750.0,156166.0
2017-10-26,17750.0,18000.0,17600.0,17850.0,253638.0
2017-10-25,17850.0,17850.0,17400.0,17450.0,230204.0
2017-10-24,17450.0,17750.0,17400.0,17700.0,142496.0
2017-10-23,17700.0,17700.0,17300.0,17350.0,189120.0
2017-10-20,17350.0,17650.0,17200.0,17400.0,133382.0
2017-10-19,17400.0,17600.0,17150.0,17300.0,217097.0
2017-10-18,17200.0,17450.0,17050.0,17300.0,163317.0
2017-10-17,17300.0,17350.0,16850.0,16950.0,201877.0
2017-10-16,17000.0,17000.0,16400.0,16700.0,206921.0
2017-10-13,16700.0,17650.0,16600.0,17500.0,455157.0
2017-10-12,17400.0,17600.0,17150.0,17550.0,223772.0
2017-10-11,17600.0,17700.0,17150.0,17600.0,229971.0
2017-10-10,17650.0,17950.0,17450.0,17950.0,233193.0
2017-09-29,17650.0,17700.0,17150.0,17300.0,204884.0
2017-09-28,17250.0,17550.0,16950.0,17500.0,198220.0
2017-09-27,17350.0,17700.0,17250.0,17350.0,159883.0
2017-09-26,17150.0,17350.0,16800.0,17300.0,244250.0
2017-09-25,17350.0,18100.0,17200.0,17600.0,411450.0
2017-09-22,17400.0,17750.0,17200.0,17400.0,362207.0
2017-09-21,17200.0,17750.0,16950.0,17700.0,346963.0
2017-09-20,17800.0,18200.0,17600.0,18200.0,236069.0
2017-09-19,18100.0,18300.0,17800.0,18050.0,230563.0
2017-09-18,18000.0,18100.0,17450.0,17800.0,460457.0
2017-09-15,17600.0,17950.0,17500.0,17700.0,310720.0
2017-09-14,17850.0,18000.0,17350.0,17850.0,428168.0
2017-09-13,17850.0,17900.0,17450.0,17500.0,493336.0
2017-09-12,17450.0,17800.0,17250.0,17300.0,506553.0
2017-09-11,17100.0,17400.0,16750.0,16750.0,423706.0
2017-09-08,16700.0,17350.0,16700.0,17150.0,335778.0
2017-09-07,17150.0,17200.0,16550.0,16950.0,490718.0
2017-09-06,16900.0,17900.0,16650.0,17150.0,1523618.0
2017-09-05,17100.0,17250.0,16700.0,16750.0,684140.0
2017-09-04,16650.0,17000.0,15900.0,16000.0,757092.0
2017-09-01,16450.0,16550.0,16050.0,16100.0,312469.0
2017-08-31,16100.0,16100.0,15900.0,16000.0,102886.0
2017-08-30,16050.0,16200.0,15900.0,16000.0,85732.0
2017-08-29,16000.0,16000.0,15650.0,16000.0,99564.0
2017-08-28,15950.0,16000.0,15750.0,15850.0,79205.0
2017-08-25,15850.0,15850.0,15650.0,15850.0,68840.0
2017-08-24,15700.0,16000.0,15500.0,15500.0,126643.0
2017-08-23,15500.0,15800.0,15500.0,15750.0,81539.0
2017-08-22,15750.0,15850.0,15550.0,15600.0,86215.0
2017-08-21,15500.0,15700.0,15400.0,15650.0,56681.0
2017-08-18,15650.0,15700.0,15450.0,15500.0,90865.0
2017-08-17,15600.0,15750.0,15450.0,15500.0,111794.0
2017-08-16,15550.0,15550.0,15150.0,15150.0,142159.0
2017-08-14,15000.0,15000.0,14650.0,14750.0,93296.0
2017-08-11,14650.0,15000.0,14550.0,14900.0,198352.0
2017-08-10,15200.0,15500.0,15000.0,15450.0,124819.0
2017-08-09,15450.0,15550.0,15200.0,15250.0,104028.0
2017-08-08,15350.0,15450.0,15200.0,15350.0,94990.0
2017-08-07,15350.0,15450.0,15250.0,15250.0,69697.0
2017-08-04,15300.0,15300.0,14900.0,15150.0,99179.0
2017-08-03,15100.0,15700.0,15000.0,15600.0,282138.0
2017-08-02,15650.0,15900.0,15500.0,15600.0,110405.0
2017-08-01,15500.0,15800.0,15350.0,15700.0,105432.0
2017-07-31,15600.0,15800.0,15350.0,15550.0,114522.0
2017-07-28,15700.0,16250.0,15650.0,16150.0,187123.0
2017-07-27,16150.0,16450.0,15750.0,15800.0,214350.0
2017-07-26,15650.0,16100.0,15650.0,16100.0,119946.0
2017-07-25,16000.0,16350.0,16000.0,16100.0,123422.0
2017-07-24,16150.0,16300.0,16050.0,16200.0,81619.0
2017-07-21,16150.0,16350.0,16050.0,16150.0,120061.0
2017-07-20,16100.0,16250.0,15950.0,16100.0,103944.0
2017-07-19,16100.0,16200.0,15900.0,15900.0,113093.0
2017-07-18,16000.0,16050.0,15600.0,15600.0,134596.0
2017-07-17,15700.0,15800.0,15400.0,15450.0,100293.0
2017-07-14,15450.0,15800.0,15250.0,15750.0,230560.0
2017-07-13,15750.0,15900.0,15600.0,15850.0,138543.0
2017-07-12,15750.0,16000.0,15750.0,15900.0,100979.0
2017-07-11,15900.0,16050.0,15750.0,15800.0,138471.0
2017-07-10,15800.0,16250.0,15750.0,16150.0,231465.0
2017-07-07,16150.0,16500.0,16050.0,16350.0,198402.0
2017-07-06,16400.0,16650.0,16350.0,16450.0,117668.0
2017-07-05,16500.0,16600.0,16300.0,16350.0,157290.0
2017-07-04,16350.0,16750.0,16200.0,16550.0,195710.0
2017-07-03,16500.0,17100.0,16400.0,17100.0,297087.0
2017-06-30,17000.0,17150.0,16800.0,17000.0,219910.0
2017-06-29,17200.0,17350.0,16900.0,17250.0,282399.0
2017-06-28,17100.0,17650.0,16650.0,16700.0,587602.0
2017-06-27,16900.0,17250.0,16850.0,17200.0,338180.0
2017-06-26,17000.0,17000.0,16150.0,16150.0,510308.0
2017-06-23,16250.0,16300.0,15950.0,16050.0,115199.0
2017-06-22,16050.0,16450.0,15950.0,16450.0,247290.0
2017-06-21,16400.0,16550.0,15900.0,16350.0,207789.0
2017-06-20,16350.0,17050.0,16350.0,17050.0,271386.0
2017-06-19,16950.0,17100.0,16450.0,16550.0,326851.0
2017-06-16,16550.0,16650.0,16300.0,16300.0,153625.0
2017-06-15,16350.0,16500.0,16150.0,16500.0,208409.0
2017-06-14,16450.0,17050.0,16350.0,16950.0,283418.0
2017-06-13,17000.0,17100.0,16600.0,16750.0,306276.0
2017-06-12,16750.0,16850.0,16450.0,16650.0,241512.0
2017-06-09,16850.0,17250.0,16400.0,16450.0,798883.0
2017-06-08,16550.0,16600.0,15750.0,15750.0,490090.0
2017-06-07,15700.0,15800.0,15600.0,15600.0,161891.0
2017-06-05,15600.0,16050.0,15600.0,16050.0,243375.0
2017-06-02,15950.0,16150.0,15850.0,16150.0,186097.0
2017-06-01,16100.0,16300.0,16100.0,16300.0,142530.0
2017-05-31,16200.0,16250.0,15900.0,16150.0,227415.0
2017-05-30,16100.0,16300.0,16050.0,16200.0,89619.0
2017-05-29,16150.0,16450.0,16100.0,16200.0,153823.0
2017-05-26,16300.0,16400.0,16000.0,16200.0,212574.0
2017-05-25,16150.0,16250.0,15950.0,16100.0,184072.0
2017-05-24,16050.0,16100.0,15800.0,15850.0,136231.0
2017-05-23,15750.0,16000.0,15600.0,16000.0,192446.0
2017-05-22,16000.0,16300.0,15950.0,16250.0,141883.0
2017-05-19,16200.0,16200.0,15900.0,16100.0,177374.0
2017-05-18,16100.0,16100.0,15400.0,15450.0,443944.0
2017-05-17,15600.0,15950.0,15500.0,15600.0,311613.0
