datetime,close,high,low,open,volume
2017-11-03,325500.0,328000.0,322500.0,324000.0,166985.0
2017-11-02,323000.0,329000.0,321500.0,327500.0,242975.0
2017-11-01,324000.0,325500.0,320000.0,320500.0,321169.0
2017-10-31,325500.0,332000.0,324000.0,331500.0,267499.0
2017-10-30,332000.0,342000.0,331500.0,337500.0,215369.0
2017-10-27,341000.0,343500.0,331500.0,332000.0,327352.0
2017-10-26,331500.0,336500.0,330000.0,336000.0,143685.0
2017-10-25,337000.0,339000.0,331500.0,332000.0,196023.0
2017-10-24,329500.0,337000.0,328500.0,332000.0,166649.0
2017-10-23,332500.0,337500.0,332500.0,333500.0,138632.0
2017-10-20,337000.0,339000.0,331500.0,338000.0,158008.0
2017-10-19,340000.0,344000.0,336000.0,337000.0,312803.0
2017-10-18,336000.0,342000.0,332500.0,335000.0,172083.0
2017-10-17,335500.0,343000.0,333000.0,338500.0,231010.0
2017-10-16,344000.0,346000.0,331500.0,332000.0,508392.0
2017-10-13,325000.0,326000.0,314500.0,316000.0,301409.0
2017-10-12,313000.0,320000.0,310500.0,318500.0,260572.0
2017-10-11,315500.0,320500.0,313000.0,319000.0,283866.0
2017-10-10,322500.0,322500.0,315500.0,320000.0,302969.0
2017-09-29,317000.0,322000.0,314000.0,319000.0,170647.0
2017-09-28,315500.0,316000.0,305500.0,308000.0,158545.0
2017-09-27,311500.0,314000.0,308500.0,313000.0,195326.0
2017-09-26,315500.0,316500.0,306000.0,308000.0,173946.0
2017-09-25,307500.0,312000.0,300000.0,307000.0,204386.0
2017-09-22,306500.0,311500.0,301500.0,310000.0,471080.0
2017-09-21,316500.0,323000.0,316000.0,321000.0,208120.0
2017-09-20,325000.0,328500.0,324000.0,325000.0,176357.0
2017-09-19,324000.0,324500.0,314000.0,314000.0,266996.0
2017-09-18,312000.0,315000.0,309000.0,313500.0,227003.0
2017-09-15,312000.0,324500.0,312000.0,324000.0,456473.0
2017-09-14,323500.0,331500.0,322500.0,331000.0,421595.0
2017-09-13,333000.0,339000.0,333000.0,338000.0,161687.0
2017-09-12,339000.0,341000.0,337000.0,339000.0,109785.0
2017-09-11,336500.0,337500.0,331000.0,333000.0,183856.0
2017-09-08,336500.0,338000.0,330000.0,332500.0,142059.0
2017-09-07,332500.0,337000.0,329500.0,335500.0,199819.0
2017-09-06,335000.0,339500.0,332000.0,339500.0,192601.0
2017-09-05,342500.0,347000.0,340500.0,347000.0,112935.0
2017-09-04,345000.0,349500.0,340500.0,340500.0,202420.0
2017-09-01,347000.0,347000.0,340000.0,344000.0,272581.0
2017-08-31,343500.0,344500.0,333500.0,334000.0,361684.0
2017-08-30,337000.0,340500.0,334500.0,338500.0,128368.0
2017-08-29,339000.0,340500.0,333000.0,336000.0,186557.0
2017-08-28,334500.0,335000.0,329500.0,332000.0,126051.0
2017-08-25,334500.0,336000.0,328500.0,332500.0,167114.0
2017-08-24,330000.0,335500.0,325000.0,330000.0,213175.0
2017-08-23,330500.0,341000.0,328500.0,340500.0,227671.0
2017-08-22,340000.0,341000.0,336000.0,339500.0,99813.0
2017-08-21,339500.0,342000.0,330500.0,332500.0,181268.0
2017-08-18,330500.0,333000.0,328000.0,328000.0,111835.0
2017-08-17,333500.0,333500.0,323500.0,325000.0,229886.0
2017-08-16,318500.0,327000.0,316500.0,326000.0,274491.0
2017-08-14,325000.0,327000.0,318500.0,320500.0,261302.0
2017-08-11,317000.0,338000.0,316000.0,329000.0,553833.0
2017-08-10,333000.0,341000.0,332500.0,337500.0,212840.0
2017-08-09,339500.0,344500.0,334000.0,334500.0,212821.0
2017-08-08,337500.0,348000.0,336000.0,343000.0,234928.0
2017-08-07,342000.0,342500.0,332000.0,335000.0,216897.0
2017-08-04,334000.0,335000.0,328000.0,328000.0,156475.0
2017-08-03,330000.0,332500.0,321500.0,328500.0,202772.0
2017-08-02,330000.0,334000.0,327500.0,334000.0,147227.0
2017-08-01,334000.0,336000.0,330500.0,333000.0,239495.0
2017-07-31,332000.0,335000.0,324500.0,325000.0,299450.0
2017-07-28,327500.0,331000.0,324000.0,329500.0,215553.0
2017-07-27,331500.0,332000.0,327000.0,329500.0,193655.0
2017-07-26,329500.0,329500.0,322000.0,326500.0,243786.0
2017-07-25,323000.0,327500.0,321500.0,324000.0,188700.0
2017-07-24,322000.0,328500.0,319000.0,328000.0,201964.0
2017-07-21,327500.0,331000.0,325000.0,329500.0,390065.0
2017-07-20,327000.0,328000.0,319000.0,319000.0,348665.0
2017-07-19,317500.0,319500.0,315000.0,317000.0,190587.0
2017-07-18,316500.0,319000.0,315500.0,317500.0,187704.0
2017-07-17,317500.0,319000.0,315000.0,318500.0,236419.0
2017-07-14,315000.0,317500.0,310500.0,315000.0,196272.0
2017-07-13,315000.0,315000.0,306500.0,309000.0,412616.0
2017-07-12,306000.0,309500.0,302500.0,309500.0,225248.0
2017-07-11,308000.0,308500.0,302500.0,302500.0,349933.0
2017-07-10,300000.0,300000.0,295000.0,295000.0,287353.0
2017-07-07,296000.0,297500.0,292500.0,294000.0,250354.0
2017-07-06,294000.0,296500.0,290500.0,296000.0,171420.0
2017-07-05,295500.0,295500.0,289000.0,292500.0,229854.0
2017-07-04,291000.0,297000.0,288000.0,297000.0,231301.0
2017-07-03,295000.0,295000.0,287000.0,287000.0,467971.0
2017-06-30,287000.0,287500.0,280500.0,281000.0,344563.0
