datetime,close,high,low,open,volume
2017-11-03,22500.0,23250.0,22100.0,22550.0,145808.0
2017-11-02,22500.0,22850.0,22100.0,22650.0,104927.0
2017-11-01,22750.0,23350.0,22600.0,22700.0,66903.0
2017-10-31,22950.0,23350.0,22100.0,22400.0,135232.0
2017-10-30,22400.0,22450.0,21400.0,22300.0,67393.0
2017-10-27,22200.0,22800.0,21350.0,21650.0,145689.0
2017-10-26,21650.0,21800.0,20500.0,20550.0,103021.0
2017-10-25,20500.0,21400.0,20500.0,21400.0,87592.0
2017-10-24,21200.0,21200.0,19550.0,19550.0,137802.0
2017-10-23,19750.0,19850.0,19250.0,19450.0,35521.0
2017-10-20,19550.0,20050.0,19500.0,19650.0,77094.0
2017-10-19,19650.0,19850.0,19300.0,19300.0,47242.0
2017-10-18,19350.0,19600.0,18950.0,19050.0,49952.0
2017-10-17,19100.0,19550.0,18950.0,19100.0,68944.0
2017-10-16,19250.0,19350.0,18500.0,18900.0,48954.0
2017-10-13,18800.0,19300.0,18600.0,18950.0,47726.0
2017-10-12,19050.0,19450.0,18800.0,18850.0,82253.0
2017-10-11,19050.0,19300.0,18500.0,18600.0,68240.0
2017-10-10,18800.0,18900.0,18500.0,18600.0,66766.0
2017-09-29,18600.0,18800.0,18350.0,18450.0,42707.0
2017-09-28,18450.0,18650.0,17900.0,18250.0,67746.0
2017-09-27,18400.0,18800.0,18300.0,18400.0,77118.0
2017-09-26,18400.0,18800.0,17650.0,17700.0,72169.0
2017-09-25,17500.0,18050.0,17100.0,17700.0,52206.0
2017-09-22,17800.0,18450.0,17750.0,18450.0,45570.0
2017-09-21,18450.0,18550.0,18100.0,18200.0,39028.0
2017-09-20,18250.0,18850.0,18250.0,18700.0,51208.0
2017-09-19,18550.0,18700.0,18050.0,18050.0,61838.0
2017-09-18,18100.0,18250.0,17950.0,18100.0,44236.0
2017-09-15,18100.0,18600.0,18100.0,18350.0,63759.0
2017-09-14,18400.0,18500.0,18050.0,18250.0,64449.0
2017-09-13,18250.0,18500.0,17950.0,18200.0,58605.0
2017-09-12,18300.0,18400.0,17900.0,17900.0,46150.0
2017-09-11,17900.0,18650.0,17850.0,18350.0,77058.0
2017-09-08,18500.0,18800.0,18300.0,18300.0,84111.0
2017-09-07,18400.0,18900.0,18350.0,18900.0,61841.0
