datetime,close,high,low,open,volume
2017-11-03,60800.0,61500.0,60200.0,60300.0,110979.0
2017-11-02,59900.0,61000.0,59100.0,60900.0,111386.0
2017-11-01,60500.0,60900.0,59100.0,59700.0,186391.0
2017-10-31,59900.0,60300.0,56000.0,56700.0,233419.0
2017-10-30,57100.0,58000.0,56600.0,57500.0,55660.0
2017-10-27,57600.0,58000.0,56800.0,56800.0,73998.0
2017-10-26,57100.0,57900.0,56600.0,57500.0,52711.0
2017-10-25,57800.0,57800.0,57000.0,57600.0,57836.0
2017-10-24,58000.0,58400.0,57100.0,57400.0,68470.0
2017-10-23,57300.0,57400.0,56400.0,57100.0,60084.0
2017-10-20,57100.0,57400.0,56100.0,56900.0,83154.0
2017-10-19,57500.0,58000.0,57000.0,57600.0,60699.0
2017-10-18,58000.0,58300.0,56900.0,57200.0,60730.0
2017-10-17,57200.0,58500.0,56600.0,56800.0,81888.0
2017-10-16,57400.0,57900.0,56500.0,56700.0,60186.0
2017-10-13,57300.0,57400.0,55100.0,55400.0,102583.0
2017-10-12,55500.0,56400.0,54500.0,55000.0,87384.0
2017-10-11,54100.0,55000.0,53100.0,53800.0,106346.0
2017-10-10,53800.0,56600.0,53800.0,54100.0,116442.0
2017-09-29,54100.0,54700.0,53600.0,54700.0,47990.0
2017-09-28,54400.0,54600.0,52800.0,53800.0,71356.0
2017-09-27,54400.0,55100.0,54100.0,55100.0,26839.0
2017-09-26,55100.0,55400.0,54600.0,55100.0,26998.0
2017-09-25,54700.0,55600.0,52800.0,54500.0,29625.0
2017-09-22,55000.0,56600.0,54600.0,56100.0,52755.0
2017-09-21,56600.0,57200.0,56100.0,56200.0,34550.0
2017-09-20,56700.0,57600.0,56500.0,57600.0,43193.0
2017-09-19,57300.0,58900.0,57000.0,58700.0,61735.0
2017-09-18,58000.0,58500.0,57800.0,58500.0,30898.0
2017-09-15,58600.0,58600.0,56800.0,58000.0,70241.0
2017-09-14,58000.0,58600.0,57000.0,57800.0,80237.0
2017-09-13,58100.0,59100.0,57800.0,58100.0,41694.0
2017-09-12,58300.0,58500.0,57600.0,57900.0,25966.0
2017-09-11,57800.0,58900.0,57000.0,58000.0,44474.0
2017-09-08,58200.0,58400.0,57600.0,58000.0,33221.0
2017-09-07,58100.0,58400.0,56900.0,56900.0,50339.0
2017-09-06,56900.0,57500.0,56700.0,57300.0,43529.0
2017-09-05,56900.0,57700.0,56600.0,57400.0,31288.0
2017-09-04,57100.0,57600.0,56500.0,56700.0,52297.0
2017-09-01,57800.0,58800.0,57500.0,58600.0,62124.0
2017-08-31,58200.0,58400.0,57300.0,57800.0,39444.0
2017-08-30,58100.0,58600.0,57600.0,58400.0,33498.0
2017-08-29,58300.0,58700.0,57700.0,58500.0,31296.0
2017-08-28,58500.0,59300.0,58400.0,58700.0,26511.0
2017-08-25,59100.0,59200.0,58200.0,59200.0,22490.0
2017-08-24,58900.0,59500.0,58500.0,59300.0,33442.0
2017-08-23,59500.0,59700.0,58900.0,58900.0,41286.0
2017-08-22,58800.0,59600.0,58400.0,58500.0,30497.0
2017-08-21,58600.0,59100.0,58000.0,59000.0,28269.0
2017-08-18,59000.0,59800.0,59000.0,59000.0,25652.0
2017-08-17,59900.0,60200.0,58100.0,58200.0,56684.0
2017-08-16,58800.0,59400.0,57100.0,59000.0,39456.0
2017-08-14,58700.0,59000.0,58000.0,58200.0,29059.0
2017-08-11,58800.0,59100.0,57900.0,58000.0,45558.0
2017-08-10,59200.0,59900.0,58100.0,59300.0,45560.0
2017-08-09,59600.0,60200.0,59400.0,59400.0,47141.0
2017-08-08,60000.0,60200.0,58300.0,59700.0,63047.0
2017-08-07,59000.0,60000.0,58900.0,59100.0,39885.0
2017-08-04,59200.0,60600.0,58800.0,60000.0,73052.0
2017-08-03,59700.0,60100.0,58900.0,59700.0,89918.0
2017-08-02,60100.0,60300.0,59200.0,59400.0,115021.0
2017-08-01,59200.0,59200.0,56900.0,57300.0,186844.0
2017-07-31,57800.0,58400.0,57600.0,57800.0,93991.0
2017-07-28,57700.0,58200.0,57300.0,57800.0,94383.0
2017-07-27,57800.0,57900.0,56800.0,57300.0,95976.0
2017-07-26,57200.0,57600.0,56800.0,57600.0,150041.0
2017-07-25,56800.0,58100.0,56500.0,57400.0,226745.0
2017-07-24,56300.0,56300.0,53700.0,53900.0,154364.0
2017-07-21,53700.0,53800.0,53100.0,53400.0,47479.0
