datetime,close,high,low,open,volume
2017-11-03,73100.0,73900.0,72400.0,73900.0,40060.0
2017-11-02,73500.0,74500.0,73200.0,73900.0,37973.0
2017-11-01,74300.0,74600.0,72900.0,73000.0,53415.0
2017-10-31,73800.0,74500.0,72500.0,73500.0,64696.0
2017-10-30,73500.0,73700.0,72000.0,72900.0,88134.0
2017-10-27,72100.0,73500.0,71900.0,72500.0,83568.0
2017-10-26,73000.0,76400.0,72800.0,76300.0,74018.0
2017-10-25,75800.0,76200.0,75000.0,75900.0,36601.0
2017-10-24,75900.0,76100.0,74400.0,74900.0,57507.0
2017-10-23,74900.0,75000.0,72900.0,73300.0,83372.0
2017-10-20,73800.0,73800.0,72200.0,72700.0,69592.0
2017-10-19,72600.0,73200.0,70500.0,70500.0,47111.0
2017-10-18,70600.0,71300.0,70300.0,71200.0,43755.0
2017-10-17,71200.0,71900.0,70900.0,71300.0,54581.0
2017-10-16,71200.0,72700.0,70800.0,72700.0,93397.0
2017-10-13,72200.0,75300.0,71900.0,75000.0,83069.0
2017-10-12,75000.0,75500.0,74000.0,75000.0,53202.0
2017-10-11,75200.0,75800.0,73300.0,73300.0,98578.0
2017-10-10,73400.0,75100.0,72800.0,72800.0,72477.0
2017-09-29,72700.0,73400.0,71800.0,72200.0,62994.0
2017-09-28,71800.0,72300.0,71100.0,72200.0,95276.0
2017-09-27,72600.0,74000.0,71800.0,72800.0,70549.0
2017-09-26,73400.0,74000.0,72100.0,73000.0,48624.0
2017-09-25,72300.0,73900.0,71700.0,73100.0,118457.0
2017-09-22,74000.0,76500.0,73500.0,76500.0,92576.0
2017-09-21,76300.0,78500.0,74900.0,77500.0,126428.0
2017-09-20,77900.0,80600.0,77600.0,80300.0,80413.0
2017-09-19,79600.0,81700.0,79400.0,81600.0,74395.0
2017-09-18,81600.0,82100.0,79700.0,79900.0,119775.0
2017-09-15,80000.0,80000.0,78200.0,78900.0,67875.0
2017-09-14,79300.0,79300.0,77100.0,77700.0,70616.0
2017-09-13,78400.0,80300.0,78400.0,80000.0,69769.0
2017-09-12,79900.0,79900.0,78500.0,78800.0,99502.0
2017-09-11,78400.0,79300.0,77600.0,77600.0,65190.0
2017-09-08,77100.0,78500.0,76600.0,78500.0,57265.0
2017-09-07,77700.0,79000.0,74600.0,75700.0,161439.0
2017-09-06,74500.0,75200.0,74000.0,74100.0,68405.0
2017-09-05,73800.0,75800.0,73300.0,75800.0,84732.0
2017-09-04,75400.0,76200.0,74000.0,74200.0,64817.0
2017-09-01,76100.0,77900.0,75900.0,77200.0,62244.0
2017-08-31,77200.0,77800.0,74500.0,75100.0,111122.0
2017-08-30,75100.0,76400.0,74500.0,75400.0,91025.0
2017-08-29,75100.0,76300.0,74300.0,74900.0,117356.0
2017-08-28,75000.0,77100.0,74400.0,77100.0,116872.0
2017-08-25,76600.0,77800.0,75700.0,77400.0,109170.0
2017-08-24,77400.0,78600.0,76100.0,78300.0,88054.0
