datetime,close,high,low,open,volume
2017-11-03,320500.0,321000.0,316000.0,319000.0,186660.0
2017-11-02,314500.0,317500.0,308000.0,308000.0,241821.0
2017-11-01,307500.0,318500.0,305000.0,316500.0,419931.0
2017-10-31,314000.0,329000.0,314000.0,328500.0,584195.0
2017-10-30,326500.0,331500.0,315000.0,323000.0,556354.0
2017-10-27,315000.0,330000.0,313000.0,325000.0,495911.0
2017-10-26,318500.0,322000.0,299000.0,303500.0,720822.0
2017-10-25,297000.0,301000.0,292500.0,296500.0,250616.0
2017-10-24,292000.0,296000.0,280500.0,281500.0,249269.0
2017-10-23,281000.0,284000.0,276500.0,276500.0,121854.0
2017-10-20,280500.0,289500.0,279500.0,286500.0,105672.0
2017-10-19,286500.0,290500.0,281500.0,290000.0,149101.0
2017-10-18,284500.0,293000.0,281500.0,286500.0,273989.0
2017-10-17,286500.0,287500.0,276000.0,287500.0,268147.0
2017-10-16,285000.0,286000.0,271000.0,273500.0,581424.0
2017-10-13,271000.0,273000.0,253500.0,256000.0,681271.0
2017-10-12,254500.0,262000.0,254500.0,258000.0,179632.0
2017-10-11,259000.0,260500.0,256500.0,259000.0,249487.0
2017-10-10,261500.0,265000.0,256500.0,259500.0,553226.0
2017-09-29,259500.0,263000.0,252000.0,254000.0,302526.0
2017-09-28,252000.0,255500.0,245000.0,246500.0,542776.0
2017-09-27,243000.0,247500.0,238000.0,238500.0,348695.0
2017-09-26,240500.0,243000.0,236500.0,239500.0,240205.0
2017-09-25,239500.0,247500.0,239000.0,244000.0,116151.0
2017-09-22,244000.0,251000.0,243000.0,250000.0,207447.0
2017-09-21,249000.0,255000.0,249000.0,250500.0,675020.0
2017-09-20,251000.0,255500.0,250500.0,253500.0,171917.0
2017-09-19,253000.0,255500.0,249500.0,251000.0,187991.0
2017-09-18,251000.0,254500.0,249000.0,249500.0,219900.0
2017-09-15,250000.0,259000.0,248500.0,259000.0,835265.0
2017-09-14,260000.0,265000.0,255500.0,256500.0,246784.0
2017-09-13,258000.0,266500.0,257000.0,265500.0,209372.0
2017-09-12,266000.0,268500.0,264000.0,265000.0,180267.0
2017-09-11,262500.0,268500.0,260500.0,265000.0,280669.0
2017-09-08,267500.0,278500.0,267000.0,278000.0,446767.0
2017-09-07,280500.0,284000.0,280000.0,283500.0,127000.0
2017-09-06,283000.0,287000.0,283000.0,285000.0,118131.0
2017-09-05,284500.0,287000.0,282500.0,287000.0,131056.0
2017-09-04,287000.0,289000.0,282500.0,284000.0,97526.0
2017-09-01,289000.0,293000.0,288500.0,289500.0,151592.0
2017-08-31,288000.0,292000.0,287000.0,289500.0,109129.0
2017-08-30,288000.0,292500.0,286000.0,292000.0,202018.0
2017-08-29,294000.0,298500.0,291500.0,295000.0,172830.0
2017-08-28,295500.0,296000.0,288500.0,290000.0,102936.0
2017-08-25,291000.0,294500.0,287500.0,294500.0,128258.0
2017-08-24,295000.0,297500.0,280500.0,281000.0,305933.0
2017-08-23,280500.0,281500.0,279500.0,280000.0,61080.0
2017-08-22,280000.0,282000.0,279500.0,280000.0,55902.0
2017-08-21,280000.0,282500.0,279000.0,282500.0,49735.0
2017-08-18,280000.0,284000.0,279000.0,280000.0,55374.0
2017-08-17,280000.0,281500.0,279000.0,280000.0,59299.0
2017-08-16,280500.0,281500.0,279000.0,280000.0,119603.0
2017-08-14,280000.0,282500.0,278500.0,282000.0,50721.0
2017-08-11,280000.0,281000.0,278000.0,279000.0,90645.0
2017-08-10,280500.0,287000.0,279500.0,280000.0,129383.0
2017-08-09,282000.0,282000.0,277000.0,279500.0,64576.0
2017-08-08,280000.0,283500.0,280000.0,281000.0,50480.0
2017-08-07,282000.0,283500.0,279500.0,280500.0,59173.0
2017-08-04,279500.0,286000.0,279500.0,281500.0,123450.0
2017-08-03,283500.0,288000.0,281500.0,287500.0,110465.0
2017-08-02,287000.0,288500.0,280000.0,281000.0,162189.0
2017-08-01,280500.0,285000.0,278500.0,281500.0,143446.0
2017-07-31,283500.0,288500.0,281000.0,287000.0,138470.0
2017-07-28,291000.0,296500.0,289000.0,290000.0,144136.0
2017-07-27,291500.0,293500.0,282500.0,285000.0,160416.0
2017-07-26,284000.0,297000.0,283000.0,284000.0,424446.0
2017-07-25,287500.0,290000.0,284500.0,285500.0,301158.0
2017-07-24,290500.0,296000.0,289500.0,294000.0,184827.0
2017-07-21,293500.0,299500.0,293000.0,299000.0,137082.0
2017-07-20,300000.0,305000.0,299500.0,304500.0,83292.0
2017-07-19,303500.0,304000.0,294500.0,296500.0,145101.0
2017-07-18,296000.0,297000.0,291500.0,293500.0,102248.0
2017-07-17,291500.0,301500.0,290500.0,299000.0,116052.0
2017-07-14,294500.0,294500.0,286500.0,291000.0,231111.0
2017-07-13,289000.0,292000.0,288000.0,291000.0,131364.0
2017-07-12,287500.0,292000.0,283000.0,284000.0,138990.0
2017-07-11,283000.0,289000.0,280500.0,281500.0,200552.0
2017-07-10,281500.0,286000.0,279000.0,284000.0,163314.0
2017-07-07,288000.0,292000.0,286000.0,291000.0,161737.0
2017-07-06,295500.0,301000.0,294000.0,300000.0,180608.0
2017-07-05,299500.0,306500.0,298500.0,304500.0,194425.0
2017-07-04,308500.0,313500.0,307000.0,309500.0,75142.0
2017-07-03,311500.0,311500.0,306000.0,307000.0,88170.0
2017-06-30,304000.0,309000.0,303000.0,303500.0,130839.0
2017-06-29,302500.0,310000.0,301500.0,310000.0,178730.0
2017-06-28,311000.0,318500.0,310000.0,314000.0,77160.0
2017-06-27,314500.0,321000.0,309000.0,309500.0,150648.0
2017-06-26,309000.0,318000.0,309000.0,318000.0,101794.0
2017-06-23,318500.0,321500.0,311000.0,311500.0,222904.0
2017-06-22,308000.0,308500.0,302000.0,308500.0,113216.0
2017-06-21,305000.0,307000.0,301000.0,302000.0,129925.0
2017-06-20,300500.0,305500.0,299500.0,304500.0,167959.0
2017-06-19,307000.0,319000.0,307000.0,318000.0,203404.0
2017-06-16,319000.0,321500.0,316000.0,319500.0,92597.0
2017-06-15,319000.0,329500.0,317000.0,321000.0,168293.0
2017-06-14,319000.0,324000.0,315000.0,320500.0,164745.0
2017-06-13,320500.0,330500.0,319500.0,322000.0,157609.0
2017-06-12,322500.0,327000.0,318000.0,326500.0,117203.0
2017-06-09,326500.0,332500.0,326500.0,328000.0,117992.0
2017-06-08,329500.0,334000.0,326000.0,331500.0,232729.0
2017-06-07,336000.0,338500.0,333500.0,338000.0,186937.0
2017-06-05,339500.0,341000.0,337500.0,340500.0,68954.0
2017-06-02,340500.0,340500.0,337000.0,337500.0,114906.0
2017-06-01,337500.0,342000.0,336500.0,340000.0,170532.0
2017-05-31,343000.0,348500.0,339000.0,344000.0,173978.0
2017-05-30,344000.0,350500.0,344000.0,346000.0,111463.0
2017-05-29,348500.0,352500.0,348000.0,351500.0,79812.0
2017-05-26,351500.0,352500.0,348000.0,349000.0,103616.0
2017-05-25,350000.0,354000.0,349000.0,353000.0,126867.0
2017-05-24,350500.0,356500.0,346000.0,346500.0,133271.0
2017-05-23,350500.0,357000.0,350500.0,354000.0,241976.0
2017-05-22,359000.0,367000.0,358500.0,361000.0,163606.0
2017-05-19,359500.0,360500.0,352000.0,356000.0,140849.0
2017-05-18,355000.0,358500.0,347500.0,357500.0,187364.0
2017-05-17,357500.0,365500.0,355000.0,357000.0,226603.0
2017-05-16,351500.0,354500.0,341500.0,348000.0,158751.0
2017-05-15,346000.0,354500.0,343500.0,349500.0,151608.0
2017-05-12,345000.0,360500.0,342000.0,360500.0,337452.0
2017-05-11,361000.0,361000.0,345000.0,349000.0,437736.0
2017-05-10,344500.0,351000.0,328500.0,350000.0,665184.0
2017-05-08,333000.0,334000.0,313500.0,314000.0,504682.0
2017-05-04,313000.0,315000.0,290000.0,290000.0,338626.0
2017-05-02,289500.0,294000.0,289000.0,292000.0,117883.0
2017-04-28,292000.0,293000.0,288000.0,289500.0,182087.0
2017-04-27,291500.0,294500.0,286000.0,288500.0,169036.0
2017-04-26,290500.0,298500.0,290000.0,293000.0,245296.0
2017-04-25,293500.0,301500.0,291000.0,301000.0,305126.0
2017-04-24,307000.0,319500.0,305000.0,319000.0,307071.0
2017-04-21,317500.0,320000.0,306500.0,310500.0,419789.0
2017-04-20,306500.0,307500.0,293000.0,295000.0,285834.0
2017-04-19,296000.0,298000.0,284000.0,286000.0,231643.0
2017-04-18,285500.0,288500.0,283500.0,287000.0,118957.0
2017-04-17,285500.0,287500.0,275500.0,275500.0,309494.0
2017-04-14,271000.0,274500.0,270000.0,271500.0,62233.0
2017-04-13,272500.0,272500.0,270000.0,270500.0,149653.0
2017-04-12,270500.0,271000.0,268000.0,270000.0,85835.0
2017-04-11,270000.0,272500.0,269000.0,270000.0,140914.0
2017-04-10,270500.0,272500.0,269000.0,272000.0,238276.0
2017-04-07,274000.0,277500.0,272500.0,277000.0,190053.0
2017-04-06,276000.0,278000.0,273000.0,277500.0,155636.0
2017-04-05,277500.0,288000.0,277000.0,284500.0,170852.0
2017-04-04,283000.0,284500.0,279500.0,281000.0,176473.0
2017-04-03,280000.0,283000.0,278500.0,280500.0,384705.0
2017-03-31,280500.0,283000.0,277500.0,282000.0,294395.0
2017-03-30,283000.0,290000.0,281000.0,290000.0,600885.0
2017-03-29,290000.0,293500.0,289500.0,291000.0,769030.0
2017-03-28,290500.0,292000.0,286500.0,288000.0,227395.0
2017-03-27,286000.0,288500.0,281000.0,288500.0,234530.0
2017-03-24,288000.0,292000.0,284000.0,287000.0,214283.0
2017-03-23,282000.0,284500.0,280000.0,283000.0,162184.0
2017-03-22,282000.0,282500.0,279000.0,282500.0,132829.0
2017-03-21,282000.0,284000.0,279500.0,284000.0,88249.0
2017-03-20,280000.0,284500.0,277000.0,283500.0,114173.0
2017-03-17,283000.0,285000.0,275000.0,275000.0,196190.0
2017-03-16,274000.0,283000.0,272000.0,281500.0,165437.0
2017-03-15,278000.0,280500.0,274500.0,277000.0,131608.0
2017-03-14,277000.0,283000.0,274000.0,281000.0,246118.0
2017-03-13,277500.0,288000.0,275500.0,277500.0,190576.0
2017-03-10,272500.0,279000.0,269500.0,278000.0,366316.0
2017-03-09,273000.0,280000.0,272500.0,274000.0,186833.0
2017-03-08,272500.0,273000.0,264000.0,265500.0,279005.0
2017-03-07,264500.0,266000.0,259500.0,261500.0,394630.0
2017-03-06,260000.0,265500.0,243000.0,251500.0,831520.0
2017-03-03,251500.0,280000.0,249000.0,280000.0,1060753.0
2017-03-02,288000.0,300000.0,284500.0,300000.0,331092.0
2017-02-28,301000.0,304000.0,297000.0,303000.0,147559.0
2017-02-27,306000.0,312500.0,303000.0,307500.0,103259.0
2017-02-24,307500.0,307500.0,287000.0,289000.0,306334.0
2017-02-23,289000.0,293500.0,285500.0,293500.0,161495.0
2017-02-22,291500.0,292500.0,290000.0,292000.0,85716.0
2017-02-21,292000.0,293000.0,290500.0,291500.0,64462.0
2017-02-20,291500.0,292500.0,289000.0,290500.0,81163.0
2017-02-17,288500.0,292000.0,286000.0,288500.0,99613.0
2017-02-16,288000.0,292500.0,286500.0,292000.0,73914.0
2017-02-15,290000.0,293000.0,287000.0,287000.0,104259.0
2017-02-14,287000.0,291000.0,281000.0,285500.0,132735.0
2017-02-13,284000.0,284500.0,277500.0,277500.0,120845.0
2017-02-10,277500.0,283500.0,277000.0,281000.0,191491.0
2017-02-09,281000.0,283500.0,278500.0,281500.0,183543.0
2017-02-08,281500.0,294500.0,278500.0,293000.0,432359.0
2017-02-07,293000.0,296500.0,291500.0,292500.0,176261.0
2017-02-06,292500.0,305500.0,292000.0,305500.0,231856.0
2017-02-03,301500.0,307500.0,291500.0,299000.0,499293.0
2017-02-02,301000.0,321000.0,295500.0,316000.0,488349.0
2017-02-01,315500.0,319000.0,310500.0,318500.0,187240.0
2017-01-31,317000.0,328000.0,317000.0,319000.0,136706.0
2017-01-26,318500.0,326500.0,317500.0,326000.0,69536.0
2017-01-25,325000.0,333000.0,320000.0,329000.0,117739.0
2017-01-24,325000.0,327000.0,317000.0,318000.0,203035.0
2017-01-23,315000.0,322000.0,314500.0,321000.0,51013.0
2017-01-20,319000.0,319500.0,310500.0,310500.0,77863.0
2017-01-19,311000.0,317500.0,311000.0,313000.0,111457.0
2017-01-18,316000.0,321000.0,312500.0,320500.0,114833.0
2017-01-17,320500.0,321500.0,314000.0,321500.0,109333.0
2017-01-16,321500.0,322500.0,313000.0,317500.0,157233.0
2017-01-13,314500.0,317500.0,303500.0,304500.0,192048.0
2017-01-12,302000.0,303500.0,299000.0,300000.0,101156.0
2017-01-11,300000.0,301500.0,291500.0,291500.0,110278.0
2017-01-10,293500.0,298500.0,292000.0,295000.0,117116.0
2017-01-09,298500.0,304000.0,293500.0,303000.0,136116.0
2017-01-06,305000.0,311000.0,304000.0,311000.0,132518.0
2017-01-05,310000.0,314000.0,309500.0,312500.0,81521.0
2017-01-04,311000.0,312500.0,307500.0,312000.0,114746.0
2017-01-03,312500.0,314000.0,305500.0,308000.0,81566.0
2017-01-02,305500.0,315500.0,305000.0,315500.0,94147.0
2016-12-29,321500.0,325500.0,315000.0,317000.0,92971.0
2016-12-28,316500.0,322500.0,316000.0,318000.0,87884.0
2016-12-27,323500.0,325000.0,319000.0,323000.0,59039.0
2016-12-26,322500.0,325000.0,321000.0,321000.0,27632.0
