datetime,number,rate_down,totalPrice,totalVolume
2017-11-06,2549.41,-0.33,5433361,221187
2017-11-03,2557.97,+0.46,5446755,289688
2017-11-02,2546.36,-0.40,6152236,521833
2017-11-01,2556.47,+1.31,7391095,356826
2017-10-31,2523.43,+0.86,7613000,310039
2017-10-30,2501.93,+0.21,6931243,338226
2017-10-27,2496.63,+0.64,6248403,504558
2017-10-26,2480.63,-0.48,7053012,638066
2017-10-25,2492.50,+0.08,5030066,592530
2017-10-24,2490.49,+0.02,4555677,229390
2017-10-23,2490.05,+0.02,4700464,271631
2017-10-20,2489.54,+0.67,5583132,310206
2017-10-19,2473.06,-0.40,6747041,232520
2017-10-18,2482.91,-0.06,5720798,241172
2017-10-17,2484.37,+0.17,5235998,193143
2017-10-16,2480.05,+0.26,6091173,222635
2017-10-13,2473.62,-0.05,6777388,233435
2017-10-12,2474.76,+0.68,6204977,254043
2017-10-11,2458.16,+1.00,5661122,193818
2017-10-10,2433.81,+1.64,7257927,218207
2017-09-29,2394.47,+0.90,4523889,181312
2017-09-28,2373.14,+0.02,4536118,190736
2017-09-27,2372.57,-0.07,4329844,197422
2017-09-26,2374.32,-0.26,5648192,297258
2017-09-25,2380.40,-0.35,4756942,325051
2017-09-22,2388.71,-0.74,6007316,321157
2017-09-21,2406.50,-0.24,5255344,323029
2017-09-20,2412.20,-0.16,5533487,294688
2017-09-19,2416.05,-0.09,5242241,248446
2017-09-18,2418.21,+1.35,5129632,267261
2017-09-15,2386.07,+0.35,6169399,290977
2017-09-14,2377.66,+0.74,6382132,283106
2017-09-13,2360.18,-0.22,5885366,315200
2017-09-12,2365.47,+0.27,4858629,328353
2017-09-11,2359.08,+0.66,4830722,238775
2017-09-08,2343.72,-0.11,4494042,210760
2017-09-07,2346.19,+1.14,4625003,274281
2017-09-06,2319.82,-0.29,5219225,248852
2017-09-05,2326.62,-0.13,4761011,317086
2017-09-04,2329.65,-1.19,4323320,244705
2017-09-01,2357.69,-0.23,4668562,277015
2017-08-31,2363.19,-0.38,5118788,256744
2017-08-30,2372.29,+0.32,4508976,302139
2017-08-29,2364.74,-0.23,4292590,215209
2017-08-28,2370.30,-0.35,3938851,224349
2017-08-25,2378.51,+0.11,4550255,337558
2017-08-24,2375.84,+0.40,4586970,290542
2017-08-23,2366.40,+0.05,3918332,225089
2017-08-22,2365.33,+0.44,3827475,245756
2017-08-21,2355.00,-0.14,3753501,204501
2017-08-18,2358.37,-0.14,4052539,195804
2017-08-17,2361.67,+0.57,4423177,226209
2017-08-16,2348.26,+0.60,6083455,265554
2017-08-14,2334.22,+0.63,4567658,209149
2017-08-11,2319.71,-1.69,6110194,301884
2017-08-10,2359.47,-0.38,6170553,277743
2017-08-09,2368.39,-1.10,4626754,231141
2017-08-08,2394.73,-0.17,4509317,243521
2017-08-07,2398.75,+0.14,4347068,240716
2017-08-04,2395.45,+0.36,4964700,270613
2017-08-03,2386.85,-1.68,6426455,299959
2017-08-02,2427.63,+0.19,5245737,258750
2017-08-01,2422.96,+0.84,5507918,259277
2017-07-31,2402.71,+0.07,5573466,273947
2017-07-28,2400.99,-1.73,6880945,310472
2017-07-27,2443.24,+0.36,5328785,421732
2017-07-26,2434.51,-0.22,6381831,332744
2017-07-25,2439.90,-0.47,5268495,270546
2017-07-24,2451.53,+0.06,4552116,230299
2017-07-21,2450.06,+0.34,5106113,246051
2017-07-20,2441.84,+0.49,5273110,246842
2017-07-19,2429.94,+0.16,5024489,266820
2017-07-18,2426.04,+0.04,4599598,255640
2017-07-17,2425.10,+0.43,4819688,252165
2017-07-14,2414.63,+0.21,4923178,227567
2017-07-13,2409.49,+0.74,6039044,284880
2017-07-12,2391.77,-0.18,4909110,262780
2017-07-11,2396.00,+0.58,4828173,280579
2017-07-10,2382.10,+0.09,4852245,277355
2017-07-07,2379.87,-0.33,4972053,302786
2017-07-06,2387.81,-0.02,4690617,297829
2017-07-05,2388.35,+0.33,4653208,329425
2017-07-04,2380.52,-0.58,4753716,380024
2017-07-03,2394.48,+0.11,4723195,298367
2017-06-30,2391.79,-0.16,5006232,332846
2017-06-29,2395.66,+0.55,5382031,433953
2017-06-28,2382.56,-0.39,5792102,340622
2017-06-27,2391.95,+0.14,5288171,289294
2017-06-26,2388.66,+0.42,5106047,315035
2017-06-23,2378.60,+0.35,5316663,247355
2017-06-22,2370.37,+0.54,6196227,292215
2017-06-21,2357.53,-0.49,6342246,356210
2017-06-20,2369.23,-0.07,6699487,346162
2017-06-19,2370.90,+0.38,5350251,288303
2017-06-16,2361.83,+0.01,5741387,323929
2017-06-15,2361.65,-0.46,5782641,331182
2017-06-14,2372.64,-0.09,6630738,386990
2017-06-13,2374.70,+0.71,5566940,316426
2017-06-12,2357.87,-1.00,5706480,324051
2017-06-09,2381.69,+0.77,7079217,511622
2017-06-08,2363.57,+0.15,8230002,406217
2017-06-07,2360.14,-0.36,6019151,370971
2017-06-05,2368.62,-0.13,5108416,322339
2017-06-02,2371.72,+1.16,6020076,392800
