DATE,Target,Close_HankookTire(-1),Close_HankookTire(-2),Close_UHAN(-1),Close_UHAN(-2),Close_KIA(-1),Close_KIA(-2),Close_SKHynix(-1),Close_SKHynix(-2),Close_HDConstruct(-1),Close_HDConstruct(-2),Close_SSInsurance(-1),Close_SSInsurance(-2),Close_HDsteel(-1),Close_HDsteel(-2),Close_HDMotors(-1),Close_HDMotors(-2),Close_POSCO(-1),Close_POSCO(-2),Close_SSElectronics(-1),Close_SSElectronics(-2),Close_SSSDI(-1),Close_SSSDI(-2),Close_SSElectric(-1),Close_SSElectric(-2),Close_HDHeavy(-1),Close_HDHeavy(-2),Close_LotteChemical(-1),Close_LotteChemical(-2),Close_HDMobis(-1),Close_HDMobis(-2),Close_SKTelecom(-1),Close_SKTelecom(-2),Close_SSCNT(-1),Close_SSCNT(-2),Close_SSLife(-1),Close_SSLife(-2),Close_LGD(-1),Close_LGD(-2),Close_Naver(-1),Close_Naver(-2),Close_KAKAO(-1),Close_KAKAO(-2),Close_LGChem(-1),Close_LGChem(-2),Close_ShinhanHolding(-1),Close_ShinhanHolding(-2),Close_LGElectronics(-1),Close_LGElectronics(-2),Close_Celtrion(-1),Close_Celtrion(-2),Close_HDGlovis(-1),Close_HDGlovis(-2),Close_AmorePacific(-1),Close_AmorePacific(-2),Close_SKInnovation(-1),Close_SKInnovation(-2),Close_KBFinance(-1),Close_KBFinance(-2),Close_EMart(-1),Close_EMart(-2)
2016.1.4,115300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.1.5,117100,46000,,272000,,50800,,30150,,27650,,308000,,48850,,144000,,164000,,1205000,,112500,,60300,,85500,,245000,,238000,,210500,,140000,,106500,,23900,,632000,,115300,,341500,,39000,,52500,,89200,,188500,,412500,,126000,,32450,,188500,
2016.1.6,119100,48000,46000,273500,272000,50700,50800,30600,30150,28100,27650,305000,308000,49250,48850,143500,144000,169000,164000,1208000,1205000,115000,112500,61600,60300,84700,85500,250000,245000,237000,238000,210000,210500,140000,140000,107500,106500,23800,23900,637000,632000,117100,115300,339500,341500,39400,39000,54300,52500,90300,89200,189500,188500,410500,412500,127000,126000,32650,32450,188000,188500
2016.1.7,117300,44800,48000,281000,273500,49400,50700,30750,30600,27350,28100,311500,305000,49400,49250,140000,143500,168500,169000,1175000,1208000,114500,115000,61200,61600,86000,84700,260000,250000,234500,237000,208000,210000,144000,140000,104000,107500,23100,23800,623000,637000,119100,117100,338000,339500,39050,39400,54700,54300,91700,90300,186000,189500,417000,410500,126000,127000,32450,32650,191500,188000
2016.1.8,115200,45900,44800,293000,281000,49300,49400,30200,30750,27650,27350,302500,311500,48100,49400,137500,140000,164000,168500,1163000,1175000,111000,114500,61600,61200,84200,86000,253500,260000,237000,234500,204000,208000,143000,144000,102500,104000,22600,23100,652000,623000,117300,119100,323000,338000,38650,39050,55000,54700,91700,91700,182500,186000,410000,417000,123500,126000,32050,32450,185000,191500
2016.1.11,114700,45150,45900,304000,293000,48500,49300,29700,30200,28100,27650,303500,302500,47850,48100,136500,137500,165000,164000,1171000,1163000,113000,111000,61300,61600,85000,84200,264500,253500,238500,237000,208000,204000,142000,143000,105000,102500,22450,22600,652000,652000,115200,117300,330000,323000,38700,38650,55900,55000,96500,91700,182500,182500,413000,410000,130500,123500,32100,32050,189000,185000
2016.1.12,116400,45200,45150,296500,304000,49600,48500,28650,29700,28800,28100,302500,303500,46800,47850,140000,136500,161500,165000,1152000,1171000,111500,113000,60100,61300,84100,85000,258000,264500,241000,238500,203000,208000,140000,142000,104500,105000,22000,22450,628000,652000,114700,115200,322500,330000,38200,38700,55500,55900,99200,96500,194500,182500,405500,413000,126500,130500,31600,32100,190000,189000
2016.1.13,119800,46050,45200,292000,296500,49650,49600,27800,28650,28950,28800,305500,302500,46450,46800,139500,140000,160000,161500,1146000,1152000,109000,111500,56600,60100,82000,84100,262000,258000,241500,241000,206500,203000,139500,140000,105500,104500,22200,22000,650000,628000,116400,114700,322500,322500,38500,38200,57000,55500,97800,99200,192000,194500,405500,405500,132000,126500,31650,31600,189500,190000
2016.1.14,118900,46400,46050,295500,292000,49200,49650,28100,27800,31950,28950,319500,305500,47400,46450,140500,139500,163500,160000,1148000,1146000,109500,109000,57000,56600,84700,82000,260500,262000,247000,241500,208500,206500,140500,139500,107000,105500,22300,22200,649000,650000,119800,116400,331500,322500,38900,38500,56700,57000,105100,97800,196000,192000,412000,405500,134500,132000,32300,31650,189500,189500
2016.1.15,118700,46500,46400,288000,295500,50300,49200,27900,28100,32000,31950,313500,319500,46200,47400,141000,140500,161000,163500,1138000,1148000,109500,109500,55400,57000,83900,84700,256000,260500,245000,247000,208500,208500,139000,140500,107000,107000,23000,22300,651000,649000,118900,119800,322000,331500,38400,38900,57900,56700,104000,105100,194000,196000,392000,412000,134500,134500,31000,32300,188000,189500
2016.1.18,116200,46700,46500,305000,288000,49550,50300,26800,27900,30900,32000,313500,313500,45400,46200,138500,141000,161500,161000,1132000,1138000,109500,109500,56100,55400,84700,83900,248500,256000,245000,245000,205500,208500,136000,139000,106000,107000,22950,23000,670000,651000,118700,118900,312000,322000,37100,38400,56700,57900,99200,104000,195000,194000,382000,392000,132500,134500,30000,31000,185500,188000
2016.1.19,114100,45400,46700,306500,305000,48700,49550,26700,26800,31600,30900,304500,313500,46050,45400,139000,138500,165000,161500,1126000,1132000,107500,109500,54300,56100,86800,84700,254000,248500,242000,245000,203000,205500,144000,136000,105000,106000,22300,22950,687000,670000,116200,118700,304500,312000,37750,37100,55300,56700,116700,99200,193500,195000,381000,382000,133000,132500,30150,30000,180000,185500
2016.1.20,112100,44400,45400,315000,306500,49000,48700,28300,26700,30900,31600,292500,304500,46750,46050,140000,139000,165500,165000,1171000,1126000,99900,107500,55600,54300,85000,86800,255000,254000,245000,242000,202500,203000,148500,144000,102500,105000,22000,22300,670000,687000,114100,116200,307000,304500,36950,37750,54800,55300,114300,116700,193000,193500,380500,381000,130500,133000,29350,30150,170000,180000
2016.1.21,111000,43650,44400,320000,315000,47150,49000,26800,28300,29250,30900,290500,292500,44500,46750,136500,140000,158500,165500,1138000,1171000,100500,99900,53000,55600,81200,85000,242000,255000,239000,245000,197000,202500,148000,148500,101000,102500,21200,22000,664000,670000,112100,114100,295000,307000,36100,36950,52800,54800,116400,114300,185000,193000,384500,380500,127000,130500,28300,29350,163500,170000
2016.1.22,112800,42450,43650,307000,320000,46650,47150,26600,26800,29700,29250,282500,290500,43850,44500,137000,136500,156000,158500,1131000,1138000,100500,100500,53400,53000,81600,81200,252500,242000,240000,239000,193000,197000,149000,148000,98400,101000,21500,21200,639000,664000,111000,112100,305500,295000,36600,36100,53000,52800,116500,116400,184500,185000,385000,384500,132500,127000,28400,28300,167500,163500
2016.1.25,113100,43700,42450,310500,307000,47700,46650,27150,26600,31250,29700,288500,282500,45050,43850,139000,137000,161000,156000,1168000,1131000,102000,100500,54800,53400,84500,81600,248000,252500,247500,240000,197500,193000,153000,149000,100000,98400,21950,21500,668000,639000,112800,111000,303500,305500,37550,36600,56500,53000,113000,116500,197000,184500,392500,385000,137000,132500,29100,28400,171500,167500
2016.1.26,112400,45150,43700,316500,310500,48100,47700,28000,27150,32550,31250,287000,288500,47300,45050,137500,139000,170000,161000,1162000,1168000,102500,102000,54100,54800,87600,84500,259000,248000,247500,247500,194000,197500,150000,153000,98400,100000,21900,21950,673000,668000,113100,112800,302000,303500,37650,37550,56800,56500,113200,113000,202000,197000,399000,392500,136500,137000,29650,29100,172000,171500
2016.1.27,109200,45750,45150,323000,316500,47100,48100,27850,28000,32500,32550,285000,287000,46500,47300,136000,137500,170500,170000,1137000,1162000,87400,102500,51800,54100,86000,87600,251500,259000,243500,247500,198000,194000,142000,150000,97400,98400,21800,21900,680000,673000,112400,113100,278500,302000,37400,37650,54800,56800,112100,113200,203000,202000,393500,399000,138500,136500,29000,29650,165500,172000
2016.1.28,109500,45750,45750,322000,323000,48600,47100,27650,27850,34750,32500,286000,285000,47900,46500,137000,136000,172500,170500,1175000,1137000,89100,87400,54300,51800,88900,86000,269500,251500,255500,243500,201500,198000,141000,142000,98200,97400,22800,21800,674000,680000,109200,112400,293000,278500,37850,37400,57800,54800,108100,112100,211500,203000,399500,393500,131000,138500,29750,29000,166500,165500
2016.1.29,109300,46500,45750,320000,322000,47400,48600,27650,27650,36350,34750,297500,286000,47750,47900,135000,137000,174500,172500,1145000,1175000,90300,89100,55100,54300,91400,88900,270500,269500,271000,255500,205000,201500,144000,141000,109500,98200,22200,22800,631000,674000,109500,109200,296000,293000,38700,37850,57700,57800,111400,108100,209500,211500,396500,399500,130500,131000,30300,29750,170500,166500
2016.2.1,109800,46600,46500,333000,320000,45150,47400,27300,27650,36700,36350,298000,297500,48850,47750,133000,135000,178500,174500,1150000,1145000,93500,90300,55200,55100,92000,91400,275000,270500,258500,271000,209000,205000,149000,144000,110000,109500,21900,22200,628000,631000,109300,109500,295500,296000,38600,38700,57900,57700,112100,111400,204000,209500,405500,396500,131000,130500,30550,30300,164000,170500
2016.2.2,108700,44950,46600,335500,333000,44500,45150,28400,27300,36900,36700,306000,298000,48350,48850,132500,133000,178000,178500,1163000,1150000,93500,93500,57800,55200,92400,92000,277500,275000,251000,258500,216000,209000,151000,149000,110500,110000,22550,21900,613000,628000,109800,109300,289000,295500,39100,38600,56900,57900,120000,112100,204000,204000,411500,405500,134500,131000,29900,30550,162500,164000
2016.2.3,109200,44500,44950,329000,335500,43150,44500,28450,28400,37100,36900,304500,306000,47000,48350,129500,132500,176500,178000,1156000,1163000,92800,93500,57100,57800,89800,92400,274500,277500,242500,251000,216500,216000,150500,151000,112000,110500,22250,22550,600000,613000,108700,109800,286000,289000,38000,39100,56900,56900,118800,120000,202500,204000,389000,411500,133000,134500,29350,29900,162000,162500
2016.2.4,109300,47300,44500,330000,329000,43550,43150,27450,28450,36000,37100,303500,304500,45550,47000,129000,129500,173000,176500,1146000,1156000,92000,92800,54300,57100,87800,89800,282500,274500,240000,242500,208000,216500,146500,150500,113000,112000,21450,22250,601000,600000,109200,108700,289000,286000,36800,38000,56200,56900,119900,118800,198500,202500,399000,389000,131500,133000,28450,29350,162500,162000
2016.2.5,108900,47950,47300,328500,330000,43700,43550,28100,27450,37500,36000,312500,303500,49000,45550,132500,129000,179000,173000,1156000,1146000,95900,92000,56600,54300,92600,87800,293000,282500,248000,240000,210500,208000,153000,146500,111500,113000,21400,21450,602000,601000,109300,109200,302000,289000,38150,36800,56500,56200,120600,119900,205000,198500,401500,399000,145000,131500,28700,28450,167500,162500
2016.2.11,100700,47100,47950,322000,328500,44450,43700,28100,28100,37650,37500,316000,312500,50400,49000,133500,132500,181000,179000,1164000,1156000,95500,95900,56500,56600,95200,92600,287500,293000,246000,248000,210500,210500,152000,153000,111500,111500,21500,21400,599000,602000,108900,109300,301000,302000,39650,38150,56900,56500,119400,120600,202500,205000,402500,401500,142000,145000,29350,28700,165500,167500
