날짜,종가,시가,고가,저가,거래량
2017-04-03,"87,000","83,500","87,000","83,400","860,929"
2017-03-31,"83,100","83,500","83,700","82,700","179,689"
2017-03-30,"82,800","84,100","84,100","82,700","230,451"
2017-03-29,"83,800","84,000","84,100","82,900","245,176"
2017-03-28,"83,200","83,300","84,000","82,400","346,230"
2017-03-27,"82,900","83,400","84,200","82,800","319,059"
2017-03-24,"84,100","86,200","86,200","83,100","537,901"
2017-03-23,"85,900","86,700","86,700","85,400","310,710"
2017-03-22,"86,600","85,500","86,700","84,700","476,268"
2017-03-21,"86,100","85,000","86,200","84,300","515,560"
2017-03-20,"84,900","84,700","85,200","82,500","506,090"
2017-03-17,"84,000","83,800","84,100","83,200","221,183"
2017-03-16,"83,800","82,900","83,800","81,500","469,582"
2017-03-15,"82,200","83,600","83,800","82,000","317,640"
2017-03-14,"83,500","84,600","84,800","82,600","625,453"
2017-03-13,"84,800","85,400","85,500","84,000","341,028"
2017-03-10,"85,300","83,500","85,800","81,600","501,305"
2017-03-09,"82,800","83,500","84,900","82,800","350,630"
2017-03-08,"83,000","84,200","84,300","82,700","286,714"
2017-03-07,"83,700","83,600","84,300","82,600","277,748"
2017-03-06,"83,800","85,000","85,700","83,600","382,382"
2017-03-03,"85,800","85,000","86,500","84,400","396,672"
2017-03-02,"85,300","86,000","86,100","84,500","354,383"
2017-02-28,"85,400","86,500","86,800","84,900","444,304"
2017-02-27,"85,800","87,500","87,900","85,700","330,736"
2017-02-24,"88,100","88,500","89,600","87,600","369,669"
2017-02-23,"87,900","89,100","89,500","87,600","507,957"
2017-02-22,"89,500","88,600","90,200","88,200","1,034,489"
2017-02-21,"88,400","85,700","89,100","85,700","1,573,781"
2017-02-20,"84,800","84,400","85,300","83,600","294,768"
2017-02-17,"84,700","82,400","85,300","82,400","563,691"
2017-02-16,"82,400","84,600","84,800","82,200","569,723"
2017-02-15,"84,900","85,100","85,600","84,100","321,230"
2017-02-14,"84,900","84,000","85,300","83,000","427,851"
2017-02-13,"84,100","85,400","85,500","83,700","397,630"
2017-02-10,"85,100","85,300","86,300","84,100","792,741"
2017-02-09,"85,400","81,700","85,700","81,300","1,550,608"
2017-02-08,"79,800","78,800","79,800","77,800","269,292"
2017-02-07,"78,300","77,000","79,100","77,000","173,244"
2017-02-06,"77,300","78,100","78,500","77,000","169,147"
2017-02-03,"78,000","78,000","78,500","77,500","178,240"
2017-02-02,"77,700","79,100","80,000","77,600","285,670"
2017-02-01,"78,400","78,200","78,900","78,000","197,510"
2017-01-31,"77,700","77,200","79,300","76,900","260,779"
2017-01-26,"77,100","76,200","77,700","76,200","316,390"
2017-01-25,"76,100","78,300","79,200","76,100","557,017"
2017-01-24,"78,800","79,500","79,700","78,800","179,068"
2017-01-23,"79,000","80,000","80,300","78,400","338,781"
2017-01-20,"80,400","81,800","82,200","80,300","285,281"
2017-01-19,"82,300","80,700","82,300","80,500","246,388"
2017-01-18,"81,100","82,200","82,600","80,300","185,724"
2017-01-17,"81,900","82,600","83,400","81,400","229,108"
2017-01-16,"82,600","84,400","84,500","82,400","204,539"
2017-01-13,"83,900","81,900","84,400","81,600","480,932"
