일자,종가,시가,고가,저가,거래량
2016-12-06,7120,7180,7190,7120,153866
2016-12-05,7090,7050,7180,7010,1139726
2016-12-02,7040,6940,7090,6930,1134525
2016-12-01,6940,6770,7050,6740,1465541
2016-11-30,6800,6900,6900,6660,812338
2016-11-29,6920,6670,6920,6670,839057
2016-11-28,6740,6670,6780,6530,835844
2016-11-25,6740,6580,6780,6510,1053785
2016-11-24,6660,6900,6940,6600,1176472
2016-11-23,6900,6810,6960,6790,541921
2016-11-22,6830,6910,6920,6790,427227
2016-11-21,6900,6880,6960,6810,469025
2016-11-18,6910,7020,7030,6890,678948
2016-11-17,6980,7000,7030,6960,679419
2016-11-16,6990,6890,7030,6860,1150435
2016-11-15,6920,6950,6990,6860,813149
2016-11-14,6870,6910,6980,6860,839067
2016-11-11,6870,6660,6870,6630,1318227
2016-11-10,6700,6650,6740,6620,832395
2016-11-09,6500,6860,6860,6330,2086456
2016-11-08,6820,6890,6910,6770,635033
2016-11-07,6860,6770,6870,6730,905874
2016-11-04,6750,6700,6780,6610,742001
2016-11-03,6670,6530,6740,6490,759621
2016-11-02,6530,6650,6650,6460,773593
2016-11-01,6660,6550,6720,6410,1317448
2016-10-31,6520,6550,6630,6490,556670
2016-10-28,6620,6680,6740,6560,309775
2016-10-27,6670,6690,6760,6640,611058
2016-10-26,6690,6760,6760,6490,1302520
2016-10-25,6790,6860,6860,6740,693659
2016-10-24,6850,6810,6890,6790,730399
2016-10-21,6800,6810,6840,6750,480285
2016-10-20,6800,6770,6890,6770,604047
2016-10-19,6750,6830,6850,6740,574856
2016-10-18,6830,6690,6850,6680,939541
2016-10-17,6720,6800,6860,6680,1098213
2016-10-14,6800,6850,6910,6800,783281
2016-10-13,6820,7000,7000,6800,1397424
2016-10-12,7020,6930,7120,6930,2336786
2016-10-11,6900,7040,7050,6870,1196188
2016-10-10,6980,6840,7020,6810,1814490
2016-10-07,6790,6770,6840,6710,948064
2016-10-06,6780,6850,6900,6740,911992
2016-10-05,6830,6770,6880,6720,1420749
2016-10-04,6790,6690,6850,6620,1675018
2016-09-30,6690,6730,6780,6610,2162082
2016-09-29,6790,6470,6800,6440,4831378
2016-09-28,6360,6350,6450,6260,2873756
2016-09-27,6130,6050,6150,6050,436697
2016-09-26,6100,6080,6150,6080,225079
2016-09-23,6120,6120,6150,6040,483482
2016-09-22,6070,6050,6120,6040,399495
2016-09-21,6050,6020,6080,5980,340319
2016-09-20,6050,5950,6050,5920,481190
2016-09-19,5990,5990,6030,5950,504518
2016-09-13,6030,6190,6210,6020,702504
2016-09-12,6150,6180,6220,6110,617539
2016-09-09,6270,6360,6370,6150,630165
2016-09-08,6320,6260,6320,6210,572064
2016-09-07,6260,6280,6350,6260,547371
2016-09-06,6290,6300,6340,6250,464053
2016-09-05,6300,6250,6330,6250,568241
2016-09-02,6200,6290,6290,6170,401069
2016-09-01,6230,6360,6370,6230,662599
2016-08-31,6330,6140,6330,6110,934167
2016-08-30,6140,6160,6200,6130,302180
2016-08-29,6120,6190,6240,6100,552898
2016-08-26,6180,6180,6250,6160,338624
2016-08-25,6210,6140,6240,6140,399492
2016-08-24,6150,6120,6190,6120,354366
2016-08-23,6130,6140,6170,6120,299295
2016-08-22,6150,6230,6240,6090,457430
2016-08-19,6240,6290,6320,6220,487173
2016-08-18,6280,6340,6350,6280,384864
2016-08-17,6330,6300,6330,6270,456154
2016-08-16,6300,6320,6360,6260,469470
2016-08-12,6320,6410,6410,6280,490904
2016-08-11,6350,6310,6380,6290,602476
2016-08-10,6330,6290,6340,6210,1026829
2016-08-09,6250,6130,6280,6120,755743
2016-08-08,6100,6210,6230,6070,612316
2016-08-05,6140,6110,6180,6110,481986
2016-08-04,6110,6040,6110,6040,594283
2016-08-03,6060,6080,6110,6000,570978
2016-08-02,6080,6120,6170,6060,590748
2016-08-01,6120,6260,6260,6110,789531
2016-07-29,6210,6270,6360,6160,1020999
2016-07-28,6290,6250,6340,6240,574836
2016-07-27,6230,6230,6300,6230,464435
2016-07-26,6260,6290,6300,6230,626646
2016-07-25,6290,6190,6300,6180,654310
2016-07-22,6160,6250,6250,6160,548017
2016-07-21,6250,6260,6280,6190,468575
2016-07-20,6230,6200,6250,6160,601940
2016-07-19,6190,6250,6260,6140,446851
2016-07-18,6200,6160,6230,6130,595932
2016-07-15,6170,6170,6220,6120,741564
2016-07-14,6120,6120,6160,6070,489981
2016-07-13,6080,6100,6140,6060,650773
2016-07-12,6060,5960,6070,5960,748538
2016-07-11,5940,5930,5940,5880,510824
2016-07-08,5880,5900,5940,5810,447704
2016-07-07,5910,5860,5950,5860,504659
2016-07-06,5830,5930,5950,5790,864901
2016-07-05,5960,5990,6010,5910,532899
2016-07-04,5990,5940,6040,5920,646162
2016-07-01,5930,5980,5990,5910,768051
2016-06-30,5940,5930,5940,5850,746742
2016-06-29,5870,5880,5940,5820,635228
2016-06-28,5820,5770,5900,5730,780491
2016-06-27,5830,5670,5850,5670,824347
2016-06-24,5850,6150,6200,5760,2186047
2016-06-23,6120,6160,6180,6090,539663
2016-06-22,6180,6220,6240,6160,739159
2016-06-21,6190,6210,6250,6170,493230
2016-06-20,6220,6250,6280,6190,684988
2016-06-17,6210,6270,6380,6120,1219045
2016-06-16,6250,6480,6480,6230,938706
2016-06-15,6450,6440,6480,6380,708743
2016-06-14,6450,6480,6580,6370,1078870
2016-06-13,6480,6530,6630,6400,1648095
2016-06-10,6520,6290,6530,6250,2441376
2016-06-09,6250,6300,6310,6210,806298
2016-06-08,6270,6200,6290,6190,755062
2016-06-07,6220,6110,6250,6060,791685
2016-06-03,6080,6210,6220,6070,816576
2016-06-02,6200,6220,6230,6150,564020
2016-06-01,6220,6180,6230,6100,711084
2016-05-31,6170,6100,6210,6070,1254810
2016-05-30,6110,6110,6130,6050,620166
2016-05-27,6110,6140,6140,6060,469096
2016-05-26,6110,6090,6150,6070,524716
2016-05-25,6070,6120,6130,6040,706086
2016-05-24,6070,6030,6130,6030,556642
2016-05-23,6070,6140,6160,6050,474387
2016-05-20,6130,5960,6140,5960,632433
2016-05-19,5990,6090,6090,5950,1015286
2016-05-18,6100,6160,6160,6040,677298
2016-05-17,6170,6170,6220,6070,739244
2016-05-16,6130,6130,6170,6000,747686
2016-05-13,6100,6030,6130,6030,726167
2016-05-12,6030,6000,6080,6000,477310
2016-05-11,6020,6070,6090,5970,771660
2016-05-10,6070,5900,6090,5870,1096522
2016-05-09,5860,6040,6120,5850,1636112
2016-05-04,6110,6370,6380,6070,2989769
2016-05-03,6430,6670,6670,6360,1591983
2016-05-02,6590,6720,6730,6530,1740644
2016-04-29,6790,6840,6880,6700,1703611
2016-04-28,6820,6610,6840,6610,2873202
2016-04-27,6560,6720,6730,6440,1906093
2016-04-26,6680,6730,6730,6630,897020
2016-04-25,6710,6640,6750,6600,1619693
2016-04-22,6590,6460,6600,6460,801877
2016-04-21,6490,6450,6510,6390,844085
2016-04-20,6400,6530,6640,6400,1064585
2016-04-19,6470,6400,6500,6380,763480
2016-04-18,6420,6460,6490,6370,761739
2016-04-15,6440,6410,6500,6410,719306
2016-04-14,6430,6390,6540,6390,1225491
2016-04-12,6380,6300,6400,6240,997622
2016-04-11,6260,6260,6310,6170,769534
2016-04-08,6250,6210,6290,6150,533111
2016-04-07,6240,6210,6270,6120,923303
2016-04-06,6230,6280,6300,6210,826530
2016-04-05,6300,6210,6330,6160,578776
2016-04-04,6230,6230,6240,6150,812908
2016-04-01,6230,6440,6440,6210,1274071
2016-03-31,6400,6470,6470,6280,1309971
2016-03-30,6420,6500,6510,6420,754114
2016-03-29,6480,6370,6520,6370,921580
2016-03-28,6400,6490,6500,6390,794535
2016-03-25,6490,6440,6540,6380,1077386
2016-03-24,6480,6560,6570,6400,1421232
2016-03-23,6600,6580,6640,6520,893736
2016-03-22,6600,6660,6700,6550,893681
2016-03-21,6650,6610,6660,6460,1350973
2016-03-18,6600,6690,6710,6550,1408408
2016-03-17,6670,6610,6760,6550,1964250
2016-03-16,6570,6540,6740,6480,2699031
2016-03-15,6410,6450,6460,6310,1028930
2016-03-14,6390,6470,6480,6360,1095555
2016-03-11,6410,6400,6450,6330,1082175
2016-03-10,6350,6320,6450,6280,1723138
2016-03-09,6310,6300,6340,6170,1585651
2016-03-08,6300,6250,6350,6190,1756892
2016-03-07,6190,6280,6350,6110,2317971
2016-03-04,6230,6070,6230,6040,2022579
2016-03-03,6070,5980,6100,5930,1999445
2016-03-02,5950,6020,6080,5850,2630080
2016-02-29,5960,5890,6020,5890,1056206
2016-02-26,5940,5910,5990,5880,740552
2016-02-25,5900,6060,6080,5830,1302628
2016-02-24,6020,5940,6030,5930,926418
2016-02-23,5960,6000,6040,5940,991240
2016-02-22,5950,5910,5990,5870,939054
2016-02-19,5940,5940,5990,5910,1057560
2016-02-18,5940,6000,6000,5900,1291394
2016-02-17,5910,5850,6010,5830,1556490
2016-02-16,5880,5950,5950,5760,1689574
2016-02-15,5910,5700,5940,5650,2613994
2016-02-12,5540,5520,5640,5380,1675685
2016-02-11,5560,5600,5660,5500,1397578
2016-02-05,5780,5620,5820,5540,1788682
2016-02-04,5630,5350,5640,5350,1871986
2016-02-03,5330,5520,5530,5310,1243172
