일자,종가,시가,고가,저가,거래량
2016-12-06,228500,229000,229500,228000,13650
2016-12-05,228000,228000,228500,226000,73828
2016-12-02,228000,225500,229000,225000,128833
2016-12-01,224500,226000,227500,224000,120850
2016-11-30,226000,225500,229000,225500,282715
2016-11-29,223500,222000,224000,222000,123022
2016-11-28,222500,224500,226000,221500,98961
2016-11-25,226000,228000,228500,225500,66358
2016-11-24,226500,225500,227500,224500,133408
2016-11-23,226000,221000,228000,220500,340500
2016-11-22,220000,221000,221000,218500,136995
2016-11-21,220000,220500,220500,218500,118193
2016-11-18,219500,218000,220500,216500,174596
2016-11-17,217000,218000,219000,215500,165007
2016-11-16,217000,220000,221500,216500,204417
2016-11-15,217500,219000,219000,216000,112722
2016-11-14,217000,218500,221000,216500,209839
2016-11-11,218500,220000,220500,218000,130077
2016-11-10,220000,220000,220500,218000,192123
2016-11-09,218500,222000,224000,216000,276342
2016-11-08,221000,223500,224500,219500,160984
2016-11-07,223500,226500,226500,222500,121110
2016-11-04,226000,225000,226000,224000,91272
2016-11-03,223500,220500,226000,220500,103634
2016-11-02,223500,224000,225000,222500,115327
2016-11-01,226000,224500,226500,223500,102735
2016-10-31,223500,222500,226500,222000,158045
2016-10-28,224500,228500,229500,223500,212018
2016-10-27,232500,230000,233000,229000,131271
2016-10-26,230000,229500,231500,227500,115210
2016-10-25,231500,229000,232500,228500,220427
2016-10-24,227500,225000,227500,224500,131533
2016-10-21,224000,224000,224500,221000,203477
2016-10-20,224500,227500,227500,222500,105751
2016-10-19,229000,227500,230000,227000,135654
2016-10-18,227500,225000,229000,224500,171136
2016-10-17,225500,221000,226500,219500,203974
2016-10-14,221000,220000,221500,219000,103212
2016-10-13,219500,218000,220000,216500,137901
2016-10-12,219000,220500,221000,219000,104841
2016-10-11,219500,221500,221500,218500,101589
2016-10-10,219500,218000,220500,217500,156419
2016-10-07,216000,218000,219000,215500,188082
2016-10-06,219000,218500,220000,217000,123495
2016-10-05,222500,222000,223500,220000,160603
2016-10-04,224500,225000,225500,224000,152682
2016-09-30,226000,226500,227000,223000,167857
2016-09-29,226000,224000,227500,223500,169167
2016-09-28,222500,221000,223500,220500,121334
2016-09-27,222000,221000,223500,219500,148938
2016-09-26,221000,221500,223500,220500,86081
2016-09-23,220500,220000,221000,218500,142865
2016-09-22,218000,216000,219000,216000,114776
2016-09-21,216000,215500,218000,215500,91783
2016-09-20,217000,220500,220500,215500,151515
2016-09-19,217000,215500,219500,215500,126473
2016-09-13,217500,221000,221500,217000,104080
2016-09-12,219000,221000,222000,218500,102125
2016-09-09,222000,221500,223000,219000,91086
2016-09-08,223500,220500,224500,219500,178297
2016-09-07,221000,219000,222500,218000,106139
2016-09-06,219500,221000,222000,218500,80818
2016-09-05,220500,218000,222500,218000,116754
2016-09-02,216000,217500,218000,216000,95241
2016-09-01,216500,218500,220000,216500,120438
2016-08-31,218500,220000,221500,218500,88109
2016-08-30,220500,221000,223000,220000,70156
2016-08-29,221000,222000,222500,220000,78832
2016-08-26,222500,220500,223000,219500,82775
2016-08-25,220500,220500,222500,219000,136669
2016-08-24,220500,220000,220500,218500,84103
2016-08-23,220000,221000,222000,218500,97058
2016-08-22,221000,222000,222500,220000,99900
2016-08-19,224000,228000,228000,222500,155828
2016-08-18,226500,229000,229000,226500,77448
2016-08-17,228000,226000,228500,225500,71979
2016-08-16,227000,226500,228000,226000,125619
2016-08-12,226500,227000,227500,225000,92615
2016-08-11,227000,223500,227000,223000,172999
2016-08-10,224000,223000,225000,223000,142021
2016-08-09,224500,222000,225500,222000,125963
2016-08-08,222000,222000,223500,219000,100101
