일자,종가,시가,고가,저가,거래량
2016-12-06,16400,16050,16400,16050,99204
2016-12-05,15800,16650,16750,15550,1009342
2016-12-02,16850,17950,18000,16650,810933
2016-12-01,18050,18900,19000,18000,302788
2016-11-30,18800,19750,20250,18800,288710
2016-11-29,19500,19100,19750,19000,181127
2016-11-28,19000,19250,19500,19000,127198
2016-11-25,19250,19250,19500,19100,93560
2016-11-24,19250,19850,19950,19200,166136
2016-11-23,19850,20100,20250,19700,230031
2016-11-22,20100,20300,20450,19850,188728
2016-11-21,20200,20700,20800,20150,238623
2016-11-18,20500,21300,21450,20350,215253
2016-11-17,21050,21200,21250,20750,149869
2016-11-16,21100,20300,21400,20150,368062
2016-11-15,20100,19500,20150,19500,167739
2016-11-14,19650,19800,20000,19600,77018
2016-11-11,19750,19500,19850,19350,113896
2016-11-10,19550,19600,19700,19250,132751
2016-11-09,19150,20100,20250,18550,267281
2016-11-08,20050,19900,20100,19700,83322
2016-11-07,19550,19350,19750,19200,103616
2016-11-04,19300,18950,19400,18900,82003
2016-11-03,19250,18650,19700,18650,182734
2016-11-02,19000,19850,20250,19000,231947
2016-11-01,20300,20700,20800,20200,110431
2016-10-31,20700,20850,21200,20400,98626
2016-10-28,21200,21600,21650,21100,73207
2016-10-27,21600,20400,21700,20400,163651
2016-10-26,20350,20350,20450,20050,90081
2016-10-25,20350,20250,20500,19900,134880
2016-10-24,20300,20900,20900,20200,137288
2016-10-21,20850,21300,21550,20600,105186
2016-10-20,21300,21100,21450,21000,60991
2016-10-19,21100,21100,21400,21000,62661
2016-10-18,21100,21250,21600,20950,85220
2016-10-17,21400,21700,21700,21050,92933
2016-10-14,21750,21500,22050,21100,92583
2016-10-13,21400,21950,22050,21400,94041
2016-10-12,21850,22350,22400,21750,156569
2016-10-11,22450,21900,22550,21750,166150
2016-10-10,21800,21950,22250,21750,97267
2016-10-07,21900,21850,22350,21700,99578
2016-10-06,21950,22350,22350,21850,86824
2016-10-05,22100,22150,22300,21800,116976
2016-10-04,22000,21900,22600,21800,171308
2016-09-30,21700,22300,22400,21700,300847
2016-09-29,22550,22400,22650,22350,117816
2016-09-28,22250,22950,22950,22150,181016
2016-09-27,22700,22650,22850,22050,315498
2016-09-26,22900,22100,22950,21850,341792
2016-09-23,21950,21350,22450,21200,575437
2016-09-22,21100,20500,21200,20450,285715
2016-09-21,20400,20350,20500,20000,145534
2016-09-20,20400,19750,20400,19550,213627
2016-09-19,19650,19650,19700,19500,97892
2016-09-13,19600,19900,20050,19550,112889
2016-09-12,19550,19500,20000,19300,168280
2016-09-09,19800,19950,20100,19550,167232
2016-09-08,19950,20650,20650,19750,304368
2016-09-07,20450,21050,21050,20450,190430
2016-09-06,20900,21150,21200,20750,217592
2016-09-05,21150,20950,21300,20950,199507
2016-09-02,20800,21100,21150,20600,251640
2016-09-01,21100,21000,21450,20850,235132
2016-08-31,21050,22150,22200,20850,478282
2016-08-30,22050,22550,23000,22000,283017
2016-08-29,22700,23400,23400,22650,103479
2016-08-26,23350,23300,23500,23100,103505
2016-08-25,23500,23750,23900,23400,83233
2016-08-24,23700,23700,23900,23450,151300
2016-08-23,23150,23150,23600,23100,177730
2016-08-22,23150,23900,23900,22950,223801
2016-08-19,23850,24050,24250,23850,150767
2016-08-18,24000,24200,24750,23850,218176
2016-08-17,24400,25900,25900,24350,258293
2016-08-16,25850,25750,26300,25650,107780
2016-08-12,25750,25050,25900,25050,153425
2016-08-11,25150,25400,25400,24750,152134
2016-08-10,25400,25700,25800,25350,80520
2016-08-09,25750,25800,25950,25450,63674
2016-08-08,25800,25500,25850,25400,85799
2016-08-05,25350,25350,25800,25200,113340
2016-08-04,25300,25900,26050,25200,157025
2016-08-03,25800,26200,26500,25600,115849
2016-08-02,26300,27050,27150,26100,153902
2016-08-01,27000,26650,27200,26650,252353
2016-07-29,26600,25850,26750,25750,242112
2016-07-28,25750,26300,26500,25750,92532
2016-07-27,26300,25900,26350,25650,128812
2016-07-26,25750,26300,26350,25650,109547
2016-07-25,26250,26050,26650,26000,178571
2016-07-22,26100,25950,26350,25650,152798
2016-07-21,25900,26000,26250,25450,216040
2016-07-20,26000,25200,26100,25150,276739
2016-07-19,25150,24900,25400,24900,116607
2016-07-18,24950,25050,25250,24600,157117
2016-07-15,25250,25200,25600,25000,221879
2016-07-14,25300,25150,25500,25000,157344
2016-07-13,25300,25100,25500,25050,189760
2016-07-12,25000,24900,25250,24550,161578
2016-07-11,24850,24250,25000,24200,253779
2016-07-08,24050,24150,24200,23800,140496
2016-07-07,24050,22850,24350,22850,255334
2016-07-06,22800,23200,23250,22550,133891
2016-07-05,23200,23450,23750,23100,103767
2016-07-04,23550,23700,23800,23350,95366
2016-07-01,23650,23500,23950,23400,153613
2016-06-30,23300,23350,23500,23050,141702
2016-06-29,23000,22750,23250,22750,162939
2016-06-28,22550,22100,22800,21850,118177
2016-06-27,22250,21250,22600,21250,288298
2016-06-24,22400,24300,24300,21900,442295
2016-06-23,24000,23850,24050,23600,137394
2016-06-22,23850,23700,24000,23500,129847
2016-06-21,23700,23600,23750,23300,151227
2016-06-20,23400,23100,23500,22900,132122
2016-06-17,22900,23300,23450,22650,141504
2016-06-16,23000,23600,23800,22900,155675
2016-06-15,23500,23800,24100,23500,113100
2016-06-14,23900,23500,24150,23300,169416
2016-06-13,23500,24150,24250,23450,177674
2016-06-10,24400,24950,25300,24300,202581
2016-06-09,24750,24700,25200,24550,233031
2016-06-08,24600,25500,25550,24450,380118
2016-06-07,25500,24800,25750,24800,403626
2016-06-03,24700,24700,24850,24550,144338
2016-06-02,24600,24600,24850,24400,233485
2016-06-01,24400,24900,24950,24350,266878
2016-05-31,24700,24600,25050,24450,304617
2016-05-30,24800,25100,25250,24750,144497
2016-05-27,24850,25500,25700,24700,285712
2016-05-26,25400,26000,26000,25150,346088
2016-05-25,25900,24650,25950,24600,635760
2016-05-24,24150,25300,25300,24150,373541
2016-05-23,25050,25100,25450,24600,373634
2016-05-20,24850,23600,24850,23500,401387
2016-05-19,23600,24250,24550,23350,395235
2016-05-18,24050,23850,24200,23450,453309
2016-05-17,23800,22900,24250,22850,875184
2016-05-16,22600,22600,22900,22450,105153
2016-05-13,22600,22500,22800,22150,210720
2016-05-12,22700,22400,22800,22400,102586
2016-05-11,22550,22850,23000,22400,168110
2016-05-10,22500,22050,22650,22050,126056
2016-05-09,22300,23050,23300,22250,185131
2016-05-04,23050,23200,23500,23050,189855
2016-05-03,23150,23150,23300,22850,164792
2016-05-02,23100,23100,23300,22750,176963
2016-04-29,23400,23700,23850,23300,225712
2016-04-28,23800,23400,24150,23200,357093
2016-04-27,23100,23250,23550,23100,203434
2016-04-26,23250,23300,23400,22750,280166
2016-04-25,23300,24050,24150,23250,287518
2016-04-22,23950,23450,24300,23250,388666
2016-04-21,23250,23250,23350,22900,228541
2016-04-20,23150,23100,23450,23000,380824
2016-04-19,23000,22350,23400,22150,597206
2016-04-18,22250,22250,22500,22000,217317
2016-04-15,22300,21600,22350,21450,442095
2016-04-14,21550,21550,21600,21300,278116
2016-04-12,21350,21050,21700,21000,216585
2016-04-11,21150,21300,21350,21000,150445
2016-04-08,21200,20850,21200,20800,171446
2016-04-07,21100,21350,21450,21050,184484
2016-04-06,21250,21050,21300,20950,240145
2016-04-05,21100,21450,21450,20850,315198
2016-04-04,21550,21300,21650,21200,134159
2016-04-01,21150,21650,21750,21100,198144
2016-03-31,21650,21550,21700,21500,139641
2016-03-30,21500,21750,21750,21250,238872
2016-03-29,21600,21450,21800,21350,279546
2016-03-28,21650,22700,22700,21600,282482
2016-03-25,22550,22900,22900,22450,120715
2016-03-24,22750,22600,22900,22300,190927
2016-03-23,22700,22600,22700,22250,139691
2016-03-22,22600,22750,22950,22150,264095
2016-03-21,22950,22600,23400,22600,327558
2016-03-18,22600,23200,23700,22350,553092
2016-03-17,22950,22750,23000,22550,346365
2016-03-16,22650,22150,22700,22150,190861
2016-03-15,22100,22500,22700,22100,286391
2016-03-14,22300,22350,22850,22050,477696
2016-03-11,22150,21650,22150,21400,369902
2016-03-10,21550,21650,21700,21350,201715
2016-03-09,21550,21100,21600,21000,189312
2016-03-08,21100,21100,21300,20650,283505
2016-03-07,21100,21700,21900,21050,289793
2016-03-04,21600,21300,21700,21050,259249
2016-03-03,21150,21350,21550,21000,349108
2016-03-02,21300,22050,22050,21300,342551
2016-02-29,21750,21350,21850,21300,393855
2016-02-26,21250,20750,21300,20700,278267
2016-02-25,20650,21200,21450,20450,433369
2016-02-24,21050,21800,22000,20900,640795
2016-02-23,20900,21600,21600,20750,236818
2016-02-22,21300,21250,21700,21000,204621
2016-02-19,21400,20750,22050,20750,505414
2016-02-18,20700,20500,20950,20250,273147
2016-02-17,20000,20450,20650,19800,268493
2016-02-16,20450,20000,20700,20000,222651
2016-02-15,19850,19600,20000,19350,183322
2016-02-12,19500,19950,20350,18600,457598
2016-02-11,20150,20650,20800,19750,403006
2016-02-05,21300,20850,21550,20850,283977
2016-02-04,20950,21000,21650,20950,358472
2016-02-03,20850,20500,21100,20000,275909
2016-02-02,20750,20400,20850,20250,213737
2016-02-01,20400,20600,20700,20000,242754
2016-01-29,20400,21150,21150,20250,404294
2016-01-28,21150,20800,21400,20650,369431
2016-01-27,20900,19450,21300,19450,805550
2016-01-26,19100,19350,19500,18900,193579
2016-01-25,19550,19500,20000,19450,266928
2016-01-22,19150,19200,19600,19050,269686
2016-01-21,18900,18550,19350,18300,245106
2016-01-20,18500,19650,19650,18150,413631
2016-01-19,19600,19000,19700,19000,248050
2016-01-18,19250,18400,19350,18400,255405
2016-01-15,18850,20350,20450,18850,471674
2016-01-14,20200,20050,20400,19800,261404
2016-01-13,20650,20500,20650,20200,228138
2016-01-12,20200,20600,20900,20150,183435
2016-01-11,20550,21450,21450,20500,280777
2016-01-08,21500,21100,21650,20650,222585
2016-01-07,21500,21500,22650,21450,471880
2016-01-06,21500,21600,21800,21150,229760
2016-01-05,21650,22150,22350,21550,370679
2016-01-04,22350,21900,22750,21900,395478
2015-12-30,21800,21400,21900,21050,208749
2015-12-29,21200,20000,21250,20000,214704
2015-12-28,20100,20350,20700,20000,160607
2015-12-24,20350,20650,20750,20250,160243
2015-12-23,20450,20700,20800,20400,149882
2015-12-22,20450,20750,21000,20350,184129
2015-12-21,20700,20650,20800,20450,193915
2015-12-18,20800,20450,21100,20250,208149
2015-12-17,20700,20950,21450,20550,209622
2015-12-16,20550,20950,21300,20450,210567
2015-12-15,20850,20200,20850,20100,177426
2015-12-14,20100,20500,20750,20100,208449
2015-12-11,20950,21450,21650,20950,165011
2015-12-10,21350,21400,21700,21250,174525
2015-12-09,21200,21250,21750,21100,161208
2015-12-08,21450,22150,22450,21450,165768
2015-12-07,22200,22800,23150,22200,245040
2015-12-04,22450,21700,22750,21500,176391
2015-12-03,22100,22650,22650,21850,243468
2015-12-02,22650,23600,23600,22650,183357
2015-12-01,23350,23100,23550,23000,174993
2015-11-30,22950,24000,24050,22950,290616
2015-11-27,23950,24350,24350,23550,273163
2015-11-26,24150,23250,24150,23200,460265
2015-11-25,23050,22800,23500,22650,606707
2015-11-24,22600,22450,22800,22100,251019
2015-11-23,22400,22050,22600,21850,257525
2015-11-20,21750,22400,22600,21750,288018
2015-11-19,22450,21850,22550,21700,317896
2015-11-18,21600,22400,22650,21250,427812
2015-11-17,22250,20900,22300,20900,446982
2015-11-16,20850,21750,21750,20600,290070
2015-11-13,22100,20900,22450,20350,372867
2015-11-12,21400,22250,22350,21050,370454
2015-11-11,22050,21500,22500,21500,337983
2015-11-10,21800,21000,22350,21000,435350
2015-11-09,21700,23050,23250,21650,501084
2015-11-06,23400,23900,24000,23300,260172
2015-11-05,23850,23800,24450,23700,210564
2015-11-04,24000,24700,24850,23650,345692
2015-11-03,24800,24300,24800,24150,208125
2015-11-02,24100,25000,25000,24050,207099
2015-10-30,24850,25500,25550,24700,178052
2015-10-29,25600,25250,26050,25200,327036
2015-10-28,25000,25050,25200,24400,166642
2015-10-27,25100,25550,25700,25000,166662
2015-10-26,25200,25200,25700,24650,298170
2015-10-23,25000,23900,25250,23850,520495
2015-10-22,23550,25050,25600,23400,697640
2015-10-21,25250,25750,26000,25050,359081
2015-10-20,25800,26550,26750,25700,328713
2015-10-19,26550,26600,26750,25900,218875
2015-10-16,26450,26450,27300,26350,358518
2015-10-15,26300,25700,26450,25650,186715
2015-10-14,25900,25450,26100,25450,324838
2015-10-13,25600,26400,26450,25000,433284
2015-10-12,26250,26250,26800,26100,277228
2015-10-08,26250,27900,27950,25650,681590
2015-10-07,27600,28500,28750,27450,279969
2015-10-06,28350,27400,28500,27300,589490
2015-10-05,27000,28500,28650,26850,613322
2015-10-02,28150,28100,28650,27900,359389
2015-10-01,28000,29250,29300,27900,493925
2015-09-30,29200,28450,29200,27950,396245
2015-09-25,28900,28550,29150,28300,333787
2015-09-24,28550,28700,29150,28250,376813
2015-09-23,28250,29000,29700,28250,472542
2015-09-22,29450,30500,30500,29000,592008
2015-09-21,30300,29950,30600,29800,356947
2015-09-18,30300,30700,31250,30000,653459
2015-09-17,30000,30000,30500,29500,660356
2015-09-16,29750,29050,30100,29000,850109
2015-09-15,28550,28600,29550,28350,756497
2015-09-14,28200,29650,30100,28150,647784
2015-09-11,29600,28950,30450,28950,1105532
2015-09-10,28700,29300,29400,28500,566515
2015-09-09,29650,28500,29850,28200,821837
2015-09-08,27750,29050,29200,26800,757732
2015-09-07,28850,29150,29800,28550,597565
2015-09-04,29100,30300,31450,28900,1346470
2015-09-03,30000,31900,32050,29850,989514
2015-09-02,31350,29000,31500,28800,1553356
2015-09-01,29400,29650,31700,29300,1685216
2015-08-31,29900,30950,31100,29450,931475
2015-08-28,30800,29100,32100,29000,1963015
2015-08-27,28400,29450,29450,28200,594515
2015-08-26,28800,28100,29250,27250,956451
2015-08-25,28200,27300,28650,26300,889824
2015-08-24,26750,28650,29350,26500,766632
2015-08-21,28200,26500,29250,25950,1316892
2015-08-20,28000,29000,29950,28000,859728
2015-08-19,29000,30500,31450,28000,1236391
2015-08-18,31200,35400,35800,30100,2724168
2015-08-17,33550,32300,34300,31900,1042177
2015-08-13,32050,32350,32750,31150,663965
2015-08-12,32050,31800,32550,30800,819491
2015-08-11,32300,33300,34450,31550,1072672
2015-08-10,32800,33400,34050,32650,797083
2015-08-07,34000,33100,35650,32900,1542222
2015-08-06,33550,31850,34050,31250,1754207
2015-08-05,31800,30400,32050,30100,1094557
2015-08-04,30450,27950,31650,27900,1824912
2015-08-03,28400,31050,31450,28250,873966
2015-07-31,30050,29100,30150,27800,794422
2015-07-30,29650,30900,31850,28950,1075592
2015-07-29,29600,30000,32000,29450,991316
2015-07-28,29500,29300,30300,27950,1124622
2015-07-27,30150,30900,32000,29800,787970
2015-07-24,30500,30500,31450,30100,693598
2015-07-23,30350,30800,31850,30300,1054551
2015-07-22,30050,32000,32250,29850,1390899
2015-07-21,32600,33850,34500,31600,1164370
2015-07-20,33500,31300,35050,30650,2369547
2015-07-17,31000,32450,32500,30300,2077084
2015-07-16,32750,26650,33600,26200,4689807
2015-07-15,26350,27850,27950,26150,1236730
2015-07-14,28000,27300,30100,27250,3546462
2015-07-13,26650,26100,26750,25800,863594
2015-07-10,26550,26400,27050,25900,941590
2015-07-09,26100,25500,27100,24700,1445688
2015-07-08,25800,27000,27400,25650,890026
2015-07-07,27050,27200,27650,25650,1366149
2015-07-06,26600,27300,28600,26100,1532593
2015-07-03,27450,29150,29300,27450,1437667
2015-07-02,29000,28000,29150,27650,2177963
2015-07-01,28150,27950,28250,27150,1893709
2015-06-30,27700,29450,30400,26900,4839465
2015-06-29,28300,21800,28300,21700,5083188
2015-06-26,21800,21000,22750,20750,1590735
2015-06-25,20900,20850,21150,20450,732135
2015-06-24,20900,19250,21000,19050,1486090
2015-06-23,19650,18550,19650,18300,1051615
2015-06-22,18300,18400,18600,18100,419662
2015-06-19,18200,17300,18850,17250,1419775
2015-06-18,16850,16700,17150,16550,211504
2015-06-17,16600,16550,16650,16250,131964
2015-06-16,16400,17200,17200,16250,251721
2015-06-15,17050,16650,17250,16550,176558
2015-06-12,16650,16900,17300,16500,245108
2015-06-11,16800,17600,17600,16700,266916
2015-06-10,17400,17450,17850,17350,167858
2015-06-09,17450,17250,17550,17100,181762
2015-06-08,17250,16900,17450,16450,345406
2015-06-05,16900,17500,17700,16850,417871
2015-06-04,17750,17900,18150,17550,268762
2015-06-03,17650,17750,18300,17500,321326
2015-06-02,17650,18400,18700,17650,390259
2015-06-01,18250,18000,18400,17650,265453
2015-05-29,18200,18400,18750,18200,366080
2015-05-28,18200,18500,18850,18150,385521
2015-05-27,18300,18700,18750,18200,371954
2015-05-26,19000,18750,19250,18700,393982
2015-05-22,18550,18850,19200,18450,407528
2015-05-21,18950,19500,19700,18950,479059
2015-05-20,19300,18950,19300,18500,623482
2015-05-19,19000,19500,19550,18650,646187
2015-05-18,19500,17900,19900,17500,2096924
2015-05-15,17350,17700,17700,17250,211085
2015-05-14,17400,17650,17750,17150,295054
2015-05-13,17650,17400,17800,17250,297272
2015-05-12,17400,18000,18050,17100,400979
2015-05-11,18100,18000,18200,17700,243774
2015-05-08,17750,17550,17900,17450,178532
2015-05-07,17350,17650,18350,17300,359959
2015-05-06,17650,17750,17900,17100,552911
2015-05-04,18050,18700,18900,18000,381617
2015-04-30,18800,18600,19250,18400,275143
2015-04-29,18600,18950,19100,18550,266251
2015-04-28,19050,18850,19100,18450,415213
2015-04-27,18850,17750,18950,17450,620485
2015-04-24,17550,18000,18450,17400,428357
2015-04-23,18150,18750,18750,17500,623662
2015-04-22,18700,19000,19500,17000,701525
2015-04-21,19000,19250,19850,18800,772095
2015-04-20,19050,19300,19500,19000,459430
2015-04-17,19750,18800,19850,18600,845604
2015-04-16,18700,18800,20000,18300,1683831
2015-04-15,18800,18900,19200,18700,569922
2015-04-14,18900,19300,19350,18450,674038
2015-04-13,19250,20050,20050,19000,610389
2015-04-10,19900,19750,20200,19600,486113
2015-04-09,19500,19700,20550,19400,707506
2015-04-08,19500,19700,19950,19250,629238
2015-04-07,19600,19850,20150,19000,862223
