일자,종가,시가,고가,저가,거래량
2016-12-06,28750,28300,28750,28000,162386
2016-12-05,27800,27500,28000,27450,446118
2016-12-02,27900,28100,28250,27300,806491
2016-12-01,28400,28000,28750,27700,898036
2016-11-30,28000,28300,28450,27600,1349945
2016-11-29,28150,28200,28800,28100,763089
2016-11-28,28500,28450,29000,28050,802813
2016-11-25,28400,28800,28900,28350,565468
2016-11-24,28500,28750,29150,28050,617890
2016-11-23,28750,28400,29250,28300,1151516
2016-11-22,28250,27950,28500,27900,976681
2016-11-21,27900,28550,28550,27800,503906
2016-11-18,28500,28000,28700,27950,1123429
2016-11-17,27800,27800,28500,27800,1743781
2016-11-16,27550,27100,28150,27100,1994428
2016-11-15,26500,27400,27500,26500,778751
2016-11-14,26950,27150,27700,26900,847445
2016-11-11,26900,26800,27350,26200,1165346
2016-11-10,27200,26800,27600,26700,1294119
2016-11-09,26200,27650,28000,25750,2101154
2016-11-08,27450,27000,27600,26850,1191056
2016-11-07,26600,27000,27100,26450,1063461
2016-11-04,26800,27500,27550,26600,1271273
2016-11-03,27500,27100,27700,27100,786149
2016-11-02,27550,27500,27850,27300,693385
2016-11-01,27800,27400,28150,27350,1065440
2016-10-31,27300,28250,28550,27200,2242667
2016-10-28,28300,29450,29700,27950,2194023
2016-10-27,29600,30000,30200,29550,568216
2016-10-26,29950,29700,29950,29300,1137933
2016-10-25,29800,29250,29900,28900,1075783
2016-10-24,29350,28500,29350,28350,715499
2016-10-21,28500,29100,29150,28500,918414
2016-10-20,29100,28750,29350,28750,543304
2016-10-19,28700,29000,29250,28650,760667
2016-10-18,28800,29250,29450,28650,1199558
2016-10-17,29600,30000,30100,29400,559055
2016-10-14,29950,29350,30000,29300,827528
2016-10-13,29300,29300,29900,29250,900308
2016-10-12,29350,29600,30150,29200,920315
2016-10-11,29550,30200,30200,29400,951274
2016-10-10,29950,29850,30150,29450,1213585
2016-10-07,29650,28350,29800,28250,2062704
2016-10-06,28400,29100,29200,28200,1518454
2016-10-05,28650,27850,28900,27750,1069874
2016-10-04,28000,28400,28700,27850,822937
2016-09-30,28100,28250,28350,27850,812372
2016-09-29,28450,28750,29200,28350,762397
2016-09-28,28500,28900,29100,28400,894973
2016-09-27,28950,28500,29000,28250,882695
2016-09-26,28600,29000,29000,28450,658306
2016-09-23,29150,29750,29750,28900,777579
2016-09-22,29200,29150,29600,29100,953251
2016-09-21,29250,28850,29450,28800,1400910
2016-09-20,28300,28500,28650,27900,990702
2016-09-19,28450,28200,28900,28200,1095412
