일자,종가,시가,고가,저가,거래량
2016-12-06,773000,774000,778000,768000,6009
2016-12-05,764000,749000,769000,744000,82134
2016-12-02,755000,777000,777000,754000,79960
2016-12-01,764000,790000,798000,764000,103862
2016-11-30,798000,802000,810000,786000,168587
2016-11-29,801000,802000,815000,801000,56621
2016-11-28,808000,802000,815000,792000,76152
2016-11-25,805000,810000,817000,802000,124784
2016-11-24,802000,789000,805000,783000,70341
2016-11-23,795000,795000,809000,792000,75510
2016-11-22,810000,788000,813000,787000,105354
2016-11-21,786000,771000,799000,759000,147242
2016-11-18,771000,760000,773000,750000,144474
2016-11-17,745000,748000,755000,743000,99389
2016-11-16,751000,751000,759000,741000,154996
2016-11-15,744000,746000,762000,739000,133064
2016-11-14,746000,760000,779000,746000,139465
2016-11-11,760000,781000,790000,757000,214331
2016-11-10,806000,816000,819000,801000,82529
2016-11-09,805000,826000,827000,784000,124375
2016-11-08,815000,829000,838000,811000,62904
2016-11-07,820000,798000,829000,795000,99899
2016-11-04,789000,808000,810000,785000,102475
2016-11-03,812000,826000,826000,812000,68345
2016-11-02,826000,849000,850000,823000,85366
2016-11-01,847000,860000,860000,832000,224653
2016-10-31,857000,858000,866000,847000,66212
2016-10-28,860000,871000,876000,855000,80422
2016-10-27,859000,863000,883000,853000,178398
2016-10-26,848000,827000,852000,827000,71085
2016-10-25,837000,825000,843000,825000,86741
2016-10-24,833000,826000,836000,826000,135275
2016-10-21,831000,838000,840000,829000,60552
2016-10-20,844000,830000,845000,826000,116179
2016-10-19,829000,841000,845000,823000,85601
2016-10-18,846000,854000,858000,838000,81061
2016-10-17,851000,842000,857000,833000,77721
2016-10-14,844000,831000,849000,831000,56239
2016-10-13,827000,859000,863000,827000,96099
2016-10-12,864000,870000,880000,862000,64084
2016-10-11,862000,888000,894000,853000,70122
2016-10-10,872000,853000,880000,848000,69249
2016-10-07,843000,860000,861000,834000,75928
2016-10-06,861000,869000,874000,852000,54843
2016-10-05,867000,853000,875000,851000,66523
2016-10-04,858000,883000,884000,850000,109200
2016-09-30,883000,886000,888000,859000,172513
2016-09-29,900000,890000,903000,887000,77187
2016-09-28,887000,886000,895000,884000,54783
2016-09-27,884000,876000,890000,866000,80703
2016-09-26,876000,879000,884000,869000,42051
2016-09-23,878000,882000,882000,861000,74094
2016-09-22,873000,867000,874000,855000,112398
2016-09-21,855000,836000,864000,836000,108756
2016-09-20,836000,858000,867000,835000,109454
2016-09-19,856000,853000,870000,845000,117354
2016-09-13,841000,850000,851000,833000,69669
2016-09-12,840000,835000,843000,831000,69512
2016-09-09,847000,852000,860000,841000,83335
2016-09-08,869000,869000,872000,851000,78393
2016-09-07,872000,843000,874000,838000,87219
2016-09-06,843000,858000,875000,833000,120907
2016-09-05,850000,842000,855000,842000,51800
2016-09-02,831000,833000,835000,822000,65593
2016-09-01,829000,845000,847000,819000,90304
2016-08-31,845000,843000,850000,827000,158267
2016-08-30,821000,811000,821000,805000,70624
2016-08-29,810000,806000,819000,800000,84039
2016-08-26,805000,796000,809000,796000,75008
2016-08-25,804000,812000,812000,802000,96952
2016-08-24,812000,807000,814000,800000,71904
2016-08-23,806000,801000,808000,795000,69435
2016-08-22,795000,800000,803000,793000,80005
2016-08-19,805000,807000,811000,798000,137384
2016-08-18,801000,792000,801000,790000,92495
2016-08-17,790000,775000,792000,775000,69851
2016-08-16,790000,784000,798000,783000,112935
2016-08-12,782000,777000,784000,777000,51184
2016-08-11,778000,779000,779000,769000,76227
2016-08-10,775000,765000,776000,759000,160412
2016-08-09,755000,754000,757000,750000,168810
2016-08-08,749000,728000,749000,727000,116945
2016-08-05,723000,711000,725000,705000,55159
2016-08-04,707000,713000,714000,701000,51248
2016-08-03,705000,710000,713000,702000,49681
2016-08-02,713000,701000,715000,699000,48938
2016-08-01,701000,711000,713000,678000,145886
2016-07-29,710000,710000,717000,708000,106351
2016-07-28,710000,717000,719000,707000,98214
2016-07-27,712000,710000,718000,710000,58607
2016-07-26,710000,711000,714000,702000,57867
2016-07-25,710000,708000,714000,708000,51417
2016-07-22,705000,706000,712000,704000,90330
2016-07-21,704000,698000,706000,697000,108311
2016-07-20,695000,715000,717000,691000,201850
2016-07-19,718000,718000,721000,707000,110798
2016-07-18,712000,717000,718000,706000,150928
2016-07-15,716000,750000,753000,706000,306084
2016-07-14,734000,751000,754000,734000,165410
2016-07-13,758000,760000,768000,748000,155150
