일자,종가,시가,고가,저가,거래량
2016-12-06,75500,75500,76200,75500,20305
2016-12-05,74700,74700,76800,74300,192995
2016-12-02,75300,76700,77200,75200,189997
2016-12-01,76700,77300,78700,76700,188500
2016-11-30,77700,79500,79900,77700,255953
2016-11-29,79800,79600,81100,79100,193718
2016-11-28,79400,81400,81400,79100,213000
2016-11-25,81300,80700,81600,80300,169643
2016-11-24,80700,81700,82000,80400,173751
2016-11-23,81900,81800,82400,80600,273571
2016-11-22,81800,79000,82000,79000,345344
2016-11-21,79000,80400,80500,78300,186638
2016-11-18,80700,80600,81800,80000,281422
2016-11-17,81000,80600,81100,79500,239572
2016-11-16,80300,76500,80500,76500,566246
2016-11-15,76000,75600,77100,75300,186400
2016-11-14,75800,77800,78200,75800,261019
2016-11-11,77800,79800,79800,76900,433329
2016-11-10,79700,75300,79900,75200,1182920
2016-11-09,71300,74300,74600,69900,529993
2016-11-08,74300,74300,74500,73800,143280
2016-11-07,73700,73200,74200,73100,155971
2016-11-04,73200,71200,74000,71200,280780
2016-11-03,71400,70400,72600,70300,383722
2016-11-02,71300,74000,74500,71300,640159
2016-11-01,74600,75600,76600,74000,388432
2016-10-31,76400,79600,79900,76400,498234
2016-10-28,79600,80900,81100,79600,299652
2016-10-27,81300,80900,81800,80800,123235
2016-10-26,80900,82400,82500,80400,189596
2016-10-25,82300,80300,82700,80300,305185
2016-10-24,80700,81700,81700,80500,150118
2016-10-21,80600,81600,81700,80400,192255
2016-10-20,81000,82100,82900,81000,278568
2016-10-19,81700,81000,82200,80400,246435
2016-10-18,80800,80300,80800,79700,169592
2016-10-17,80500,79500,81000,79500,160442
2016-10-14,79300,79300,79800,79000,148730
2016-10-13,79300,80400,80500,79300,203778
2016-10-12,80200,81500,81500,79000,534287
2016-10-11,81500,82700,82900,81500,257663
2016-10-10,82600,83200,83700,82500,144551
2016-10-07,83400,85100,85400,83300,242697
2016-10-06,85300,85200,86300,84100,388287
2016-10-05,85500,82000,85500,81800,728681
2016-10-04,81200,81700,82700,81200,351455
2016-09-30,81800,83300,84200,81700,380670
2016-09-29,82700,82700,82900,82000,236280
2016-09-28,82800,83400,83600,82400,166639
2016-09-27,83600,82400,84100,81900,163326
2016-09-26,82600,83200,83300,82300,176917
2016-09-23,83600,84200,84500,83300,265218
2016-09-22,84500,83000,84700,82400,371860
2016-09-21,82300,82000,82500,81200,196029
2016-09-20,82200,80700,83500,80600,493052
2016-09-19,80500,80100,80600,79900,153998
2016-09-13,80500,80000,80600,79900,167806
2016-09-12,79900,80000,80400,79300,175099
2016-09-09,80600,80900,81400,80400,258472
2016-09-08,81800,80100,81800,80100,296809
2016-09-07,80000,80600,80700,79600,269047
2016-09-06,81200,81400,82100,80900,219973
2016-09-05,81000,81200,82200,80900,263587
2016-09-02,81000,81500,82000,80900,270384
2016-09-01,82100,81300,82200,80800,334011
2016-08-31,81300,80000,81300,79700,342533
2016-08-30,80000,79500,80800,79400,293565
2016-08-29,79300,80800,80900,79300,478825
2016-08-26,81000,80500,81500,80500,255043
2016-08-25,81000,82100,83000,81000,346409
2016-08-24,82500,81100,83100,80700,696481
2016-08-23,80500,82000,83900,80200,861917
2016-08-22,82700,84500,84700,82700,449238
2016-08-19,84700,86500,86700,84600,602877
2016-08-18,86700,88000,88500,86600,433201
2016-08-17,88000,88600,89300,88000,342989
2016-08-16,88600,89600,89800,88600,381711
2016-08-12,89500,91400,91500,89200,762281
2016-08-11,91300,93600,94300,91200,459030
2016-08-10,92700,93400,93400,92600,298220
2016-08-09,92900,91900,93000,91600,288342
2016-08-08,91500,92700,92700,91200,198686
2016-08-05,92100,92800,93600,92000,209258
2016-08-04,92300,93800,93800,92300,266692
2016-08-03,93900,90700,94200,90600,416577
2016-08-02,91000,91000,91300,90800,122894
2016-08-01,91000,91500,91600,90600,234983
2016-07-29,90900,91500,91600,90900,236131
2016-07-28,91600,91400,92000,90700,220576
2016-07-27,91200,91200,92300,91100,192058
2016-07-26,91500,92600,92600,91400,223967
2016-07-25,92200,93100,93200,92100,176203
2016-07-22,92700,92700,94100,92700,188337
2016-07-21,92700,94100,94300,92700,183072
2016-07-20,93500,93600,94600,93300,129539
2016-07-19,93500,93000,93900,93000,131218
2016-07-18,93200,94300,94500,93100,198412
2016-07-15,94300,95000,95400,94300,197554
2016-07-14,94800,95000,95000,94000,149363
2016-07-13,94500,96000,96200,94200,229034
2016-07-12,95500,95100,95700,95000,248311
2016-07-11,95000,94200,95000,93600,184007
2016-07-08,93700,94000,94300,93400,224800
2016-07-07,95000,94800,95700,94700,194706
2016-07-06,94700,93800,94900,92600,271543
2016-07-05,93300,93600,94300,92900,187924
2016-07-04,93800,95200,95500,93700,190799
2016-07-01,94700,93600,95300,93500,280867
2016-06-30,93100,93100,93700,92700,163504
2016-06-29,92200,92200,93300,92200,237550
2016-06-28,91200,91000,92600,90900,277899
2016-06-27,91600,88700,91800,88700,322279
2016-06-24,91200,94500,94600,88300,713158
2016-06-23,93200,93800,94000,92900,186812
2016-06-22,94200,93300,94700,93300,139412
2016-06-21,93800,95200,95700,93600,184809
2016-06-20,94900,91500,94900,91500,301386
2016-06-17,91300,91700,92400,90700,253700
2016-06-16,91200,93000,93800,90900,347392
2016-06-15,92800,93900,94000,92800,248917
2016-06-14,94100,93000,95200,93000,282122
2016-06-13,93800,94200,94500,93500,262900
2016-06-10,94900,95500,96100,94600,394023
2016-06-09,95200,97400,97500,94400,870266
2016-06-08,97000,97400,98400,96900,330359
2016-06-07,98200,97900,98600,97100,278467
2016-06-03,98000,97000,98600,96900,321939
2016-06-02,97500,99000,99300,96300,556790
2016-06-01,98500,102900,103000,98100,1011274
2016-05-31,102800,102800,103500,102000,332493
2016-05-30,102800,101600,103500,101300,353802
2016-05-27,100600,100400,101200,99900,201380
2016-05-26,99700,99700,100300,98900,185523
2016-05-25,99600,99400,100500,99200,232780
2016-05-24,99200,100200,100700,99200,172022
2016-05-23,100200,100200,101700,100000,171336
2016-05-20,99300,99900,100500,98500,322346
2016-05-19,100300,104600,105300,99800,396406
2016-05-18,104500,104100,104900,103100,207110
2016-05-17,105100,104500,106200,104100,199833
2016-05-16,105400,103100,106200,102400,244587
2016-05-13,103800,105700,105900,103300,260861
2016-05-12,106300,104300,107900,104000,559362
2016-05-11,105700,101500,106300,100800,719902
2016-05-10,100600,101900,102200,99900,208613
2016-05-09,101700,99700,102300,99700,251804
2016-05-04,100000,100100,100700,99700,134988
2016-05-03,99800,99600,100700,99600,110400
2016-05-02,99600,99500,100300,99400,129817
2016-04-29,100500,100000,100500,99500,144488
2016-04-28,100500,103500,103500,100400,245294
