일자,종가,시가,고가,저가,거래량
2016-12-06,242000,242000,243500,241000,14955
2016-12-05,237500,241500,244500,231500,192249
2016-12-02,241500,248500,251000,236000,208702
2016-12-01,245000,267000,267000,240500,443257
2016-11-30,272000,268500,273000,267000,162654
2016-11-29,268500,261000,270500,259500,107348
2016-11-28,261000,266000,266000,256500,117132
2016-11-25,264000,252500,269000,251500,145749
2016-11-24,251500,260000,262000,251000,96765
2016-11-23,260000,259500,262000,257000,76888
2016-11-22,259500,254000,259500,251000,81479
2016-11-21,254500,256000,257500,252500,75109
2016-11-18,254000,255500,257500,253000,79706
2016-11-17,255500,253000,259000,250500,104788
2016-11-16,253500,247000,255000,245500,127075
2016-11-15,245000,247000,249500,240500,184610
2016-11-14,247000,256000,256500,246000,201089
2016-11-11,256500,273000,273500,255500,219777
2016-11-10,273000,272000,277500,262500,158661
2016-11-09,267000,273000,276000,261000,103576
2016-11-08,272500,275000,276500,270500,48435
2016-11-07,273500,266500,275500,264000,107982
2016-11-04,263000,268000,268000,261500,66781
2016-11-03,267000,264000,269000,259000,111920
2016-11-02,262500,268500,270500,259000,86029
2016-11-01,268000,262500,276500,262000,86945
2016-10-31,264500,265500,271000,264500,74749
2016-10-28,266500,266000,271000,261500,122394
2016-10-27,267500,275500,279000,266500,116276
2016-10-26,275000,272000,277000,268000,66347
2016-10-25,273500,280000,280500,269000,87204
2016-10-24,279500,280000,281000,276500,36473
2016-10-21,278000,281000,284500,277500,54419
2016-10-20,280500,280000,281000,276000,56261
2016-10-19,280500,288500,288500,276000,128279
2016-10-18,286500,283500,288500,283500,73530
2016-10-17,283500,284000,285500,280000,83563
2016-10-14,284500,281000,286500,281000,68817
2016-10-13,282000,283500,285000,282000,125130
2016-10-12,282500,285000,287500,274500,291038
2016-10-11,288500,293500,294000,285000,161723
2016-10-10,291500,299500,299500,289000,169974
2016-10-07,297000,306000,307000,295500,211553
2016-10-06,305000,303000,307000,299500,172820
2016-10-05,303500,299500,306000,299000,170698
2016-10-04,298500,299000,299500,294500,133987
2016-09-30,295500,292000,296000,291000,106773
2016-09-29,294000,290500,294000,288500,72700
2016-09-28,290000,287500,290000,286000,74250
2016-09-27,286000,282000,287500,281500,95995
2016-09-26,284000,286000,286000,283500,82182
2016-09-23,283500,282000,284000,280000,118567
2016-09-22,280000,282500,282500,278000,77248
2016-09-21,277500,280000,280000,276000,82966
