일자,종가,시가,고가,저가,거래량
2016-12-06,2780,2780,2780,2775,9361
2016-12-05,2775,2795,2795,2775,259135
2016-12-02,2780,2800,2800,2780,116411
2016-12-01,2800,2780,2810,2780,260061
2016-11-30,2775,2790,2795,2775,275756
2016-11-29,2780,2800,2800,2775,300040
2016-11-28,2790,2915,2915,2790,365884
2016-11-25,2930,2920,3190,2900,2790399
2016-11-24,2700,2745,2815,2680,62779
2016-11-23,2750,2860,2885,2725,101788
2016-11-22,2895,2875,3025,2800,205487
2016-11-21,2875,2890,2960,2840,150368
2016-11-18,2905,2680,3200,2665,584741
2016-11-17,2700,2710,2710,2650,84406
2016-11-16,2710,2775,2775,2650,92665
2016-11-15,2765,2670,2790,2670,70645
2016-11-14,2700,2730,2800,2685,66485
2016-11-11,2780,2770,2795,2720,42356
2016-11-10,2710,2640,2795,2640,74040
2016-11-09,2640,2715,2800,2565,130832
2016-11-08,2770,2840,2840,2740,48438
2016-11-07,2755,2755,2820,2705,38167
2016-11-04,2735,2620,2760,2595,61580
2016-11-03,2670,2580,2765,2555,95097
2016-11-02,2595,2690,2720,2550,105157
2016-11-01,2700,2610,2825,2610,62131
2016-10-31,2640,2795,2795,2615,149537
2016-10-28,2800,2870,2905,2790,108845
2016-10-27,2860,2820,2895,2795,180235
2016-10-26,2825,2905,2945,2745,245346
2016-10-25,2950,3130,3180,2915,257976
2016-10-24,3125,3245,3245,3125,149842
2016-10-21,3240,3255,3330,3220,100007
2016-10-20,3250,3290,3335,3195,76334
2016-10-19,3275,3420,3420,3255,104313
2016-10-18,3360,3230,3395,3205,152676
2016-10-17,3230,3400,3445,3200,417716
2016-10-14,3440,3510,3570,3390,136075
2016-10-13,3500,3545,3595,3450,125632
2016-10-12,3600,3555,3640,3330,338130
2016-10-11,3630,3705,3900,3575,225463
2016-10-10,3665,3775,3805,3640,83687
2016-10-07,3765,3850,3905,3760,68713
2016-10-06,3850,3970,4005,3795,136131
2016-10-05,3965,3875,4080,3830,220063
2016-10-04,3805,3685,3850,3675,118548
2016-09-30,3650,3815,3815,3620,146713
2016-09-29,3755,3870,3875,3750,95807
2016-09-28,3850,3865,3920,3810,43124
2016-09-27,3865,3855,3900,3780,87292
2016-09-26,3850,3970,4020,3800,107804
2016-09-23,3955,3970,4040,3890,106493
2016-09-22,4035,3985,4135,3950,154966
2016-09-21,3985,3865,3995,3830,113436
2016-09-20,3870,3720,3870,3675,121771
2016-09-19,3710,3690,3880,3690,142238
2016-09-13,3670,3695,3735,3650,117694
2016-09-12,3705,3705,3770,3610,136714
2016-09-09,3705,3740,3840,3640,143428
2016-09-08,3740,3815,3860,3680,196494
2016-09-07,3855,3880,3905,3740,211136
2016-09-06,3885,4070,4120,3850,176045
2016-09-05,4020,3955,4105,3820,267384
2016-09-02,4075,3805,4185,3805,275862
2016-09-01,3890,4155,4300,3830,522940
2016-08-31,4155,4260,4325,4000,352954
2016-08-30,4260,4480,4645,4190,379543
2016-08-29,4480,4570,4620,4275,255187
2016-08-26,4660,4760,4780,4440,417461
2016-08-25,4770,4830,4950,4740,344263
2016-08-24,4820,4920,4980,4770,398159
2016-08-23,4875,4825,4985,4690,621451
2016-08-22,4850,4165,5100,4130,3537396
2016-08-19,4120,3930,4230,3840,767843
2016-08-18,3830,3600,3930,3600,349451
2016-08-17,3755,3850,3850,3600,429406
2016-08-16,3975,3890,4050,3885,248292
2016-08-12,3955,3925,4070,3870,337566
2016-08-11,3925,3930,4000,3810,270178
2016-08-10,3915,3810,4000,3750,459583
2016-08-09,3810,3810,3850,3660,247440
2016-08-08,3810,3630,3860,3630,452377
2016-08-05,3690,3510,3950,3485,1221018
2016-08-04,3510,3520,3540,3410,155532
2016-08-03,3515,3560,3575,3475,158427
2016-08-02,3545,3425,3645,3380,400830
2016-08-01,3440,3435,3455,3350,105179
2016-07-29,3405,3370,3435,3340,143118
2016-07-28,3430,3560,3560,3425,168906
2016-07-27,3480,3445,3680,3445,457902
2016-07-26,3445,3430,3530,3355,229704
2016-07-25,3430,3445,3630,3380,665444
2016-07-22,3490,3380,3750,3380,1451993
2016-07-21,3370,3425,3530,3285,611450
2016-07-20,3405,3670,3730,3345,1712271
2016-07-19,3735,3900,4125,3710,969934
2016-07-18,3905,3900,4270,3700,2487582
2016-07-15,3800,3700,4300,3640,6800403
2016-07-14,3850,3050,3850,3040,1258363
2016-07-13,2965,2935,2970,2920,51059
2016-07-12,2930,2950,2970,2915,61129
2016-07-11,2940,2930,2960,2890,56970
2016-07-08,2970,3005,3005,2945,51590
2016-07-07,2970,2950,2995,2900,56732
2016-07-06,2950,2965,2990,2890,124870
2016-07-05,2965,3050,3050,2945,127409
2016-07-04,3000,2870,3060,2870,197556
2016-07-01,2905,2935,2985,2900,85593
2016-06-30,2930,2960,3070,2865,164356
2016-06-29,3000,2950,3070,2900,146368
2016-06-28,2900,2870,2995,2850,170949
2016-06-27,2870,2800,3075,2795,448930
2016-06-24,2810,2750,3300,2490,1265146
2016-06-23,2750,2750,2790,2705,61181
2016-06-22,2790,2795,2830,2710,106304
2016-06-21,2760,2685,2775,2645,165348
2016-06-20,2690,2725,2780,2670,203537
2016-06-17,2690,2870,2870,2645,309459
2016-06-16,2870,2990,2990,2730,324034
2016-06-15,2990,3000,3030,2975,62621
2016-06-14,3030,3090,3090,2965,105290
2016-06-13,3050,3105,3110,3015,69595
2016-06-10,3115,3090,3130,3000,89601
2016-06-09,3060,3055,3090,3000,105192
2016-06-08,3050,3085,3135,3040,95109
2016-06-07,3095,3150,3150,3075,67058
2016-06-03,3120,3160,3160,3080,52013
2016-06-02,3150,3160,3165,3070,67703
2016-06-01,3160,3195,3220,3075,88524
2016-05-31,3185,3035,3290,3035,183063
