____,_¡§_¢®¨¡¡Ë_,¡§__¢®¨¡¡Ë_,¢®¨¡_¢®¨¡¡Ë_,__¢®¨¡¡Ë_,¢®¨¡¢®_¢®¢´¡Ë_¢®¢´_
2013-8-29,127500,149500,149500,127500,33359
2013-8-30,108500,108500,111500,108500,5126731
2013-9-2,114000,110000,114500,108000,1704882
2013-9-3,110000,114500,115000,110000,607923
2013-9-4,109000,109000,112500,108500,324499
2013-9-5,109000,109500,110500,107000,552482
2013-9-6,104000,109000,110500,103000,538761
2013-9-9,107000,104500,108000,102500,460874
2013-9-10,114500,108500,116000,107500,813503
2013-9-11,113500,114000,115000,112000,384258
2013-9-12,116000,116000,118500,114000,731557
2013-9-13,115000,114500,116500,113000,249092
2013-9-16,111000,116000,116500,110500,299952
2013-9-17,109500,111000,112500,109000,276014
2013-9-23,108500,110000,114000,108500,437542
2013-9-24,111500,109000,112000,108500,287737
2013-9-25,115500,112000,116500,111000,496101
2013-9-26,122000,116500,126500,115500,967404
2013-9-27,121500,122000,122500,119000,324156
2013-9-30,118000,120500,122500,118000,290821
2013-10-1,117500,118500,121000,115500,268328
2013-10-2,124000,118000,124500,118000,457264
2013-10-4,120000,123500,125500,118500,418153
2013-10-7,114000,119500,120500,114000,364640
2013-10-8,114000,113500,114500,110500,407393
2013-10-10,111500,113000,115000,110500,299340
2013-10-11,113000,112500,113500,110500,383360
2013-10-14,108500,113000,113500,108500,279415
2013-10-15,110500,109500,112000,109000,316911
2013-10-16,101000,109500,111500,99500,1409489
2013-10-17,100000,102000,103500,100000,417219
2013-10-18,102500,100500,104000,100500,365678
2013-10-21,106500,103500,108000,102500,328227
2013-10-22,110000,107000,111000,104500,438671
2013-10-23,109000,109500,111500,108500,341196
2013-10-24,115000,110000,115000,109000,488029
2013-10-25,118000,116000,118500,115500,429055
2013-10-28,116000,117000,117500,113000,298525
2013-10-29,113000,116000,117000,112500,261684
2013-10-30,114500,113500,115500,111000,288198
2013-10-31,113500,113500,115500,112000,237946
2013-11-1,109000,113500,113500,107500,667440
2013-11-4,109000,109000,111000,108500,156287
2013-11-5,107500,110000,110000,107000,151011
2013-11-6,105000,107000,109000,103000,283178
2013-11-7,103000,106000,108000,103000,214643
2013-11-8,101500,103500,105000,101000,205524
2013-11-11,103000,103000,108000,102000,274772
2013-11-12,100500,104000,104500,99700,408307
2013-11-13,96700,99000,99800,93500,650521
2013-11-14,94200,98500,98800,93900,322964
2013-11-15,91100,95000,95500,90400,736669
2013-11-18,94400,92300,94800,91500,425200
2013-11-19,95000,95200,96700,93600,287059
2013-11-20,94800,94600,96700,93200,260289
2013-11-21,94600,95100,96500,93500,179384
2013-11-22,100500,95900,102000,95000,486907
2013-11-25,102000,101000,104500,101000,339132
2013-11-26,103000,103000,104500,100500,228697
2013-11-27,97200,102500,103000,97000,421540
2013-11-28,95200,97500,97600,94200,551137
2013-11-29,95600,95000,96400,94500,261683
2013-12-2,92300,95600,95600,92300,350014
2013-12-3,91000,91900,93800,90500,296205
2013-12-4,87600,91200,92000,87300,405036
2013-12-5,89800,89000,91300,88500,313851
2013-12-6,92700,89000,93200,89000,303279
2013-12-9,97200,93600,97600,93000,391234
2013-12-10,94000,97600,98800,94000,252407
2013-12-11,93400,93500,96500,92600,178948
2013-12-12,91000,92400,92700,90300,225530
2013-12-13,94700,91100,95200,89600,232657
2013-12-16,91000,94500,95900,90800,224747
2013-12-17,90300,91500,92600,88700,289997
2013-12-18,91800,90400,93400,90100,232265
2013-12-19,92100,92600,93200,91700,117926
2013-12-20,93800,92000,93800,91100,165299
2013-12-23,92800,94800,95500,92700,195563
2013-12-24,94400,93400,94700,91900,180648
